AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-6.059428, 50.0, 50.0, 131.338834, -75.279406, QcKc, 4d2h, , , , bb, f, , , , 0.0, 0.0336380004882812, 2016/11/14 13:51:51, 
-2.120394, -100.0, -100.0, -42.463235, -55.416371, 4d5s, 7hTh, , , , sb, cR300f, , , , 15.9376509189606, 15.9685559272766, 2016/11/14 13:52:22, 
-559.046552, 750.0, 750.0, 201.977199, 1107.069353, Ah9c, 7d3d, 8s4c8h, , , bb, r300R750c, R1550f, , , 24.0305519104004, 33.0627369880676, 2016/11/14 13:52:43, 
4.545439, -50.0, -50.0, -54.545439, 0.0, 8c4d, 2h3s, , , , sb, f, , , , 5.88705396652222, 5.88705396652222, 2016/11/14 13:53:20, 
29.759668, 500.0, 500.0, 496.454332, -26.214, 8c5h, 9s6c, 8sKh9c, 8d, 4c, bb, cC, R200c, R500c, R1150f, 41.295666217804, 53.9480469226837, 2016/11/14 13:53:29, 
9.604111, 100.0, 100.0, -30.583609, 120.979498, 6dKc, Tc4s, , , , sb, r300F, , , , 6.51934003829956, 6.5501880645752, 2016/11/14 13:54:28, 
-16.291435, -100.0, -100.0, -56.016774, -27.691791, 2h5c, Th7h, , , , bb, r300F, , , , 6.02929306030273, 6.07038307189941, 2016/11/14 13:54:41, 
-28.406391, -300.0, -300.0, -1.607224, -269.986385, Kc9h, 8s8c, , , , sb, r300R900f, , , , 25.5235748291016, 25.5543529987335, 2016/11/14 13:54:51, 
32.471278, 300.0, 300.0, 189.483209, 78.045513, QsTc, KdJs, 6c7sQc, 8d, , bb, r300C, Cc, R750f, , 23.0435559749603, 35.6094660758972, 2016/11/14 13:55:22, 
-106.375013, 250.0, 250.0, 15.415894, 340.959119, 6cKs, 3s4s, TdJcTc, Jh, , sb, r250C, Cc, Cr470F, , 18.3556797504425, 34.1101596355438, 2016/11/14 13:56:02, 
-9.882816, -300.0, -300.0, -155.337523, -134.77966, 2hKs, 9h8c, TdQh7c, 5c, , bb, cC, R300c, Cr600F, , 25.6110401153564, 36.2100210189819, 2016/11/14 13:56:38, 
-188.497257, 500.0, 446.504688, 354.449332, 280.552613, Qs5h, Kh7c, 5s7s3d, Qd, 9d, sb, cC, Cr200C, Cr500C, Cc, 40.6516621112823, 72.1798717975616, 2016/11/14 13:57:20, 
-45.519158, -100.0, -100.0, -38.710949, -15.769893, 4hKc, 7sKd, , , , bb, r200F, , , , 14.5605239868164, 14.6023800373077, 2016/11/14 13:58:37, 
-101.394052, 200.0, 200.0, -113.596217, 414.990268, 9c8h, Ks7h, 3c2h4d, Td, , sb, r200C, Cc, Cr450F, , 15.0396518707275, 32.4336230754852, 2016/11/14 13:58:56, 
-18.990386, -100.0, -100.0, -50.038767, -30.970847, 5sTh, Ks9s, , , , bb, r200F, , , , 6.37480092048645, 6.41688585281372, 2016/11/14 13:59:32, 
5.868579, -50.0, -50.0, -55.868579, 0.0, Ts3c, AcAs, , , , sb, f, , , , 5.64633297920227, 5.64633297920227, 2016/11/14 13:59:42, 
-15.821605, -100.0, -100.0, -53.338427, -30.839968, 3sTc, 5d8c, , , , bb, r300F, , , , 13.5462291240692, 13.5802693367004, 2016/11/14 13:59:50, 
-16.215686, -100.0, -100.0, -53.859085, -29.925228, 9c4d, 3hAs, , , , bb, r200F, , , , 9.82605409622192, 9.87561011314392, 2016/11/14 13:59:51, 
-146.116404, 200.0, 200.0, 100.475894, 245.64051, JhKs, 7hTd, 3d9hAs, , , sb, r200C, Cr400F, , , 12.587306022644, 22.9477431774139, 2016/11/14 14:00:07, 
-35.584919, 100.0, 13.125605, -57.649451, 106.359976, Qc9h, 3h8c, 6h7s6c, 4d, 6d, sb, cC, Cc, Cc, Cc, 23.5714628696442, 37.6974170207977, 2016/11/14 14:00:14, 
-122.571097, -300.0, -300.0, -83.011162, -94.417741, 8hJh, Kc7h, 6h5cKs, , , bb, r300C, Cr600F, , , 17.9593923091888, 23.8020241260529, 2016/11/14 14:00:36, 
-41.238781, -100.0, -100.0, -20.941574, -37.819646, 5sTs, 2s2h, , , , bb, r300F, , , , 8.21907210350037, 8.2520170211792, 2016/11/14 14:00:57, 
-98.366127, 400.0, 400.0, -116.9278, 615.293927, 5dQd, 9hQc, 4h4c6c, 4s, , sb, r200C, Cr400C, Cr850F, , 18.3217270374298, 43.2239828109741, 2016/11/14 14:01:04, 
-6.652038, -50.0, -50.0, -43.347962, 0.0, 2h8h, Jh9h, , , , sb, f, , , , 4.34609889984131, 4.34609889984131, 2016/11/14 14:01:09, 
-850.09955, 950.0, 950.0, 667.016787, 1133.082763, QdQc, 7h4h, KcJs5h, , , bb, r300R950c, R1700f, , , 26.9034481048584, 37.2387971878052, 2016/11/14 14:01:17, 
-15.702622, -100.0, -100.0, -50.038767, -34.258611, Ts5h, Jh8c, , , , bb, r300F, , , , 8.63338184356689, 8.67950487136841, 2016/11/14 14:01:51, 
-41.103679, 200.0, 200.0, 78.178548, 162.92513, KhTs, Ah6s, 9c4cJd, , , sb, r200C, Cr460F, , , 15.0829250812531, 30.0046298503876, 2016/11/14 14:02:00, 
-2.252551, -50.0, -50.0, -47.747449, 0.0, Qd3s, Jc7c, , , , sb, f, , , , 4.95971512794495, 4.95971512794495, 2016/11/14 14:02:10, 
-120.460028, 1630.0, 1630.0, 627.251346, 1123.208682, Ac3h, 9hTc, 9c2dAd, Qh, , bb, r300R780c, R1630c, R3080f, , 32.8933000564575, 49.4772090911865, 2016/11/14 14:02:18, 
-23.90614, -100.0, -100.0, -30.617342, -45.476518, 6cKd, Qh9d, , , , bb, r300F, , , , 14.3626959323883, 14.3989210128784, 2016/11/14 14:02:33, 
-16.861585, -200.0, -200.0, -106.111703, -77.026712, 3s4d, TsJd, 8dQs2s, 6s, , sb, r200C, Cc, R600f, , 27.6993169784546, 41.9999458789825, 2016/11/14 14:02:50, 
-99.186095, -200.0, -200.0, 27.450143, -128.264048, JcTd, AsJd, , , , sb, r200R600f, , , , 16.7860610485077, 16.8155930042267, 2016/11/14 14:03:10, 
-6.261942, 100.0, 100.0, 130.439233, -24.177291, AcJc, 5h9d, , , , bb, cR400f, , , , 9.47238612174988, 15.110267162323, 2016/11/14 14:03:31, 
-54.561685, -200.0, -200.0, -106.65411, -38.784205, 8h9c, TsAh, 4h3c7d, , , bb, r200C, Cr400F, , , 15.9857437610626, 21.1097710132599, 2016/11/14 14:03:36, 
17.408684, 100.0, 100.0, 38.444655, 44.146661, JcQh, 4hQs, , , , sb, r300F, , , , 5.93663597106934, 5.96971082687378, 2016/11/14 14:03:49, 
20.032332, -100.0, -100.0, -106.846272, -13.186061, 2h8h, 8dAh, Kd5cJh, Js, , sb, cC, Cc, R200f, , 22.6105537414551, 33.0251896381378, 2016/11/14 14:04:03, 
-85.066985, -300.0, -300.0, -137.570274, -77.362742, Tc8h, Kd7d, 9s5s9h, 4h, , bb, r200C, Cc, R300r900F, , 25.9280440807343, 37.9235057830811, 2016/11/14 14:04:07, 
-395.864132, 300.0, 300.0, 641.57435, 54.289782, KcKh, 7d9h, TsKs2s, Qd, , bb, r300C, Cc, R700f, , 24.2336819171906, 33.9276337623596, 2016/11/14 14:04:40, 
19.165891, -200.0, -200.0, -144.923305, -74.242586, 4cKs, 2dJd, 5d9h4d, Th, 6d, sb, cC, Cr200C, Cc, R400f, 28.9252729415894, 52.7228066921234, 2016/11/14 14:04:49, 
8.022394, 100.0, 100.0, -25.458927, 117.436533, 8d7s, 5dTs, , , , sb, r250F, , , , 7.31166100502014, 7.3459780216217, 2016/11/14 14:05:18, 
-15.964982, -100.0, -100.0, -57.341403, -26.693615, 4c2d, 9c6d, , , , bb, r200F, , , , 9.30952095985413, 9.34521698951721, 2016/11/14 14:05:33, 
-15.45968, -100.0, -100.0, -41.076732, -43.463588, 3sKd, 5c2c, , , , bb, r300F, , , , 13.4546418190002, 13.5007698535919, 2016/11/14 14:05:45, 
59.736149, -750.0, 474.246646, 30.998426, 383.512071, 8sQs, 5c3c, 7d4h9c, 8c, 2c, sb, r300C, Cr750C, Cc, Cc, 25.6654717922211, 44.6851551532745, 2016/11/14 14:05:46, 
681.725185, 350.0, 350.0, 337.537048, -669.262232, 5h5s, JsKd, 4s5d6s, , , sb, r350C, Cr1000F, , , 21.7247750759125, 40.911651134491, 2016/11/14 14:06:01, 
-16.010045, -100.0, -100.0, -53.338427, -30.651528, 3hTd, 6c5c, , , , bb, r200F, , , , 6.71949100494385, 6.75394892692566, 2016/11/14 14:06:40, 
8.399483, 50.0, 50.0, 320.40317, -278.802653, JdJc, 3h9d, , , , bb, f, , , , 0.0, 0.0317988395690918, 2016/11/14 14:06:46, 
15.289325, -450.0, -450.0, -74.430906, -390.858419, 2c9c, 8d4d, 3s2dAd, , , sb, r200C, Cr450R900f, , , 16.2902908325195, 27.5598628520966, 2016/11/14 14:06:50, 
-18.27897, 200.0, 200.0, 174.671874, 43.607095, QcTh, 2cAs, 9dQd3d, 4s, , sb, r200C, Cc, Cr500F, , 20.4808278083801, 40.2200567722321, 2016/11/14 14:06:53, 
-0.430484, 200.0, 200.0, 75.857365, 124.57312, AcQh, Jc5h, , , , bb, r200R650f, , , , 9.99595499038696, 15.5772318840027, 2016/11/14 14:07:29, 
-34.269553, -100.0, -100.0, -20.873815, -44.856631, 3hAs, JcTc, , , , bb, r300F, , , , 8.0760600566864, 8.1105420589447, 2016/11/14 14:07:41, 
-2.751707, -200.0, -200.0, -107.869181, -89.379112, KhJc, 5s2c, 3cAhTs, Td, , sb, cC, Cr200C, R400f, , 26.4935660362244, 41.9745078086853, 2016/11/14 14:07:50, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 8h2d, 9c7c, , , , sb, f, , , , 6.17801094055176, 6.17801094055176, 2016/11/14 14:07:56, 
