AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-86.976089, -555.0, -555.0, -267.372618, -200.651293, 7hTh, TsAs, Ad5c4d, 5h, 9c, bb, r300C, Cc, Cc, R555r1665F, 95.7589225769043, 111.64756155014, 2016/12/03 00:13:01, 
-37.950147, -200.0, -200.0, -160.409855, -1.639998, Qc4h, Jh2c, 9h8d7h, 5h, , sb, r200C, Cc, R400f, , 16.6885652542114, 30.1778972148895, 2016/12/03 00:14:57, 
-28.005661, -200.0, -200.0, -132.217892, -39.776447, 5s9c, Td9s, 6s7hQh, 5h, Ts, bb, r200C, Cc, Cc, Cr400F, 37.5472042560577, 53.1603202819824, 2016/12/03 00:15:34, 
7.760852, 100.0, 100.0, -36.087371, 128.326519, 6c8h, 4d8s, , , , sb, r200F, , , , 7.62774682044983, 7.66156387329102, 2016/12/03 00:16:32, 
-320.226598, -1800.0, -1118.31802, 43.635082, -841.726504, Tc7d, 7cAh, Ad6sTd, 6d, 6c, bb, r300C, Cc, R700c, R1800c, 60.9661240577698, 74.3014459609985, 2016/12/03 00:16:49, 
0.902826, 100.0, 100.0, -57.336767, 156.433941, 3d8c, 3c8s, , , , sb, r200F, , , , 6.54551100730896, 6.58775305747986, 2016/12/03 00:18:14, 
-21.203954, 400.0, 400.0, -41.812398, 463.016353, 5s4h, 9h6s, 7h3h3c, , , bb, r200C, Cr400R900f, , , 25.4880971908569, 37.8182010650635, 2016/12/03 00:18:29, 
-137.121608, 300.0, 300.0, -140.840732, 577.96234, Qd3d, Th6h, 4s9sJs, Ah, , sb, r300C, Cc, Cr700F, , 22.5364761352539, 39.6717762947083, 2016/12/03 00:19:12, 
-46.081723, -100.0, -100.0, -97.578366, 43.66009, 2cQs, Jc5d, 5h9cJh, 7s, , bb, cC, Cc, Cr200F, , 24.4091601371765, 37.4696173667908, 2016/12/03 00:19:55, 
-62.717052, 900.0, 900.0, -18.021854, 980.738906, 6cAh, JcTs, , , , sb, r300R900r2400F, , , , 32.1451361179352, 32.2027540206909, 2016/12/03 00:20:38, 
-120.399829, -200.0, 35.297233, -71.620437, 227.317499, 7sAd, 5d6c, Qs8d2h, 5c, Th, bb, r200C, Cc, Cc, Cc, 23.1406729221344, 35.8692212104797, 2016/12/03 00:21:18, 
-49.569989, -300.0, -181.758081, -265.99737, 133.809278, Kc4c, 3d3c, 6c9dQh, 9h, Ts, sb, r300C, Cc, Cc, Cc, 25.0674388408661, 39.1943969726562, 2016/12/03 00:22:01, 
-78.028235, 400.0, 367.97566, 212.651455, 233.35244, 7dKc, 5c6c, 5dAd9s, 3c, Kd, bb, r200C, Cr400C, Cc, Cc, 28.4948701858521, 43.8498342037201, 2016/12/03 00:22:46, 
-1064.138729, -2400.0, -2400.0, 970.162314, -2306.023586, Ad2h, 6c6h, ThAsQs, Kh, 7d, sb, r300R900r2400C, Cc, Cc, R12000f, 68.6148102283478, 80.9758803844452, 2016/12/03 00:23:37, 
-22.311114, 200.0, 95.114867, -122.406429, 239.832409, Jh3d, Ad2h, Qd2s3c, 5h, Ts, bb, cC, Cr200C, Cc, Cc, 30.247086763382, 44.098531961441, 2016/12/03 00:25:05, 
27.173282, 100.0, 100.0, 168.525778, -95.69906, 8c8h, 9c4d, , , , sb, r300F, , , , 7.29204988479614, 7.3301100730896, 2016/12/03 00:25:55, 
-16.438185, -100.0, -100.0, -56.052352, -27.509463, 3d8c, 4s8s, , , , bb, r300F, , , , 7.78785800933838, 7.84367799758911, 2016/12/03 00:26:11, 
-81.733605, 200.0, 200.0, 142.319832, 139.413773, 4d7c, 6dTs, Jc9c8s, Tc, Ad, sb, r200C, Cc, Cc, Cr600F, 28.8039739131927, 45.2822859287262, 2016/12/03 00:26:24, 
-102.518937, 300.0, 300.0, -63.23701, 465.755947, Th7c, 2hKs, Jd9dAc, Js, , bb, r300C, Cc, R700f, , 22.8282690048218, 34.3586230278015, 2016/12/03 00:27:45, 
-206.74948, 300.0, 300.0, 121.195034, 385.554446, 2hAh, Kc9s, 4c7s7h, , , sb, r300C, Cr700F, , , 17.2015218734741, 27.1797289848328, 2016/12/03 00:28:23, 
-61.601515, -300.0, -299.999999, -236.078537, -2.319948, 9d6c, 8dTd, AsKd8h, Ks, 7d, bb, r300C, Cc, Cc, Cc, 39.4499492645264, 52.0700461864471, 2016/12/03 00:28:55, 
-183.400676, 300.0, 300.0, 152.403659, 330.997017, 4c2c, 5h9h, 8d2s8s, , , sb, r300C, Cr700F, , , 16.0282499790192, 26.0518229007721, 2016/12/03 00:29:53, 
