AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-31.56937, -200.0, -200.0, -111.917219, -56.513411, 5hJd, JhAc, 4c2d9c, , , bb, r200C, Cr400F, , , 38.06334400177, 45.5553631782532, 2016/11/17 09:39:51, 
-45.08761, 100.0, 100.0, -8.164551, 153.252162, 6sJd, Js2c, 6c7s5c, , , sb, cC, Cr300F, , , 29.7989530563354, 43.5971291065216, 2016/11/17 09:40:44, 
21.43065, -0.0, 285.565094, 74.524773, 189.609671, 9s6c, 9c4h, Qs9h8d, Qd, 7c, bb, cC, Cc, R250c, R500c, 39.283940076828, 51.7469172477722, 2016/11/17 09:41:34, 
-50.059411, 300.0, 300.0, 452.014311, -101.954899, 8c5h, Kc7h, 8h2hQc, 3h, 8s, bb, r200C, Cc, R300c, R900f, 58.9314153194427, 73.3509862422943, 2016/11/17 15:26:08, 
-80.015242, -300.0, -300.0, -130.761233, -89.223525, TcJs, 4d5c, 6d9d3d, , , sb, cR300c, R600f, , , 33.6736607551575, 39.2955317497253, 2016/11/17 15:27:44, 
-58.032524, -200.0, -200.0, -93.383501, -48.583975, Kh3d, 9h7c, 9c2s8c, , , bb, r200C, Cr600F, , , 29.3201460838318, 37.0944871902466, 2016/11/17 15:28:30, 
7.592574, -100.0, -100.0, -96.18804, -11.404534, 7h2c, 6s5d, 4dJc9h, , , sb, cC, R300f, , , 11.4333710670471, 17.5370669364929, 2016/11/17 15:29:17, 
-186.34862, 300.0, 300.0, -132.453955, 618.802575, 9sTc, Qd6c, 4s2h4h, Jd, , bb, r300C, Cc, R600f, , 24.9909372329712, 36.9267613887787, 2016/11/17 15:29:51, 
9.031399, -100.0, -100.0, -45.326917, -63.704483, Qh4d, 9h9s, , , , sb, cR300f, , , , 13.2915151119232, 13.3293108940125, 2016/11/17 15:30:31, 
-15.560917, -100.0, -100.0, -46.979625, -37.459459, 5dJs, 4cJc, , , , bb, r300F, , , , 9.28479790687561, 9.32020401954651, 2016/11/17 15:30:49, 
-100.545514, -300.0, -300.0, -149.563336, -49.89115, 2h7s, 5h6c, 4hTsJc, , , sb, cR300c, R600f, , , 16.7322068214417, 22.6016359329224, 2016/11/17 15:31:02, 
161.709307, 1000.0, 729.49154, -40.09208, 607.874313, 9cJh, 2cAd, 2s9d6h, Ks, 4s, bb, r200C, Cr400C, Cc, R1000c, 33.2105391025543, 45.7902338504791, 2016/11/17 15:31:28, 
20.026076, -300.0, -300.0, -81.655428, -238.370648, 2s3c, 3hAd, Ts6h5h, Th, 3s, sb, cC, Cc, Cc, Cr300R1500f, 37.9020752906799, 56.7572083473206, 2016/11/17 15:32:29, 
-137.562733, -750.0, -749.462262, -243.59724, -368.302289, 4h9d, 2hQd, Th3h5h, 6s, 4s, bb, cC, Cr300C, Cc, R750c, 32.860155582428, 45.9279403686523, 2016/11/17 15:33:31, 
11.491597, -600.0, -600.0, -67.819652, -543.671944, 8h5d, 8cTd, Ts5sKc, Kd, , sb, cR300c, R600c, R1200f, , 24.7966268062592, 37.9545397758484, 2016/11/17 15:34:31, 
