AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
2919.076694, 2100.0, 2100.0, 941.470887, -1760.547581, TcJc, KcJs, 7s9d8h, , , bb, r300R1050c, Cr2100R4450f, , , 136.656247138977, 148.743148088455, 2016/11/13 14:42:45, 
2.193506, -50.0, -50.0, -52.193506, 0.0, 5s3c, 2h9d, , , , sb, f, , , , 10.7219200134277, 10.7219200134277, 2016/11/13 14:45:21, 
-40.039986, 220.0, 220.0, 75.910427, 184.129559, 3h3d, Td6h, 8sAd8d, 2h, , bb, cC, R220c, R460f, , 73.4968872070312, 83.4016032218933, 2016/11/13 14:45:38, 
82.660602, -600.0, -600.0, -485.957024, -196.703578, 7dAc, TcJh, 6cQs3c, 4c, Ks, sb, r300C, Cc, R600c, R1800f, 111.615695953369, 128.612741231918, 2016/11/13 14:47:06, 
13.043819, 300.0, 300.0, 320.40317, -33.446989, JsJd, 6c5h, , , , bb, r300R1050f, , , , 18.4212181568146, 24.1933562755585, 2016/11/13 14:49:19, 
14.951106, 100.0, 100.0, 4.116925, 80.931969, Js7s, 3c8c, , , , sb, r300F, , , , 10.8354818820953, 10.8674018383026, 2016/11/13 14:49:46, 
-34.972319, 220.0, 220.0, 16.976697, 237.995622, 7d5c, 8d6d, 5h9c9s, Js, 3c, bb, cC, R220c, Cc, R395f, 45.1874158382416, 57.6635804176331, 2016/11/13 14:50:04, 
-207.62424, 1220.0, 1220.0, 1084.945882, 342.678358, AcAd, 8dQs, Qc3d9h, Ah, 6h, sb, r300C, Cr720C, Cr1220C, Cr3100F, 150.54733133316, 178.985270261765, 2016/11/13 14:51:07, 
238.153954, -6000.0, -1225.055191, 712.398908, -2175.608053, 2hAh, KcAc, 6sAd3s, Kd, 2s, bb, r200C, Cr400C, Cr1200C, Cr6000C, 152.826148033142, 167.672350168228, 2016/11/13 14:54:11, 
-443.277429, -2500.0, -2500.0, -12.708212, -2044.014359, Ad5c, 5hAh, , , , sb, r300R900r2500R20000f, , , , 53.6062839031219, 61.6398408412933, 2016/11/13 14:57:06, 
-12.249042, -250.0, -250.0, -127.511213, -110.239744, Th2c, 3cJh, Ad3h6h, 3d, 5d, bb, cC, Cc, Cc, R250r750F, 48.5805308818817, 63.8234357833862, 2016/11/13 14:58:13, 
11.599312, 100.0, 100.0, -21.078238, 109.478926, Jd4d, 5s2c, , , , sb, r300F, , , , 10.5035998821259, 10.5429639816284, 2016/11/13 14:59:20, 
-60.937631, -200.0, -200.0, -95.580903, -43.481466, 4cAs, 5h3c, 9cKsQh, Tc, , bb, r200C, Cc, Cr400F, , 28.1757850646973, 37.3557200431824, 2016/11/13 14:59:38, 
8.469421, 100.0, 100.0, -41.900299, 133.430878, Qs5d, 5s6c, , , , sb, r300F, , , , 7.71137595176697, 7.75333499908447, 2016/11/13 15:00:19, 
-15.132903, 50.0, 50.0, -52.770478, 117.903381, 3h4c, 2h7c, , , , bb, f, , , , 0.0, 0.034398078918457, 2016/11/13 15:00:34, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 6c2d, 6d9s, , , , sb, f, , , , 5.45449209213257, 5.45449209213257, 2016/11/13 15:00:40, 
-356.763403, 400.0, 400.0, 302.996215, 453.767188, 9s9d, 8dQd, 5sAc7s, , , bb, cR400c, R900f, , , 33.8731150627136, 47.4961440563202, 2016/11/13 15:00:49, 
16.438789, 100.0, 100.0, 25.29846, 58.262751, Kh7h, 2d5s, , , , sb, r300F, , , , 6.21685194969177, 6.24641895294189, 2016/11/13 15:01:41, 
-4.124222, 300.0, 300.0, 40.437719, 263.686504, ThAc, 5c8h, , , , bb, r300R1050f, , , , 16.730840921402, 22.2843379974365, 2016/11/13 15:01:54, 
-127.649793, -720.0, -720.0, -201.885992, -390.464214, TdKc, Jd5d, 7h5hAh, 6s, 4d, sb, r300C, Cc, Cc, Cr720R20000f, 82.1308333873749, 99.6981723308563, 2016/11/13 15:02:20, 
-48.91678, -100.0, -100.0, -72.177119, 21.093899, 2d8d, Ah4c, JcKh6h, , , bb, cC, Cr300F, , , 20.1636440753937, 26.8580620288849, 2016/11/13 15:04:04, 
-99.962657, 300.0, 300.0, 192.234581, 207.728076, 9d6c, KsJh, 6s3h5d, , , sb, r300C, Cr720F, , , 31.5107710361481, 40.9264669418335, 2016/11/13 15:04:36, 
-15.539501, 200.0, 200.0, -21.81066, 237.350161, 5c9c, Tc7h, , , , bb, r200R900f, , , , 28.4513502120972, 34.057626247406, 2016/11/13 15:05:20, 
-313.047904, 300.0, 300.0, 214.958859, 398.089044, 9c3c, 3s6s, Ah9h6h, , , sb, r300C, Cr610F, , , 22.5567569732666, 32.6207139492035, 2016/11/13 15:05:57, 
-15.570588, -100.0, -100.0, -46.587915, -37.841497, 3hQc, 7dTd, , , , bb, r300F, , , , 7.81646108627319, 7.85536408424377, 2016/11/13 15:06:33, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2s9c, Ac5c, , , , sb, f, , , , 6.62326693534851, 6.62326693534851, 2016/11/13 15:06:45, 
-16.867431, -100.0, -100.0, -39.299203, -43.833366, 9d2d, 7hQs, , , , bb, r300F, , , , 19.9368469715118, 19.9767179489136, 2016/11/13 15:06:56, 
15.757605, 100.0, 100.0, 56.844084, 27.398311, As8s, Js5h, , , , sb, r300F, , , , 6.77714705467224, 6.81706500053406, 2016/11/13 15:07:20, 
-15.570588, -100.0, -100.0, -46.587915, -37.841497, Qs3c, JcKd, , , , bb, r300F, , , , 7.86957788467407, 7.90987801551819, 2016/11/13 15:07:35, 
-104.688767, -300.0, -300.0, -213.342568, 18.031334, Ad2s, 2h4h, Tc9cQd, 6c, 8c, sb, r300C, Cc, Cc, R900f, 26.3563838005066, 40.7397379875183, 2016/11/13 15:07:46, 
-8.134825, 750.0, 374.381587, 271.612189, 110.904223, 4cJc, 8hAd, 7cTd6s, 5h, Jh, bb, cC, Cc, R250c, R750c, 77.6553959846497, 91.3023319244385, 2016/11/13 15:08:35, 
-97.430685, -200.0, -200.0, -75.607545, -26.96177, 9dQh, 4h5s, ThAdTc, 8s, 7s, bb, r200C, Cc, Cc, Cr600F, 70.3513259887695, 81.6583421230316, 2016/11/14 02:57:09, 
521.889608, -2640.0, -2640.0, 925.325074, -4087.214682, Ah8h, 7dJd, 2hTd3d, Ad, 8c, sb, r300C, Cr660R1320c, R2640c, R20000f, 103.7186024189, 125.03188085556, 2016/11/14 02:58:39, 
-11.439827, 50.0, 50.0, -48.440838, 109.880665, Qs2h, 3d8h, , , , bb, f, , , , 0.0, 0.0363931655883789, 2016/11/14 03:00:49, 
7.279862, -50.0, -50.0, -57.279862, 0.0, 7s3h, 9d6c, , , , sb, f, , , , 4.95878481864929, 4.95878481864929, 2016/11/14 03:00:55, 
1142.40511, 1250.0, 1250.0, 1654.126405, -1546.531515, AhAd, QdTd, 2h2d3c, 3s, , bb, r200R800c, R1250c, R3250f, , 52.2269508838654, 66.305438041687, 2016/11/14 03:01:04, 
-138.729037, -300.0, -300.0, -121.770845, -39.500118, Kh6c, QsJd, 8sAd7c, Jc, 5c, sb, r300C, Cc, Cc, R600f, 41.5976779460907, 56.537935256958, 2016/11/14 03:02:17, 
-325.544125, 600.0, 600.0, 261.195029, 664.349096, As2d, QdKs, 9d9h6s, 5d, 2c, bb, r300C, Cr600C, Cc, R1000f, 49.1185662746429, 61.4080808162689, 2016/11/14 03:03:19, 
-16.291435, -100.0, -100.0, -56.016774, -27.691791, 5c2s, JhKd, , , , bb, r300F, , , , 465.324598073959, 465.372883081436, 2016/11/30 13:22:34, 
-139.336932, -1800.0, -1101.881266, -1095.789066, 133.244732, JhKs, 3h3s, 5dTs5c, Ac, 5h, sb, r300R900c, R1800c, Cc, Cc, 1687.47801661491, 1700.04242753983, 2016/11/30 13:39:40, 
-48.629799, -100.0, -100.0, -70.420157, 19.049957, 9s3s, 6d7s, 5dKhQd, , , bb, cC, Cr200F, , , 48.4176232814789, 54.8750152587891, 2016/11/30 14:54:44, 
-14.453373, 50.0, 50.0, -55.061818, 119.515191, 3d7c, 2d3s, , , , bb, f, , , , 0.0, 0.0415530204772949, 2016/11/30 14:55:34, 
7.345525, 100.0, 100.0, -52.41865, 145.073125, Jh3d, 4d5h, , , , sb, r300F, , , , 45.0548529624939, 45.0832509994507, 2016/11/30 14:55:56, 
6.582917, -50.0, -50.0, -56.582917, 0.0, 4h9s, Ts5d, , , , sb, f, , , , 38.37721991539, 38.37721991539, 2016/11/30 14:55:58, 
239.426631, 1860.0, 1860.0, 295.845034, 1324.728335, TdAs, 8d6d, Ks5hAd, 7s, Qd, bb, cR400c, R800c, R1860c, R4410f, 108.28853392601, 120.079987764359, 2016/11/30 14:56:43, 
-16.313469, -100.0, -100.0, -53.040135, -30.646395, 4c8h, JhTh, , , , bb, r200F, , , , 57.722589969635, 57.7594079971313, 2016/11/30 14:56:50, 
120.362483, -600.0, -182.806775, -327.190652, 24.021394, ThKd, 4hAc, 6dTdQc, Ad, 8s, sb, r300C, Cc, Cr600C, Cc, 53.099228143692, 74.0711691379547, 2016/11/30 14:57:55, 
8.0685, 100.0, 100.0, -47.281403, 139.212904, 5dJc, 9h6d, , , , sb, r300F, , , , 9.95285892486572, 9.98258495330811, 2016/11/30 14:58:51, 
-53.926264, -100.0, -100.0, -65.290685, 19.216949, 4cKs, 9s7h, 9d5s2d, , , bb, cC, Cr300F, , , 33.0169558525085, 40.464962720871, 2016/11/30 14:59:08, 
-49.250454, -100.0, -100.0, -64.876458, 14.126911, 8dQs, 5cKc, 3cAc4h, , , bb, cC, Cr200F, , , 20.129490852356, 27.039568901062, 2016/11/30 14:59:22, 
