AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-56.739639, -100.0, -100.0, -59.422827, 16.162467, 9h2h, 3c7s, 6sThJs, , , bb, cC, Cr300F, , , 25.0958461761475, 32.7757620811462, 2016/11/21 15:59:39, 
-200.480771, -250.0, -250.0, 60.342734, -109.861963, Kh9h, AsKc, , , , sb, r250R750f, , , , 22.2310750484467, 22.2678980827332, 2016/11/21 16:00:16, 
-64.783833, 100.0, 100.0, 40.512556, 124.271277, 4d5h, 7h3s, 2d2c4s, , , bb, cC, R200f, , , 16.0254240036011, 20.8298261165619, 2016/11/21 16:00:43, 
-13.857475, 200.0, -113.160359, -23.426316, -75.876568, 2d7d, 7hJs, 9cKcQd, 4h, 2s, sb, cC, Cc, Cr200C, Cc, 31.5537550449371, 53.377247095108, 2016/11/21 16:01:12, 
-56.279571, -100.0, -100.0, -30.617342, -13.103087, Kc6h, Ac2s, , , , bb, r200F, , , , 7.79124093055725, 7.82772278785706, 2016/11/21 16:02:22, 
5.278428, -50.0, -50.0, -55.278428, 0.0, 6c3s, 7c5s, , , , sb, f, , , , 5.03394198417664, 5.03394198417664, 2016/11/21 16:02:34, 
-28.169865, -100.0, -99.983094, -115.708837, 43.895607, 4d6h, 5cTh, 7d9hKs, Ad, Kd, bb, cC, Cc, Cc, Cc, 57.4771070480347, 70.8425989151001, 2016/11/21 16:03:05, 
-18.595037, -100.0, -100.0, -20.162674, -61.242288, Ks8d, JcAs, , , , sb, cR300f, , , , 17.5698399543762, 17.6308450698853, 2016/11/21 16:04:23, 
-16.432551, -100.0, -89.696904, -132.87033, 59.605977, 4dJh, Qd9c, 5hTd7c, Kd, 7h, bb, cC, Cc, Cc, Cc, 21.781702041626, 35.6162011623383, 2016/11/21 16:04:46, 
-11.663558, -100.0, -100.0, -38.146166, -50.190276, 3s7s, 6s9s, , , , sb, cR300f, , , , 17.2117738723755, 17.2507157325745, 2016/11/21 16:05:31, 
-105.616084, -300.0, -300.0, -126.456147, -67.927769, QhJs, 7cTc, 4dAd9d, 9c, 2h, bb, r300C, Cc, Cc, Cr900F, 39.00852394104, 52.0297260284424, 2016/11/21 16:05:52, 
-0.789445, -50.0, -50.0, -49.210555, 0.0, Qs2d, ThJs, , , , sb, f, , , , 7.69592618942261, 7.69592618942261, 2016/11/21 16:06:49, 
-16.550525, 50.0, 50.0, -40.394652, 106.945178, 5d6h, 2h6c, , , , bb, f, , , , 0.0, 0.0357110500335693, 2016/11/21 16:07:21, 
-5.429216, -50.0, -50.0, -44.570784, 0.0, Jd6s, Ad8c, , , , sb, f, , , , 5.32647895812988, 5.32647895812988, 2016/11/21 16:07:31, 
