AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-467.643366, -9600.0, -9600.0, -959.595106, -8172.761528, As6d, JcQh, Jh7s2c, 7h, 5c, bb, cR250r750C, Cr1500R2300c, R4800c, R9600c, 66.650785446167, 86.3849935531616, 2016/11/19 13:05:05, 
-111.61006, 200.0, 200.0, 29.246122, 282.363938, Kc4d, 5hQd, 9h2dAc, , , sb, r200C, Cr400F, , , 11.3429269790649, 20.0950608253479, 2016/11/19 13:06:42, 
-271.293548, 750.0, 750.0, -91.806111, 1113.099659, 6d9h, 7dKh, 8s3hQh, , , bb, r300R750c, R1875f, , , 23.2154779434204, 29.8204469680786, 2016/11/19 13:07:05, 
-622.436539, 1200.0, 1200.0, 435.031937, 1387.404603, Js9s, Th7h, Kd8h6c, Jd, , sb, r200R600c, R1200c, Cr3000F, , 21.9232940673828, 36.8865487575531, 2016/11/19 13:07:38, 
-107.571385, -900.0, -900.0, -51.811851, -740.616764, Jh7d, 9cAs, KhJs2s, Ac, 6h, bb, r300C, Cc, Cr900C, Cr2700F, 26.7363340854645, 40.7059192657471, 2016/11/19 13:08:18, 
123.499614, -2000.0, -2000.0, -550.170126, -1573.329488, 5s6h, As7c, Qs3d7h, Tc, Ah, sb, r200C, Cr400C, Cr800C, Cr2000R6000f, 25.2823460102081, 50.0086967945099, 2016/11/19 13:09:03, 
-74.026364, -300.0, -300.0, -146.688614, -79.285021, Tc5c, Jh6s, 6h2s9s, , , bb, r300C, Cr900F, , , 15.2030599117279, 22.7009589672089, 2016/11/19 13:09:56, 
-111.193789, 750.0, 750.0, -133.82461, 995.018398, Qd7h, KcQs, 8hJhTc, 3h, , sb, cR300c, Cr750C, Cr1875F, , 22.0656847953796, 42.9564065933228, 2016/11/19 13:10:24, 
-4.125431, 100.0, 100.0, 92.606526, 11.518905, TcKc, 7h3s, , , , bb, cR250f, , , , 10.7010259628296, 10.7527348995209, 2016/11/19 13:11:10, 
-220.7345, 750.0, 750.0, 567.069785, 403.664715, TdKd, Ah8c, JdQsTc, , , sb, cR300r750C, Cr1875F, , , 18.7946949005127, 30.483172416687, 2016/11/19 13:11:27, 
-7.227392, 100.0, 100.0, 40.437719, 66.789673, AcTs, 5c9d, , , , bb, cR300f, , , , 10.4528589248657, 10.506395816803, 2016/11/19 13:12:02, 
8.700246, 100.0, 100.0, -21.153281, 112.453035, 8sJd, 2s5h, , , , sb, r200F, , , , 4.56173396110535, 4.59763503074646, 2016/11/19 13:12:19, 
-143.427448, 1000.0, 1000.0, -342.291788, 1485.719236, Ac6s, 9s7h, 2c8h4s, Js, , bb, r300C, Cr600R1000c, R2500f, , 29.779678106308, 44.2262141704559, 2016/11/19 13:12:30, 
-419.110741, -5250.0, -5250.0, -325.450604, -4505.438656, 8c8d, 9dJs, TsQhKh, Jh, 2c, sb, r280C, Cr700C, Cr1750C, Cr5250C, 26.0465562343597, 53.9667012691498, 2016/11/19 13:13:18, 
