AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-15.087375, -100.0, -100.0, -38.158933, -46.753692, 7hJs, 7dKs, , , , bb, r300F, , , , 8.87878394126892, 8.92011690139771, 2016/11/16 11:22:46, 
16.55957, 100.0, 100.0, 32.84695, 50.59348, Kd8d, 4dKs, , , , sb, r300F, , , , 7.41156792640686, 7.44245481491089, 2016/11/16 11:23:01, 
-16.215686, -100.0, -100.0, -53.859085, -29.925228, 9c4d, 7d8d, , , , bb, r200F, , , , 7.14007186889648, 7.18088793754578, 2016/11/16 11:23:15, 
-69.966142, -1800.0, -1800.0, -324.327898, -1405.70596, Jc8d, JdAc, Ad2cJh, Qh, , sb, r300C, Cr600R1800c, R3600f, , 29.3713133335114, 43.0435254573822, 2016/11/16 11:23:30, 
-23.90614, -100.0, -100.0, -30.617342, -45.476518, 6dKh, JsKc, , , , bb, r300F, , , , 7.3070080280304, 7.34671187400818, 2016/11/16 11:24:20, 
10.418927, 100.0, 100.0, -6.18182, 95.762894, Qc9s, 6d2c, , , , sb, r300F, , , , 9.79152178764343, 9.82405996322632, 2016/11/16 11:24:34, 
-16.215686, -100.0, -100.0, -53.859085, -29.925228, 9c4d, KcJh, , , , bb, r200F, , , , 6.39337396621704, 6.42939376831055, 2016/11/16 11:24:51, 
-0.136446, -50.0, -50.0, -49.863554, 0.0, 9s5c, 7c2s, , , , sb, f, , , , 5.77625489234924, 5.77625489234924, 2016/11/16 11:25:02, 
-13.645122, 50.0, 50.0, 28.630161, 35.014962, JdTh, 6d2c, , , , bb, f, , , , 0.0, 0.0322279930114746, 2016/11/16 11:25:14, 
-87.168506, 600.0, -146.288799, -346.143749, 287.023456, 5dQd, 2dTd, 5h2s6s, As, 4d, sb, r300C, Cr600C, Cc, Cc, 22.0004370212555, 44.385153055191, 2016/11/16 11:25:23, 
