AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-230.908732, -300.0, -300.0, 37.001567, -106.092835, KdJd, Ts6c, 7s8cAh, , , bb, r300C, Cr900F, , , 53.1778678894043, 59.5505108833313, 2016/11/19 01:43:33, 
-37.799945, -1800.0, -937.489433, -345.087934, -554.601554, AhJs, Ts5s, 6c8h7s, Ad, 4h, sb, r300C, Cc, R900c, R1800c, 37.2898862361908, 49.6754019260406, 2016/11/19 01:44:39, 
-13.340551, 100.0, 100.0, -15.540168, 128.880719, 8d5d, Ks2c, , , , bb, cR500f, , , , 8.69577598571777, 8.77426695823669, 2016/11/19 01:45:35, 
-9.87475, -2250.0, -779.84052, -399.345519, -370.620252, 9hKc, Kh7s, 2d2h7d, 5c, 3s, sb, r300C, Cr750C, Cc, R2250c, 32.9942338466644, 51.535169839859, 2016/11/19 01:45:59, 
-37.940347, 2250.0, 2250.0, -275.317683, 2563.25803, 7c9s, 9d6d, 3d6c4h, 2c, , bb, r300C, Cr900R2250c, R5625f, , 28.436372756958, 40.589540719986, 2016/11/19 01:47:01, 
-256.170218, 750.0, 750.0, 533.315223, 472.854995, 4d2c, Qd2d, 9hAs2s, 5d, 4c, sb, r250C, R750c, Cc, Cr2850F, 33.8701860904694, 49.7448842525482, 2016/11/19 01:47:44, 
-13.331685, 50.0, 50.0, 0.024906, 63.306779, Qh9s, 3c8h, , , , bb, f, , , , 0.0, 0.03849196434021, 2016/11/19 01:48:39, 
23.345002, 450.0, 450.0, 151.009403, 275.645595, 5h7s, Jd2d, 6s2cKh, 4d, , sb, r200C, Cr450C, Cr2250F, , 26.3862042427063, 45.163667678833, 2016/11/19 01:48:46, 
971.835402, 800.0, 800.0, 874.393841, -1046.229243, 7dTd, Qh9h, JdKd2d, , , bb, r200R800c, R2000f, , , 26.9621720314026, 30.5920612812042, 2016/11/19 01:49:34, 
9.431385, -300.0, -300.0, -57.345326, -252.086059, 9c3d, 2s2h, , , , sb, r300R900f, , , , 13.9507310390472, 13.9818110466003, 2016/11/19 01:50:07, 
