AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-17.81394, 50.0, 50.0, -44.862146, 112.676085, Js6d, 2d4c, , , , bb, f, , , , 0.0, 0.0308990478515625, 2016/12/03 08:06:14, 
18.73967, -500.0, -422.65011, -390.869106, -50.520674, 6sKs, KhJd, 3d5c5s, Ad, 4s, sb, r250C, Cr500C, Cc, Cc, 28.7263925075531, 47.5518159866333, 2016/12/03 08:06:28, 
-16.195302, -100.0, -100.0, -52.527041, -31.277657, 2sJd, 3d9d, , , , bb, r300F, , , , 9.1760470867157, 9.20692205429077, 2016/12/03 08:07:26, 
6.746365, -50.0, -50.0, -56.746365, 0.0, Tc2d, 7d5s, , , , sb, f, , , , 7.88395500183105, 7.88395500183105, 2016/12/03 08:07:38, 
-148.006127, -600.0, -600.0, -178.79351, -273.200362, Kd9c, Js4s, 5d2h8s, 7c, , bb, r300C, Cr600C, Cr1800F, , 45.8754651546478, 57.5759670734406, 2016/12/03 08:07:50, 
29.101961, -1250.0, -1249.999863, -743.737634, -535.36419, 9hTc, 5d6h, 6d7d5c, 4c, Jc, sb, r250C, Cr500C, Cr1250C, Cc, 43.1207809448242, 71.6072647571564, 2016/12/03 08:08:52, 
-16.195302, -100.0, -100.0, -52.527041, -31.277657, 2cJs, 6h6s, , , , bb, r300F, , , , 7.70401501655579, 7.73784303665161, 2016/12/03 08:10:21, 
-10.537531, 300.0, 300.0, -12.638725, 323.176256, 4d5d, 4h3h, 8sQd7h, , , sb, r300C, Cr525F, , , 32.2447528839111, 43.2139310836792, 2016/12/03 08:10:32, 
-15.702622, -100.0, -100.0, -50.038767, -34.258611, Ts5h, 6s6c, , , , bb, r300F, , , , 7.28436303138733, 7.320965051651, 2016/12/03 08:11:19, 
-53.399411, -601.0, -601.0, -244.624832, -302.975756, 8sJh, JdQs, Kc3cAd, 5s, , sb, r300C, Cr601C, R1202f, , 28.6708660125732, 46.8090031147003, 2016/12/03 08:11:30, 
-11.159354, -622.0, -622.0, -214.174993, -396.665653, 3s7s, KcTc, 2c4cJc, , , bb, r300C, R622r1244F, , , 26.7440848350525, 31.8572497367859, 2016/12/03 08:12:32, 
17.682765, 100.0, 100.0, 95.253311, -12.936077, ThKh, 4d9h, , , , sb, r300F, , , , 7.45662808418274, 7.49336099624634, 2016/12/03 08:13:15, 
-14.568453, 300.0, 300.0, 28.630161, 285.938292, TdJs, 5s7h, , , , bb, r300R945f, , , , 16.550194978714, 23.5655200481415, 2016/12/03 08:13:28, 
9.855589, -350.0, -350.0, -51.454253, -308.401335, Ts5c, JdAd, , , , sb, r350R1050f, , , , 15.4357190132141, 21.0159780979156, 2016/12/03 08:13:56, 
-12.57764, 100.0, 100.0, 32.589781, 79.987859, Ks8s, 5sQd, , , , bb, cR300f, , , , 8.48867988586426, 8.54540586471558, 2016/12/03 08:14:20, 
9.362584, 100.0, 100.0, -21.153281, 111.790697, Jd8h, 3sTc, , , , sb, r300F, , , , 6.00540399551392, 6.03511214256287, 2016/12/03 08:14:35, 
-14.941816, 100.0, 100.0, -29.559652, 144.501468, 3c6c, Jh2s, , , , bb, cR325f, , , , 12.5781428813934, 18.1788561344147, 2016/12/03 08:14:48, 
8.752452, 100.0, 100.0, -20.162674, 111.410223, Kh8s, 7d4h, , , , sb, r250F, , , , 9.57800912857056, 9.60799503326416, 2016/12/03 08:15:08, 
-16.156518, -100.0, -100.0, -53.040135, -30.803347, 4h8d, Ts8s, , , , bb, r300F, , , , 5.54662394523621, 5.57786989212036, 2016/12/03 08:15:24, 
-176.928618, 500.0, 500.0, 315.734009, 361.194609, KhKs, JhAd, Tc9s7c, 2c, , sb, r250C, R500c, Cr1210F, , 18.9031529426575, 39.2719969749451, 2016/12/03 08:15:33, 
-39.574706, -545.0, 89.786226, -65.648012, 195.008944, 8dAd, Ks4d, 8h3cJc, Kc, 2d, bb, r300C, Cc, Cc, R545c, 23.5390539169312, 38.8233861923218, 2016/12/03 08:16:16, 
-68.839996, -823.0, -717.863348, -430.656113, -218.367239, ThQh, TcAh, 5h2s3c, 8s, Ac, sb, r250C, Cr438C, Cr823C, Cc, 30.9012470245361, 53.0716993808746, 2016/12/03 08:17:08, 
32.922416, -900.0, -900.0, -353.292364, -579.630052, 4dQh, 8h7h, 6hTs4h, 3s, , bb, r300C, Cr900C, Cr2700F, , 23.3759508132935, 36.8082597255707, 2016/12/03 08:18:10, 
7.625288, 100.0, 100.0, -25.458927, 117.833639, 8h7c, 3h7d, , , , sb, r255F, , , , 11.7362420558929, 17.7083458900452, 2016/12/03 08:18:52, 
-573.647902, 1688.0, 1688.0, -388.67224, 2650.320142, TdAd, KsQh, 5h2c2d, Jh, , bb, r300R900c, R1688c, R3432f, , 41.364804983139, 48.5157520771027, 2016/12/03 08:19:11, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 3s8d, 9cJs, , , , sb, f, , , , 4.24009418487549, 4.24009418487549, 2016/12/03 08:20:02, 
-5.500859, -2022.0, -2022.0, -760.111876, -1256.387266, Jh8h, QhQs, 6d4cQc, , , bb, r200R674r2022C, Cr6066F, , , 45.184455871582, 58.8191735744476, 2016/12/03 08:20:10, 
-38.01213, -1500.0, -511.96913, -123.904989, -350.052011, Ad5d, KdQh, Jh7h9d, 8c, Td, sb, r250C, Cc, Cr500C, R1500c, 26.9661149978638, 49.6890864372253, 2016/12/03 08:21:13, 
1.241688, 300.0, 300.0, 105.929207, 192.829105, AdTd, As2c, , , , bb, r300R981f, , , , 13.9787211418152, 19.5474860668182, 2016/12/03 08:22:22, 
4.545439, -50.0, -50.0, -54.545439, 0.0, 8c4d, 9cTd, , , , sb, f, , , , 6.48881888389587, 6.48881888389587, 2016/12/03 08:22:46, 
-62.82096, -100.0, -100.0, -8.603592, -28.575448, 8s3s, 2cKd, JsJd8c, Kc, 5c, bb, cC, Cc, Cc, Cr300F, 41.3840689659119, 53.5165719985962, 2016/12/03 08:29:09, 
-129.565447, -600.0, -600.0, -70.976976, -399.457577, KsQh, 9h7c, 7s7d4c, , , bb, r300C, R600r1200F, , , 78.7382960319519, 84.6529712677002, 2016/12/03 08:29:35, 
-16.25119, -100.0, -100.0, -58.866686, -24.882124, 2c3h, 8sTs, , , , bb, r300F, , , , 5.84608817100525, 5.88258934020996, 2016/12/03 08:33:38, 
-23.767379, -250.0, -250.0, -26.718864, -199.513756, 2sAh, 7dJd, , , , bb, cR250r750F, , , , 27.3017580509186, 27.3527588844299, 2016/12/03 08:33:47, 
-269.983885, 1169.0, 1169.0, -117.145187, 1556.129072, QdQh, 7c6s, Jd6cJh, Kh, Ts, sb, r250C, Cr625C, Cr1169C, Cr2691F, 27.2100355625153, 51.1964416503906, 2016/12/03 08:34:01, 
8.998833, 800.0, 54.984312, 112.698894, -66.713415, 4s3h, Ah8c, 9d9h3d, 7c, Qh, sb, r200C, Cr400C, Cr800C, Cc, 44.9145488739014, 71.6942570209503, 2016/12/03 08:34:20, 
-150.074402, -655.0, -569.374783, -259.172555, -160.127826, 5s6c, Qc7s, Jh9d6h, Qh, 8s, bb, r300C, Cc, R655c, Cc, 30.654149055481, 46.063266992569, 2016/12/03 08:34:57, 
-93.553634, 200.0, 200.0, 27.704577, 265.849057, 8cKs, 6dJs, 9sTc4s, , , sb, r200C, Cr366F, , , 10.8191111087799, 25.6199309825897, 2016/12/03 08:35:58, 
-146.758095, 922.0, 922.0, 446.266634, 622.491461, 3sJs, QdTc, Jd3dAd, Jc, 3c, bb, cR200c, R412c, R922c, R3343f, 53.2233788967133, 64.1387791633606, 2016/12/03 20:43:38, 
489.475839, 1200.0, 1200.0, 218.540085, 491.984076, Td3d, 5hAh, 4d5d6c, , , sb, r200R600c, R1200r2900F, , , 23.0518779754639, 35.0597398281097, 2016/12/03 20:44:47, 
-0.983644, 200.0, 200.0, 64.4418, 136.541845, KdQh, 4sQc, , , , bb, r200R600f, , , , 7.2143349647522, 7.2588939666748, 2016/12/03 20:45:25, 
26.586739, -800.0, -201.845527, 210.032588, -438.464854, 8sTh, As4d, 6dAd2d, 4c, 8h, sb, r200C, Cr400C, Cc, R800c, 16.0494241714478, 33.7587983608246, 2016/12/03 20:45:39, 
-176.034868, 250.0, 250.0, 76.288875, 349.745993, 9hAs, Qc2d, Jh5sKs, , , bb, cR250c, R515f, , , 23.3990960121155, 30.1030838489532, 2016/12/03 20:46:20, 
-133.648314, -1121.0, -1121.0, -271.093152, -716.258534, TdJh, As7h, 4cAh3c, 6d, 2c, bb, r300C, Cc, R1121c, Cc, 34.1605670452118, 47.5400149822235, 2016/12/03 20:52:26, 
