AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-91.481013, 900.0, 900.0, 8.266984, 983.214029, 8dAh, Kc7c, 6s8h9c, 2h, , bb, cR300c, R900c, R2100f, , 47.7711679935455, 57.9229378700256, 2016/11/13 08:04:49, 
-2303.46192, -14400.0, -14400.0, -2976.194983, -9120.343097, 9s8h, 8sTs, 7s5s3c, Td, Qd, sb, r200R600c, R1200c, R3600r8400C, Cr14400C, 61.3951659202576, 82.6180491447449, 2016/11/13 08:05:54, 
-89.074691, 800.0, 800.0, 1196.855056, -307.780365, 6c2c, 6hAs, Ac8cTs, 4c, , bb, r200C, Cr400R800c, R2000f, , 36.1976342201233, 53.2032160758972, 2016/11/13 08:07:32, 
1.741452, -50.0, -50.0, -51.741452, 0.0, 7c4d, 6dQc, , , , sb, f, , , , 5.83245706558228, 5.83245706558228, 2016/11/13 08:08:32, 
-32.67142, -300.0, -293.414087, -281.668004, 20.925337, Kh5h, 5cTh, 5s9sTc, 7s, 8h, bb, cC, R300c, Cc, Cc, 28.3883361816406, 44.0508370399475, 2016/11/13 08:08:42, 
-1135.050167, 750.0, 750.0, 1886.885735, -1.835568, JdQh, 5s5h, AdKcQs, Qd, , sb, r250R750c, Cc, Cr1950F, , 39.280633687973, 51.5869135856628, 2016/11/13 08:09:38, 
-223.78067, 300.0, 300.0, 134.886661, 388.89401, QhTh, As9h, 4d5cJc, Kh, , bb, cR300c, Cc, R700f, , 38.8857638835907, 52.6450757980347, 2016/11/13 08:10:39, 
-45.463514, -350.0, -275.46231, -202.299869, -27.698927, 5dKd, 6cAc, QcQs2s, Th, 9s, sb, r200C, Cr350C, Cc, Cc, 33.2651278972626, 51.4199028015137, 2016/11/13 08:11:45, 
-4.862899, 50.0, 50.0, 148.184859, -93.32196, AcQc, 9d2s, , , , bb, f, , , , 0.0, 0.0333318710327148, 2016/11/13 08:13:01, 
545.773667, 300.0, 300.0, 280.841402, -526.615069, KdQc, 5h7h, QsKh3s, , , sb, r300C, Cr700F, , , 20.3506639003754, 33.0155806541443, 2016/11/13 08:13:11, 
2.156807, 600.0, 600.0, -479.130641, 1076.973834, 8cQh, Td6h, 2sJcTh, Ac, 7s, bb, r300C, Cc, R600c, R1800f, 44.1909217834473, 56.3803837299347, 2016/11/13 08:14:53, 
-42.232932, -500.0, -478.075725, -286.420204, -149.422589, TcKh, Ks7h, 4c7cAs, Jc, 3d, sb, r200C, Cr500C, Cc, Cc, 38.1883261203766, 61.9837162494659, 2016/11/13 08:16:08, 
-144.084777, 300.0, 300.0, -26.183892, 470.268669, 5d3h, KsAd, 6c9dJd, 3c, , bb, r300C, Cc, R900f, , 26.6069009304047, 38.4014179706573, 2016/11/13 08:17:44, 
10.738829, -100.0, -100.0, -53.433974, -57.304855, Jd2s, Tc8h, , , , sb, cR300f, , , , 45.0629189014435, 45.0905258655548, 2016/11/13 08:18:38, 
-3636.756943, 20000.0, 16988.014621, 28146.459612, -7521.688048, KcQc, 2d3d, Js4d2c, 3c, Ac, bb, r300R900c, R2250c, R6750r20000C, , 46.0231349468231, 55.27414894104, 2016/11/13 08:19:41, 
11.034323, 100.0, 100.0, -3.59544, 92.561117, As8c, 2d5s, , , , sb, r300F, , , , 11.776261806488, 11.8172318935394, 2016/11/13 08:20:54, 
-54.098057, -600.0, -199.770809, 78.397398, -224.07015, Th2h, Qd8c, 5d9s5s, Qh, Ts, bb, r200C, Cc, Cc, Cr600C, 31.5947601795197, 45.2921671867371, 2016/11/13 08:21:23, 
6.582917, -50.0, -50.0, -56.582917, 0.0, 4s9c, 6sTd, , , , sb, f, , , , 12.8212339878082, 12.8212339878082, 2016/11/13 08:22:25, 
-16.25119, -100.0, -100.0, -58.866686, -24.882124, 3s2c, 9s4s, , , , bb, r300F, , , , 7.96912813186646, 8.01233720779419, 2016/11/13 08:22:46, 
7.345326, -50.0, -50.0, -57.345326, 0.0, 3c9d, 7dKd, , , , sb, f, , , , 5.34523391723633, 5.34523391723633, 2016/11/13 08:23:05, 
442.610644, 750.0, 750.0, 220.830026, 86.55933, AdJc, QcKc, 6d9dTd, , , bb, r300R750c, R1875f, , , 20.5769412517548, 31.1960122585297, 2016/11/13 08:23:27, 
222.033112, 200.0, 200.0, 120.409948, -142.443061, 6dAd, Qd5c, 3d4d9c, , , sb, r200C, Cr500F, , , 13.1353738307953, 28.2263414859772, 2016/11/13 08:24:03, 
