AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-45.934113, -100.0, -100.0, -20.623121, -33.442766, 2dJd, Qd6s, , , , bb, r300F, , , , 18.2016470432281, 18.2410740852356, 2016/11/14 12:45:38, 
-39.272322, -200.0, -200.0, -9.814064, -150.913615, Ts6s, 8s8d, , , , sb, r200R600f, , , , 17.0003201961517, 17.0320682525635, 2016/11/14 12:46:02, 
-113.077619, -300.0, -300.0, -84.689498, -102.232883, Kh8d, 8h9d, 3dTc6d, , , bb, r300C, Cr900F, , , 14.2570090293884, 21.4232499599457, 2016/11/14 12:46:25, 
-105.369803, -200.0, -200.0, -35.068229, -59.561968, AsQd, KhTd, 6h7h3h, 9c, , sb, r200C, Cc, R600f, , 11.557590007782, 25.4484050273895, 2016/11/14 12:46:50, 
-16.712833, -100.0, -100.0, -56.457735, -26.829433, 9h2c, 4s7d, , , , bb, r300F, , , , 6.10258007049561, 6.13675308227539, 2016/11/14 12:47:26, 
3.433974, -50.0, -50.0, -53.433974, 0.0, Jh2s, 7c2c, , , , sb, f, , , , 6.858971118927, 6.858971118927, 2016/11/14 12:47:36, 
-13.954094, -700.0, 13.31852, -38.902292, 66.174907, Kh7s, 6cAh, AcJsKd, 9c, 4c, bb, r200C, Cc, R400c, R700c, 33.9293627738953, 44.1759257316589, 2016/11/14 12:47:46, 
16.40871, -2150.0, -2150.0, -624.229332, -1542.179378, TdQc, 8s6h, 2h9s8h, 5s, 3d, sb, r200C, Cr450C, R900c, Cr2150C, 34.123458147049, 58.7418591976166, 2016/11/14 12:48:43, 
40.439557, 50.0, 50.0, 853.697872, -844.137429, AsAh, 8d3h, , , , bb, f, , , , 0.0, 0.0396730899810791, 2016/11/14 12:49:54, 
195.073421, -2800.0, -1570.079243, -309.798355, -1455.354309, Ad9d, Kh3h, Ks9c3s, Kd, Td, sb, r300C, Cc, Cr700C, Cr1400R2800c, 43.559849023819, 68.9245681762695, 2016/11/14 12:50:02, 
-48.122711, -0.0, -160.791082, -196.73304, 84.064669, 7dJh, Jd8h, KhTd4s, Ac, Ks, bb, r300C, Cc, Cc, Cc, 20.8579452037811, 34.4703800678253, 2016/11/14 12:51:17, 
26.90556, -400.0, -356.954555, -242.632874, -141.227241, Kh5d, AhTc, QsAs8d, 3c, 9h, sb, r200C, Cr400C, Cc, Cc, 17.5693531036377, 40.16810297966, 2016/11/14 12:51:57, 
-4.377913, 100.0, 100.0, 93.158513, 11.2194, QsJs, 4hJc, , , , bb, cR400f, , , , 9.36375403404236, 9.43278217315674, 2016/11/14 12:52:42, 
-133.262091, 200.0, 200.0, 39.408967, 293.853125, Kh7d, Ts8h, AcJd3d, , , sb, r200C, Cr400F, , , 9.70722913742065, 22.6530060768127, 2016/11/14 12:52:58, 
-16.896637, -100.0, -100.0, -57.955474, -25.147889, 2s7d, Ac6d, , , , bb, r300F, , , , 7.29282116889954, 7.34462714195251, 2016/11/14 12:53:27, 
