AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-14.154566, 50.0, 50.0, -18.258125, 82.412691, 8dKh, 2s9d, , , , bb, f, , , , 0.0, 0.0341730117797852, 2016/11/29 04:07:24, 
7.760852, 100.0, 100.0, -36.087371, 128.326519, 8s6h, 2h7s, , , , sb, r200F, , , , 10.2310080528259, 10.2657442092896, 2016/11/29 04:07:54, 
-102.736516, -1200.0, -1200.0, -299.381616, -797.881869, 5h8s, 8d4d, 7d5cJc, 6d, Jh, bb, r200C, Cr600C, Cr1200C, Cr3600F, 35.6169264316559, 51.8685956001282, 2016/11/29 04:08:16, 
2.193506, -50.0, -50.0, -52.193506, 0.0, 5s3c, 7s6h, , , , sb, f, , , , 5.46163988113403, 5.46163988113403, 2016/11/29 04:09:12, 
-16.668101, -1000.0, -1000.0, -214.273523, -769.058377, 7s5h, 3dAc, JsQsJc, Jd, Ah, bb, cR200c, R400c, Cc, R1000c, 57.9867799282074, 70.965521812439, 2016/11/29 04:09:21, 
-260.691241, -1200.0, -991.738739, -778.940836, 47.893338, 3hAd, 2h2d, 6h5d6s, 4d, 9c, sb, r200R600c, Cc, R1200c, Cc, 28.6388113498688, 43.1202955245972, 2016/11/29 04:10:49, 
-15.702622, -100.0, -100.0, -50.038767, -34.258611, 5sTh, As8c, , , , bb, r300F, , , , 7.77614903450012, 7.81771612167358, 2016/11/29 04:11:45, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 4h2s, Jc5d, , , , sb, f, , , , 13.2795610427856, 13.2795610427856, 2016/11/29 04:11:57, 
99.25218, 633.0, 633.0, -1.627918, 535.375738, Qc9s, 7cTd, Qs2sTc, 3c, Jc, bb, r300C, Cc, R633c, Cc, 30.2970340251923, 45.2571609020233, 2016/11/29 04:12:14, 
-8.0735, 2132.0, 1514.084084, 1424.912658, 97.244927, 9sTs, 9h5s, 7h6c2h, 2s, Tc, sb, r200C, Cr533R1066c, Cc, R2132c, 32.6501400470734, 56.2390871047974, 2016/11/29 04:13:05, 
-105.232165, -300.0, -300.0, -115.424311, -79.343524, 5d7d, AsTd, Js6sJc, , , bb, r300C, Cr600F, , , 15.3366742134094, 20.836962223053, 2016/11/29 04:14:13, 
-51.430438, -400.0, -400.0, -226.646354, -121.923207, TcAs, Qs8c, Jd8d4c, 2s, 7s, sb, r200C, Cc, R400c, R800f, 18.5410962104797, 36.3110892772675, 2016/11/29 04:14:38, 
-47.917923, 600.0, 599.999978, 1154.745241, -506.82734, 8hQd, 6d5h, 3s9h8s, Qc, As, bb, r200C, Cr600C, Cc, Cc, 31.5855300426483, 46.5466539859772, 2016/11/29 04:15:38, 
61.791281, 200.0, 200.0, 122.538459, 15.670261, Kd9c, 4sJs, 5h7dKh, , , sb, r200C, Cr533F, , , 39.8765261173248, 56.0539622306824, 2016/11/29 04:16:31, 
-261.747885, 300.0, 300.0, 111.952505, 449.79538, Kh9h, 5h8s, 6c6h2d, , , bb, cR300c, R700f, , , 29.850448846817, 33.7155649662018, 2016/11/29 04:17:32, 
3.433974, -50.0, -50.0, -53.433974, 0.0, 2cJh, TdQs, , , , sb, f, , , , 8.37465810775757, 8.37465810775757, 2016/11/29 04:18:09, 
-16.853196, -100.0, -100.0, -57.321328, -25.825476, 8h2c, QcTd, , , , bb, r300F, , , , 8.84907507896423, 8.8852002620697, 2016/11/29 04:18:21, 
-147.844457, -600.0, -600.0, -243.575567, -208.579976, Qc8c, TcKc, JsAh2s, 2c, Ks, sb, r200R600c, Cc, Cc, R1200f, 42.2906138896942, 55.9444842338562, 2016/11/29 04:18:48, 
-107.380154, 100.0, 82.927323, 12.008006, 178.299471, 3s5s, As8c, Jc5d2c, 2d, Td, bb, cC, Cc, Cc, Cc, 24.7653660774231, 39.9191422462463, 2016/11/29 04:19:48, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2c6s, 4cAh, , , , sb, f, , , , 4.67172312736511, 4.67172312736511, 2016/11/29 04:20:33, 
-46.224817, -300.0, -300.0, -251.05987, -2.715313, Jh3s, 6cJc, 4h3cKc, 7s, 5d, bb, cC, Cc, Cr300C, Cr600F, 30.1328060626984, 46.7926247119904, 2016/11/29 04:20:42, 
6.746365, -50.0, -50.0, -56.746365, 0.0, 2sTd, 9s7c, , , , sb, f, , , , 5.72473001480103, 5.72473001480103, 2016/11/29 04:21:33, 
-2.021345, 300.0, 300.0, 101.497435, 200.52391, 6s6d, 7h4d, , , , bb, r300R1111f, , , , 12.2474210262299, 17.8944931030273, 2016/11/29 04:21:43, 
7.382893, 100.0, 100.0, -42.819504, 135.436611, Ts6c, 3s6h, , , , sb, r200F, , , , 10.4656591415405, 10.5061972141266, 2016/11/29 04:22:09, 
-275.38388, 300.0, 300.0, 634.30555, -58.92167, 7dTs, KcQc, 7s8cAd, 3c, Th, bb, r300C, Cc, Cc, R633f, 27.0710320472717, 40.4829292297363, 2016/11/29 04:22:29, 
-15.956023, 455.0, 455.0, 173.084222, 297.871801, 9cJd, 2c7c, 2h4h6d, 3s, Jc, sb, r200C, Cr455C, Cc, Cr1055F, 49.198046207428, 73.2028143405914, 2016/11/29 04:23:15, 
-1552.225569, -6666.0, -6666.0, -2148.249444, -2965.524987, 7s7d, 6sAs, 5h8dTs, Ah, , bb, r300R1111r3333C, Cr6666C, Cr13332F, , 45.3328449726105, 60.7192499637604, 2016/11/29 04:24:39, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2d8h, 8cTh, , , , sb, f, , , , 4.86941814422607, 4.86941814422607, 2016/11/29 04:25:45, 
-16.896637, -100.0, -100.0, -57.955474, -25.147889, 2d7s, 5hJs, , , , bb, r300F, , , , 9.02310609817505, 9.05632615089417, 2016/11/29 04:25:56, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 8h3c, 9sJc, , , , sb, f, , , , 4.61778402328491, 4.61778402328491, 2016/11/29 04:26:08, 
-57.599481, -100.0, -85.300941, -101.126743, 73.425283, 9c6h, 8hAd, KdThQc, 5s, 3c, bb, cC, Cc, Cc, Cc, 24.0639197826385, 34.4924740791321, 2016/11/29 04:26:17, 
