AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-84.337993, -1875.0, -1875.0, -376.731814, -1413.930193, 4c7c, Ks6s, 3cKhQd, As, Th, bb, r200R300c, R750c, Cc, R1875c, 53.8473160266876, 70.1626744270325, 2016/11/10 14:04:40, 
122.578863, 200.0, 200.0, 180.33114, -102.910003, As8s, 3sQd, Js7cAd, , , sb, r200C, Cr500F, , , 15.6494102478027, 24.8696491718292, 2016/11/10 14:06:03, 
-56.706857, 200.0, 200.0, 122.242232, 134.464625, Kc9d, 4c8d, 5hAhKs, , , bb, cR200c, R500f, , , 21.5438899993896, 28.2966597080231, 2016/11/10 14:06:35, 
-126.143663, 200.0, 200.0, 110.171605, 215.972058, 5h3d, 5c6h, 3hThQc, , , sb, r200C, Cr500F, , , 12.8082027435303, 27.3526127338409, 2016/11/10 14:07:13, 
-122.379667, -500.0, -500.0, -350.808945, -26.811388, 6c2c, Jd5d, Qd8s9c, Tc, 5s, bb, cC, Cr200C, R500c, Cr1000F, 34.340175151825, 45.7203133106232, 2016/11/10 14:07:47, 
-70.103465, -300.0, -300.0, -151.696652, -78.199883, 8s4h, 5hAh, 3cKdTs, , , sb, cR300c, R600f, , , 21.3226699829102, 26.7153589725494, 2016/11/10 14:09:06, 
396.043855, 1875.0, 1874.999213, -332.537375, 1811.492734, QdQc, Ks5c, Jd6s5h, Ad, 9c, bb, r300R750c, R1875c, Cc, Cc, 25.5890052318573, 42.8582203388214, 2016/11/10 14:09:37, 
-114.314897, 200.0, 200.0, 308.131815, 6.183081, TdTs, 2s5s, 8dJc3s, , , sb, r200C, Cr500F, , , 10.9370248317719, 27.0666320323944, 2016/11/10 14:10:28, 
-125.356344, -300.0, -300.0, -67.497224, -107.146432, 9hKs, Kc6h, 3cJd7h, , , bb, r300C, Cr900F, , , 18.1181848049164, 23.3601627349854, 2016/11/10 14:10:59, 
-422.600722, 750.0, 750.0, -186.72655, 1359.327273, Qd8h, Ah7h, Jc3sKc, Ks, , sb, r250R750c, Cc, Cr1875F, , 28.1793930530548, 51.0397791862488, 2016/11/10 14:11:42, 
-147.223883, 300.0, 300.0, -41.078626, 488.302509, 2c6c, TsKd, 7d8sJh, 5s, , bb, r300C, Cc, R750f, , 25.6531980037689, 36.9477479457855, 2016/11/10 14:12:37, 
-24.603714, -750.0, -750.0, -386.698324, -338.697962, 4cQd, AcJs, 9sTs7d, , , sb, r250R750c, R1500f, , , 18.1030359268188, 24.4655251502991, 2016/11/10 14:13:18, 
-594.437066, -1850.0, -1850.0, -368.963709, -886.599225, 4cAd, QdQs, Qh7sQc, Th, , bb, r200R500r1500C, R1600c, R1850r3700F, , 39.8266551494598, 52.6821625232697, 2016/11/10 14:13:57, 
7.404842, -200.0, -200.0, -55.868579, -151.536262, 3sTd, QhKc, , , , sb, r200R600f, , , , 16.9558570384979, 16.9865229129791, 2016/11/10 14:15:11, 
-197.794293, 250.0, 250.0, 9.485957, 438.308336, 3dKc, 3cKh, 5c5d4h, , , bb, cR250c, R750f, , , 16.2473678588867, 26.9181246757507, 2016/11/10 14:15:34, 
13.747703, 100.0, 100.0, 6.229198, 80.023099, 9sAh, 2d7c, , , , sb, r250F, , , , 7.90932393074036, 7.94476079940796, 2016/11/10 14:16:06, 
-17.642544, 100.0, 100.0, -44.089181, 161.731725, 7c5d, 2hQd, , , , bb, cR250f, , , , 9.82097601890564, 15.3540968894958, 2016/11/10 14:16:26, 
19.249029, 100.0, 100.0, 42.42632, 38.324651, TsAc, 5sJc, , , , sb, r250F, , , , 6.95921015739441, 6.98896217346191, 2016/11/10 14:16:45, 
-18.311796, -400.0, -400.0, -183.612566, -198.075638, 7d4h, 6c8c, Qh3d8h, Ad, 9s, bb, r200C, Cc, Cc, R400c, 23.6577141284943, 39.0658748149872, 2016/11/10 14:18:29, 
18.49905, -250.0, -250.0, -30.87555, -237.6235, Ts7h, AcKs, , , , sb, r250R20000f, , , , 19.2909259796143, 19.326740026474, 2016/11/10 14:19:28, 
-16.550525, 50.0, 50.0, -40.394652, 106.945178, 6c5s, 2d6s, , , , bb, f, , , , 0.0, 0.0386698246002197, 2016/11/10 14:19:55, 
5.495907, 100.0, 100.0, -49.863554, 144.367647, 9h5s, 4h9d, , , , sb, r200F, , , , 6.72522807121277, 6.75383901596069, 2016/11/10 14:20:02, 
792.086256, 600.0, 600.0, 313.019454, -505.105711, 3h4d, 4cKs, 3cTc3d, , , bb, r300C, Cr600R900f, , , 17.5071380138397, 28.2130663394928, 2016/11/10 14:20:16, 
