AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-87.353179, -200.0, -200.0, -64.392614, -48.254206, Qc4c, 3s7s, 6dTs6h, , , bb, r200C, Cr400F, , , 24.6229200363159, 29.0631532669067, 2016/11/13 15:35:19, 
11.219675, 100.0, 100.0, -4.983225, 93.76355, 9dJs, 9c2s, , , , sb, r300F, , , , 10.5231471061707, 10.5572390556335, 2016/11/13 15:35:53, 
-188.598052, 440.0, 440.0, -19.647347, 648.245399, 9cJd, 2cQc, 2s3dAd, , , bb, cC, R220r440R1250f, , , 63.5213539600372, 75.363463640213, 2016/11/13 15:36:11, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2h7d, 4s2d, , , , sb, f, , , , 5.08188009262085, 5.08188009262085, 2016/11/13 15:37:35, 
-32.949474, 300.0, 300.0, -43.739808, 376.689283, 2d6d, 6cKd, , , , bb, r300R1150f, , , , 19.19082903862, 24.7233920097351, 2016/11/13 15:37:46, 
-557.285651, 20000.0, 20000.0, 5144.015755, 15413.269896, KcAs, 9hJc, 8d5sQs, Jh, Th, sb, r300C, Cr450C, Cr1700C, Cr20000C, 79.9813840389252, 108.030263185501, 2016/11/13 15:38:15, 
-15.841279, -100.0, -100.0, -46.919275, -37.239446, 5h8c, Qs6d, , , , bb, r300F, , , , 21.5506670475006, 21.6054329872131, 2016/11/13 15:40:33, 
-202.164567, -4500.0, -4500.0, -1160.60861, -3137.226823, QdAh, QhAs, Ts2sJh, 6d, 5s, sb, r300R900c, R1800c, Cc, Cr4500R20000f, 136.022800683975, 152.534160614014, 2016/11/13 15:40:59, 
-188.623961, 300.0, 300.0, 585.707914, -97.083953, Qh8s, Ad7d, Jc8dKc, 8c, , bb, r300C, Cc, R720f, , 54.1470010280609, 65.9650208950043, 2016/11/13 15:43:41, 
323.356936, 1350.0, -447.21628, -288.283632, -482.289585, 7c3c, 9dJc, 8c5c3s, 2s, 5d, sb, r300C, Cr450C, Cc, R1350c, 36.7882869243622, 60.5658051967621, 2016/11/13 15:44:52, 
-36.322998, 850.0, -365.624489, -198.286746, -131.014744, 8h8c, As8d, 4dJdTd, Qs, 4c, bb, cR400c, R850c, Cc, Cc, 59.5028071403503, 71.1987483501434, 2016/11/13 15:46:00, 
5.278428, -50.0, -50.0, -55.278428, 0.0, 3h6s, Ts2d, , , , sb, f, , , , 9.58606386184692, 9.58606386184692, 2016/11/13 15:47:19, 
-15.430342, -100.0, -100.0, -52.770478, -31.79918, 4d3c, 3sQs, , , , bb, r300F, , , , 8.10476207733154, 8.1379599571228, 2016/11/13 15:47:33, 
10.814859, 100.0, 100.0, -11.415032, 100.600172, Ad7h, Jd2h, , , , sb, r300F, , , , 9.98227119445801, 10.0222082138062, 2016/11/13 15:47:45, 
-30.912138, -485.0, -482.147603, -280.99104, -170.244425, Ks7d, 8dTd, 9s4sJc, 3c, Th, bb, r200C, Cc, R485c, Cc, 86.4347343444824, 102.09442448616, 2016/11/13 15:48:03, 
10.838868, 100.0, 100.0, -23.698516, 112.859648, Jc3c, 6c9h, , , , sb, r300F, , , , 7.56028604507446, 7.60404515266418, 2016/11/13 15:49:53, 
130.768788, 300.0, 300.0, -35.902419, 205.133631, 3h4s, Jc6h, 5cTs2d, , , bb, cC, Cr300R819f, , , 29.2177700996399, 38.8626809120178, 2016/11/13 15:50:07, 
11.083739, 100.0, 100.0, -12.708212, 101.624473, 5cAs, 3cKh, , , , sb, r300F, , , , 11.385106086731, 11.4136760234833, 2016/11/13 15:50:50, 
-14.959827, -3043.0, -3008.230606, -1254.194387, -1739.076393, 5dQh, KsKd, 3h4s2s, 7d, 5c, bb, cC, Cr300R819c, R3043c, Cc, 138.981421232224, 156.896404743195, 2016/11/13 15:51:07, 
9.664273, 100.0, 100.0, -22.470215, 112.805942, Qh8d, 6cJd, , , , sb, r300F, , , , 9.89452505111694, 10.1290040016174, 2016/11/13 15:53:58, 
-14.465409, -100.0, -100.0, -43.155951, -42.37864, 4s5h, TsTc, , , , bb, r300F, , , , 10.9796600341797, 11.023787021637, 2016/11/13 15:54:15, 
9.664273, 100.0, 100.0, -22.470215, 112.805942, Qd8c, 3dTc, , , , sb, r300F, , , , 7.42952108383179, 7.46462202072144, 2016/11/13 15:54:30, 
-12.828518, 50.0, 50.0, -29.559652, 92.38817, 3s6s, 2s9d, , , , bb, f, , , , 0.0, 0.0419838428497314, 2016/11/13 15:54:44, 
-67.549453, -300.0, -300.0, -10.530852, -221.919695, Kd3s, 9sTc, 5dAcAs, , , sb, r300C, R900f, , , 30.295117855072, 36.1819539070129, 2016/11/13 15:54:51, 
85.390585, 400.0, 400.0, 412.051775, -97.44236, KhJc, 6h8d, 8cKd3h, Ks, 4h, bb, r200C, Cc, R400c, R3787f, 83.6884896755219, 94.604957818985, 2016/11/13 15:55:31, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2d8h, 6sTc, , , , sb, f, , , , 5.64895510673523, 5.64895510673523, 2016/11/13 15:57:12, 
-27.587915, -100.0, -100.0, -89.273025, 16.86094, 4dJh, 5cKh, 3d8cTc, , , bb, cC, Cr300F, , , 20.0694971084595, 27.5921199321747, 2016/11/13 15:57:22, 
19.655431, 100.0, 100.0, 70.046775, 10.297794, QhKc, 7h2s, , , , sb, r300F, , , , 6.72442698478699, 6.75434303283691, 2016/11/13 15:57:54, 
-65.334782, -100.0, -100.0, -40.75135, 6.086131, 6c3h, 7d3c, Qs3s9c, Th, 7h, bb, cC, Cc, Cc, Cr500F, 41.3339629173279, 56.7839620113373, 2016/11/13 15:58:11, 
11.599312, 100.0, 100.0, -21.078238, 109.478926, 4cJc, 9s5d, , , , sb, r300F, , , , 7.26004695892334, 7.29110789299011, 2016/11/13 15:59:12, 
3545.970774, 20000.0, 3318.246112, -1880.724085, 1652.999423, TdQh, JsTc, Th9sTs, 7s, 5h, bb, cR400c, R960r2880R7382c, R10353r20000C, , 135.706961870193, 154.31338596344, 2016/11/13 15:59:28, 
618.120575, 300.0, 300.0, 277.812312, -595.932887, 7d8s, Qc4c, 6hTh9d, , , sb, r300C, Cr1421F, , , 35.5010199546814, 47.6780698299408, 2016/11/13 16:02:27, 
