AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
37.123982, 2850.0, 2850.0, -633.929915, 3446.805932, Ah2d, 7cTs, TcQs4c, Kh, , bb, r200R400r1200C, R2850c, R5500f, , 347.062303304672, 364.003504514694, 2016/11/19 15:58:02, 
11.117908, -200.0, -200.0, -30.87555, -180.242359, 7hTs, TdQd, , , , sb, r200R600f, , , , 26.3093039989471, 26.3515660762787, 2016/11/19 16:04:11, 
-309.410381, 300.0, 300.0, 79.961323, 529.449058, 3h4c, 2sQs, 7h3d9d, 7d, , bb, r300C, Cc, R750f, , 27.5341219902039, 40.7959129810333, 2016/11/19 16:04:44, 
34.104588, 100.0, 100.0, 67.374646, -1.479234, 3s3h, 2sKd, , , , sb, r250F, , , , 9.80865287780762, 9.84311985969543, 2016/11/19 16:05:30, 
-35.849233, -200.0, -200.0, -106.013869, -58.136898, 9d2s, 2dAs, JdKh3c, Ts, , bb, r200C, Cc, Cr600F, , 25.2191987037659, 35.9551787376404, 2016/11/19 16:05:47, 
-9372.095585, -20000.0, -14970.206527, -4396.351944, -1201.758998, Ac3h, AhKd, Qd8d7c, Jc, Ad, sb, r250R750r1750R20000c, , , , 51.1132471561432, 59.2557971477509, 2016/11/19 16:06:27, 
175.770153, 875.0, 415.124872, -2.685342, 242.040061, Qc3d, 5s5c, 2cQhTd, Ts, 9d, bb, r200C, Cr400C, Cc, R875c, 38.5694844722748, 51.1183733940125, 2016/11/19 16:07:34, 
371.318558, 1500.0, 509.808715, -333.598329, 472.088485, 5c5s, 4cQd, 3c3d4d, 8h, 2d, sb, r250C, Cr625C, Cr1500C, Cc, 31.8447551727295, 59.3501222133636, 2016/11/19 16:08:31, 
-11.625781, 100.0, 100.0, 2.098533, 109.527248, Kd9s, Qc3s, , , , bb, cR400f, , , , 10.7189028263092, 10.7830989360809, 2016/11/19 16:09:42, 
9.185474, 100.0, 100.0, -47.281403, 138.095929, Jc5s, 8d2s, , , , sb, r250F, , , , 8.30710577964783, 8.33766174316406, 2016/11/19 16:10:00, 
-36.644437, 225.0, 225.0, -57.336934, 318.981371, TcJd, 4hQc, 7d4d9d, 2c, , bb, cC, R225c, R600f, , 29.1281981468201, 39.8135421276093, 2016/11/19 16:10:15, 
-34.966893, 250.0, 250.0, -109.473318, 394.440211, 8d4c, Jc6d, 9s2s3c, , , sb, r250C, Cr605F, , , 15.6370151042938, 28.7034449577332, 2016/11/19 16:10:59, 
-53.979836, -500.0, -500.0, -233.665231, -212.354933, 8hJh, Ah5d, QsTd7c, 4s, 4d, bb, r200C, Cc, Cc, R500c, 28.7536330223083, 43.6536178588867, 2016/11/19 16:11:32, 
8.055853, 100.0, 100.0, -24.927543, 116.87169, Kc7d, 2d9s, , , , sb, r250F, , , , 10.9017820358276, 10.9348819255829, 2016/11/19 16:12:21, 
-96.010488, -300.0, 160.593025, 52.745988, 203.857525, 6c5d, 6d6h, QsTdTs, Ah, 5h, bb, r300C, Cc, Cc, Cc, 22.8510890007019, 36.2080438137054, 2016/11/19 16:12:40, 
-319.617994, 1750.0, 1750.0, -394.737248, 2464.355241, 9cQs, QcAd, 6sTd5h, , , sb, r250R750r1750C, Cr4000F, , , 33.5186491012573, 51.3523001670837, 2016/11/19 16:13:24, 
-14.476058, 50.0, 50.0, -55.103845, 119.579903, 3s9c, 2s5d, , , , bb, f, , , , 0.0, 0.0332410335540771, 2016/11/19 16:14:19, 
89.924957, -2500.0, -834.641983, -438.048554, -486.518386, Tc9d, Jc7d, 9c2cQc, Kc, Kh, sb, r250C, Cr625R1250c, R2500c, Cc, 31.0302920341492, 47.9791240692139, 2016/11/19 16:14:26, 
-15.548661, -100.0, -100.0, -51.772601, -32.678738, 4hTs, 9dQd, , , , bb, r300F, , , , 7.13191914558411, 7.18280410766602, 2016/11/19 16:15:23, 
-313.830963, -750.0, -750.0, 108.799076, -544.968114, 7d8c, 8d6d, 8sKdAh, , , sb, r250R750c, R2250f, , , 29.512482881546, 33.4109740257263, 2016/11/19 16:15:35, 
-21.167152, -400.0, -400.0, -41.076732, -337.756115, 3cKd, JhJs, , , , bb, cR400r1200F, , , , 28.364000082016, 28.4186351299286, 2016/11/19 16:16:13, 
-154.552722, 250.0, 250.0, 60.698587, 343.854136, 9cQc, Jc9d, 3c3h4d, , , sb, r250C, Cr625F, , , 14.7449238300323, 25.7162058353424, 2016/11/19 16:16:46, 
-138.574239, 200.0, 200.0, 53.734763, 284.839476, QcJh, 6dKd, 4s9c4c, , , bb, r200C, R500f, , , 19.0803189277649, 24.8732628822327, 2016/11/19 16:17:17, 
347.977081, 625.0, 625.0, 438.804496, -161.781577, Qd2d, 3cAh, 2hQcJh, 5s, , sb, r250C, Cr625C, Cr1600F, , 25.6623349189758, 51.2938578128815, 2016/11/19 16:17:46, 
-148.707886, 900.0, 308.817903, 119.59059, 337.935199, 8dTc, 6cAd, 8c9hKd, 9s, Qd, bb, r300C, Cr900C, Cc, Cc, 35.4820141792297, 48.4726774692535, 2016/11/19 16:18:40, 
53.730227, -525.0, -525.0, -124.031145, -454.699082, Ad6c, 8d4d, 2d3hJc, , , sb, r250C, Cr525R1050f, , , 25.5271790027618, 35.1975700855255, 2016/11/19 16:19:37, 
-2.187397, 300.0, 300.0, 9.56158, 292.625817, Ad9s, 8c7h, , , , bb, r300R1300f, , , , 14.8672120571136, 20.5111031532288, 2016/11/19 16:20:17, 
-430.517959, -3390.0, -3390.0, -244.388483, -2715.093557, Kc4s, 4hAs, Ah8hAc, 9s, 7s, sb, r250C, Cr625C, Cr1400C, Cr3390C, 35.7601108551025, 60.3480455875397, 2016/11/19 16:20:43, 
-12.378421, 50.0, 50.0, 9.56158, 52.816841, Ah9s, 3c8d, , , , bb, f, , , , 0.0, 0.046191930770874, 2016/11/19 16:21:52, 
11.084565, 100.0, 100.0, -18.428191, 107.343626, Tc8d, 5d8c, , , , sb, r250F, , , , 9.54020285606384, 9.57622075080872, 2016/11/19 16:21:59, 
-718.56418, 1300.0, 1300.0, 253.375315, 1765.188865, 8hAh, QsAd, 3c2hKc, , , bb, r300R1300c, R3150f, , , 19.1824631690979, 31.1570293903351, 2016/11/19 16:22:25, 
-4.880706, 100.0, 100.0, -81.451469, 186.332175, 6d2c, 2d9c, 7s3cAc, , , sb, cC, Cr225F, , , 12.5300807952881, 27.4062647819519, 2016/11/19 16:23:05, 
161.767236, -1025.0, -1025.0, -226.129263, -960.637973, Kd9s, 5s8s, Qs5d8d, , , bb, cR400c, R1025r3075F, , , 27.8507647514343, 35.2054617404938, 2016/11/19 16:23:35, 
92.488779, -3250.0, -3250.0, -992.771778, -2349.717001, Td6c, Qd8h, 3d7h8c, 5c, 5s, sb, r250C, Cr625C, Cr1400C, Cr3250C, 30.8777832984924, 57.4528770446777, 2016/11/19 16:24:15, 
-122.174168, 400.0, 400.0, -11.015225, 533.189393, Qd7h, 7c9d, JcJd6d, , , bb, r200C, Cr400R850f, , , 22.9171390533447, 33.7602951526642, 2016/11/19 16:25:22, 
-82.281317, 250.0, 250.0, -12.838439, 345.119755, 6dKs, 4d7d, TsJs5d, , , sb, r250C, Cr625F, , , 13.4131398200989, 27.843692779541, 2016/11/19 16:26:00, 
103.772009, 1300.0, 1300.0, 113.132792, 1083.095199, As4h, Qh7h, KhAd2c, Jc, , bb, r200R750c, R1300c, R2200f, , 38.1761901378632, 51.383446931839, 2016/11/19 16:26:30, 
519.973221, 250.0, 250.0, 181.22974, -451.202961, 9sAh, 6c7h, AdAs4h, , , sb, r250C, Cr625F, , , 17.0700860023499, 25.4242961406708, 2016/11/19 16:27:26, 
-33.554263, -100.0, -97.357893, -112.71004, 48.90641, 2c6h, 4hKs, Qs3cJc, Ts, Jh, bb, cC, Cc, Cc, Cc, 33.8286690711975, 48.8591718673706, 2016/11/19 16:27:55, 
56.071745, 1300.0, -928.817096, -602.329803, -382.559038, As6c, 5h7d, 6sQc8s, Jh, 5d, sb, r250C, Cr625C, Cr1300C, Cc, 35.0299260616302, 63.9337770938873, 2016/11/19 16:28:49, 
-24.579452, -100.0, -100.0, -86.008041, 10.587493, 2hTc, 8s4d, Qd5d8c, , , bb, cC, Cr300F, , , 17.7391741275787, 24.9739849567413, 2016/11/19 16:30:30, 
24.391738, -625.0, -625.0, -170.074533, -479.317204, 2h8s, 4h6h, 6sTd4d, , , sb, r250C, Cr625R1250f, , , 21.602285861969, 37.0393769741058, 2016/11/19 16:31:02, 
-8.562272, 50.0, 50.0, 54.030156, 4.532116, Ac8c, 2s7c, , , , bb, f, , , , 0.0, 0.0375568866729736, 2016/11/19 16:31:44, 
-184.425521, -1300.0, -979.666591, -259.755098, -535.485972, QdKs, 6cAd, Ah7hAc, Jh, 8s, sb, r250C, Cr525C, Cc, Cr1300C, 32.5390870571136, 52.9166076183319, 2016/11/19 16:31:52, 
-72.784507, 1000.0, 1000.0, -352.055436, 1424.839942, 8c7s, 5cQd, 5h4sAc, Qh, 3d, bb, cC, R225c, R500c, Cr1000R3000f, 53.9961705207825, 68.4398462772369, 2016/11/19 16:32:53, 
9.032125, 100.0, 100.0, -33.857356, 124.82523, Jd7c, 2d5c, , , , sb, r250F, , , , 18.2479190826416, 18.2789959907532, 2016/11/19 16:34:08, 
