AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-112.944651, 900.0, 900.0, 233.318603, 779.626048, AcJs, 3d2d, Kc5sQc, , , bb, r300R900c, R2250f, , , 33.6856787204742, 46.2179436683655, 2016/11/07 12:03:43, 
9.01405, -200.0, -200.0, -51.454253, -157.559797, Ts5h, Ac9c, , , , sb, r200R600f, , , , 13.0861351490021, 18.9279661178589, 2016/11/07 12:04:33, 
-12.735401, 50.0, 50.0, -0.821651, 63.557052, As8d, 8c3h, , , , bb, f, , , , 0.0, 0.0378789901733398, 2016/11/07 12:05:05, 
-485.720606, 100.0, 100.0, 52.381145, 533.339462, 2d2h, Jd2c, , , , sb, r20000F, , , , 23.5795140266418, 35.008847951889, 2016/11/07 12:05:19, 
-292.938554, -500.0, 35.060626, -172.655591, 500.654772, ThAs, Ac6c, Qd2h7c, 5d, 6d, bb, cR500c, Cc, Cc, Cc, 47.339937210083, 65.6552565097809, 2016/11/07 12:05:57, 
-48.429365, 1200.0, 814.539825, -410.883666, 1273.852857, 8s7h, 9d7d, 2dQh8c, Kd, 6c, bb, r300C, R400r1200C, Cc, Cc, 43.8016147613525, 54.5664350986481, 2016/11/07 12:06:34, 
-20.65353, 100.0, 100.0, 148.797683, -28.144153, Qc9s, 2c3h, Jd3c4h, Qh, , sb, cC, Cc, Cr400F, , 26.2676134109497, 45.7519764900208, 2016/11/07 12:07:29, 
1.875638, 500.0, -244.030644, -451.508026, 205.601744, JsAs, Ac6d, Tc4s7h, 8h, 3h, sb, r300C, Cr500C, Cc, Cc, 43.0943212509155, 69.0343625545502, 2016/11/07 12:07:43, 
-35.543484, -100.0, -100.0, -21.51852, -42.937996, 8hQd, 9h6h, , , , bb, r300F, , , , 10.6430370807648, 10.6872320175171, 2016/11/07 12:08:44, 
55.558618, 1400.0, 1169.953614, 728.573561, 385.821436, Kd9d, Jc8h, 3d3s8c, 5d, Kh, sb, r200C, Cr400C, Cr600C, Cr1400C, 36.5172302722931, 66.2501683235168, 2016/11/07 12:08:59, 
