AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-111.355519, 750.0, 750.0, 429.357378, 431.998141, 8dKc, As9c, 6s8h4s, 3d, , bb, cR300c, R750c, R1730f, , 57.5261290073395, 70.1361227035522, 2016/11/14 04:53:58, 
-27.418373, 540.0, 540.0, 574.956235, -7.537863, Ks3d, Ad8h, 2cQhTd, Kc, , sb, r300C, Cr540C, Cr1290F, , 29.4078812599182, 50.9334723949432, 2016/11/14 04:55:22, 
94.710913, -1470.0, 220.102853, 213.087977, -87.696036, KdQc, 4h6d, 9d9h4d, Kc, 4c, bb, cR300c, Cr600C, Cc, R1470c, 46.7562494277954, 61.0127835273743, 2016/11/14 04:56:28, 
13.137499, 100.0, 100.0, -21.815654, 108.678155, 4c7c, 2d8d, , , , sb, r300F, , , , 6.70152187347412, 6.79232287406921, 2016/11/14 04:57:44, 
26.523232, -1800.0, -1800.0, 331.251537, -2157.774769, Ac3c, 9h9d, 7d7c6s, 2c, 7h, bb, r300C, Cr600C, Cr1800C, Cr9000F, 49.8770649433136, 65.7250480651855, 2016/11/14 04:57:57, 
294.488483, 720.0, 720.0, 425.608577, -0.09706, TdJd, As5d, Ts8h2s, Jc, , sb, r300C, Cr720C, Cr1640F, , 18.1743741035461, 44.2941570281982, 2016/11/14 04:59:08, 
-33.123121, 3600.0, 1015.85551, 693.400086, 355.578546, Td9c, 6sAh, Qh8hJh, Kd, 2c, bb, r200C, Cr400C, Cr1200C, Cr3600C, 54.938800573349, 67.5846161842346, 2016/11/14 04:59:54, 
-30.557967, 300.0, 300.0, 44.24655, 286.311417, Jh2c, 5sKd, 7h4hTh, , , sb, r300C, Cr540F, , , 16.4604158401489, 27.137843132019, 2016/11/14 05:01:11, 
-16.135275, 300.0, 300.0, 218.553539, 97.581737, Ad3s, Ts7h, AsQc6d, 5h, , bb, r300C, Cc, R750f, , 23.0619399547577, 31.9343087673187, 2016/11/14 05:01:44, 
9.956355, -300.0, -300.0, -42.862974, -267.093381, Kd2h, Td9d, , , , sb, r300R900f, , , , 16.7264440059662, 16.7787899971008, 2016/11/14 05:02:18, 
138.226759, -800.0, -388.021868, -227.36717, -298.881457, 6d7s, Jc8s, 5c6h8d, Th, 2s, bb, r200C, Cr400C, Cc, Cr800C, 39.1749320030212, 51.8175137042999, 2016/11/14 05:02:38, 
7.198587, 100.0, 100.0, -38.278631, 131.080045, 5s6h, 7c3h, , , , sb, r300F, , , , 5.22760200500488, 5.30147695541382, 2016/11/14 05:03:39, 
-38.622959, -200.0, -200.0, -44.854867, -116.522174, 9s5h, TcAd, 9d2hQd, Ah, 4h, bb, cC, Cc, Cr200C, Cr600F, 57.3021790981293, 72.0798931121826, 2016/11/14 05:03:54, 
10.320164, 100.0, 100.0, -20.162674, 109.84251, Ks8c, 3d9h, , , , sb, r300F, , , , 5.71466612815857, 5.75452828407288, 2016/11/14 05:05:10, 
-429.508813, 2760.0, -1050.569231, -33.779505, -587.280913, QsQh, 2sAs, 5h8dKc, Tc, 4c, bb, r200R690c, Cc, Cr1380C, Cr2760C, 46.6746957302094, 66.2197916507721, 2016/11/14 05:05:24, 
-250.382977, 300.0, 300.0, 93.389077, 456.9939, 7dQh, Js3s, AsAd8d, , , sb, r300C, Cr540F, , , 13.4300298690796, 24.4442458152771, 2016/11/14 05:07:05, 
-122.112458, -300.0, 18.166221, -28.07885, 168.357529, 4dKh, 9h6c, AdTd6h, 2s, 2c, bb, r300C, Cc, Cc, Cc, 24.6261847019196, 39.0566456317902, 2016/11/14 05:07:31, 
15.409972, 100.0, 100.0, 47.137405, 37.452623, Ac5c, 3cJh, , , , sb, r300F, , , , 5.33628702163696, 5.37060809135437, 2016/11/14 05:08:16, 
-103.460056, -600.0, -12.734361, -40.661836, 131.387532, 8cAs, 7h9d, 9sKd4d, 4c, Qc, bb, r300C, Cr600C, Cc, Cc, 36.3542640209198, 50.4879596233368, 2016/11/14 05:08:29, 
-597.565903, 1800.0, 1800.0, 170.56713, 2226.998772, As4s, JsAh, 3h7sQh, , , sb, r300R900c, R1800r3380F, , , 24.0687358379364, 36.6364009380341, 2016/11/14 05:09:32, 
-16.156518, -100.0, -100.0, -53.040135, -30.803347, 4d8c, Ac5s, , , , bb, r300F, , , , 9.55338311195374, 9.74385809898376, 2016/11/14 05:10:14, 
-51.756047, -0.0, -553.16125, -361.289385, -140.115818, JcTc, 9dJs, Ah5hJh, 5s, 6h, sb, r300C, Cr630C, Cc, Cc, 24.1818912029266, 40.6583836078644, 2016/11/14 05:10:30, 
-112.590516, 600.0, 600.0, 690.365934, 22.224581, Qc3d, 8hQs, 6h5s3h, 3s, 7h, bb, r200C, Cr600C, Cc, R1310f, 44.0097460746765, 57.8263826370239, 2016/11/14 05:11:16, 
4.155941, -50.0, -50.0, -54.155941, 0.0, 4hTc, 5h3c, , , , sb, f, , , , 6.83868098258972, 6.83868098258972, 2016/11/14 05:12:20, 
-77.380966, -300.0, -284.351193, -223.739498, 16.769271, 6h3s, 4hQd, 8cThAd, Ac, Jd, bb, r300C, Cc, Cc, Cc, 30.5552389621735, 43.5705850124359, 2016/11/14 05:12:32, 
27.672536, 900.0, 900.0, 6.229198, 866.098266, 9sAc, KdTs, , , , sb, r300R900r2560F, , , , 27.0669038295746, 35.775399684906, 2016/11/14 05:13:22, 
-28.236467, -1200.0, -374.48871, -142.820098, -203.432144, 4hKs, 9dAd, 4cAh8d, 3h, Ts, bb, r200C, Cr400C, Cc, Cr1200C, 75.2375769615173, 88.4478769302368, 2016/11/14 05:14:01, 
15.843122, -300.0, -300.0, -32.682882, -283.160241, 2cTc, AhQh, , , , sb, r300R900f, , , , 15.1926920413971, 15.2358560562134, 2016/11/14 05:15:35, 
-1.492957, 300.0, 300.0, 65.592497, 235.90046, Ad9d, 3dQh, , , , bb, r300R970f, , , , 11.649552822113, 17.3134484291077, 2016/11/14 05:15:55, 
7.024808, 100.0, 100.0, -49.863554, 142.838746, 5h9d, 8d3d, , , , sb, r300F, , , , 8.53357100486755, 8.56845211982727, 2016/11/14 05:16:16, 
-13.020467, 50.0, 50.0, 2.098533, 60.921934, Kh9s, 2c3s, , , , bb, f, , , , 0.0, 0.0457589626312256, 2016/11/14 05:16:32, 
16.841317, 100.0, 100.0, 42.42632, 40.732364, AhTc, 2cKs, , , , sb, r300F, , , , 9.70525908470154, 9.73131489753723, 2016/11/14 05:16:38, 
-15.305725, -100.0, -100.0, -44.620318, -40.073957, 4hQc, Qs3s, , , , bb, r300F, , , , 11.2545650005341, 11.2975978851318, 2016/11/14 05:16:56, 
-149.306513, 300.0, 300.0, -47.139873, 496.446385, 6h4h, 2s9s, ThAc8s, , , sb, r300C, Cr540F, , , 10.5685658454895, 21.1552257537842, 2016/11/14 05:17:11, 
-70.451027, -100.0, 34.170234, -8.050006, 112.671268, As8h, 6sJs, 5hQd5d, Jc, 7s, bb, cC, Cc, Cc, Cc, 25.1031908988953, 37.8346583843231, 2016/11/14 05:17:34, 
293.131097, 3220.0, 2682.848591, 61.642984, 2328.074511, 9hTd, TcAh, 6d9d7c, 4c, 6c, sb, r300R900c, R1800c, Cc, Cr3220C, 43.1747119426727, 59.7943601608276, 2016/11/14 05:18:21, 
-46.836919, -100.0, -98.639421, -99.913996, 48.111495, 7c3d, Js4h, Kd5hAd, 5s, 8d, bb, cC, Cc, Cc, Cc, 43.9373733997345, 57.0488052368164, 2016/11/14 05:19:37, 
-10.955486, -300.0, -300.0, -34.200309, -254.844205, 2d5d, AcKd, , , , sb, r300R900f, , , , 14.1418700218201, 14.1713349819183, 2016/11/14 05:20:40, 
-10.466879, 200.0, 200.0, 16.4981, 193.968779, 7d8d, 9h4h, , , , bb, r200R660f, , , , 13.4519679546356, 19.3935949802399, 2016/11/14 05:21:00, 
