AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-14.453373, 50.0, 50.0, -55.061818, 119.515191, 7d3s, 2s7h, , , , bb, f, , , , 0.0, 0.0391638278961182, 2016/11/14 12:11:57, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2s7c, 9h2h, , , , sb, f, , , , 33.8140668869019, 33.8140668869019, 2016/11/14 12:12:18, 
-6.988567, 100.0, 100.0, 148.184859, -41.196292, QdAd, 2sJc, , , , bb, cR400f, , , , 42.2269859313965, 42.2826187610626, 2016/11/14 12:12:59, 
-134.156055, 250.0, 250.0, 73.421696, 310.734359, Kh9s, 2h4h, JdQsAs, , , sb, r250C, Cr550F, , , 39.667900800705, 50.6503908634186, 2016/11/14 12:13:50, 
-131.351279, 700.0, 700.0, -340.226059, 1171.577338, 7s9d, Qs5d, As5hJh, 8h, 2s, bb, r300C, Cc, R700c, R1600f, 86.6606271266937, 101.276402950287, 2016/11/14 12:14:44, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 4c2d, 9dKd, , , , sb, f, , , , 11.0475301742554, 11.0475301742554, 2016/11/14 12:16:32, 
-15.702622, -100.0, -100.0, -50.038767, -34.258611, Tc5d, AdTd, , , , bb, r300F, , , , 18.0354020595551, 18.0668799877167, 2016/11/14 12:16:48, 
7.252204, -300.0, -300.0, -24.927543, -282.324662, Kd7c, 5c6c, , , , sb, r300R900f, , , , 104.136406183243, 104.179059267044, 2016/11/14 12:17:11, 
-138.764597, 600.0, 516.662524, 39.422743, 616.004378, 6c6h, QsTs, 9s2d4h, Ac, 9c, bb, r300C, Cr600C, Cc, Cc, 27.9613001346588, 41.8921141624451, 2016/11/14 12:19:00, 
7.280474, 100.0, 100.0, -46.47419, 139.193716, 5c8d, Td6c, , , , sb, r300F, , , , 17.6595840454102, 17.7225909233093, 2016/11/14 12:19:57, 
-61.175016, 200.0, 200.0, 246.797593, 14.377423, 7hTd, JhQs, 8d3c3h, 4s, Tc, bb, r200C, Cc, Cc, R450f, 38.3279819488525, 50.3859076499939, 2016/11/14 12:20:22, 
8.911314, -300.0, -300.0, -37.789689, -271.121626, 4cKh, 7c7d, , , , sb, r300R900f, , , , 25.5014979839325, 25.5307879447937, 2016/11/14 12:21:18, 
-16.385234, 50.0, 50.0, -30.617342, 97.002576, Kc6d, 6s2h, , , , bb, f, , , , 0.0, 0.0348460674285889, 2016/11/14 12:21:49, 
-15.214891, -600.0, -600.0, -175.568555, -409.216555, 7d8c, Ah4s, 3h9cKh, , , sb, r300C, Cr600R1200f, , , 42.0759925842285, 56.6689796447754, 2016/11/14 12:21:56, 
257.814908, -1800.0, -1800.0, -962.242563, -1095.572345, 8s4s, TsJs, KdAh7s, 2d, 6s, bb, r300R900c, R1800c, Cc, Cc, 106.163954973221, 116.158223390579, 2016/11/14 12:22:58, 
9.181383, 100.0, 100.0, -18.428191, 109.246808, Tc8h, 2h6h, , , , sb, r300F, , , , 6.74223899841309, 6.77672791481018, 2016/11/14 12:25:06, 
-166.147601, -200.0, -200.0, -99.690552, 65.838153, ThJh, 2sJs, 5cAc4d, 9h, 4h, bb, r200C, Cc, Cc, Cr600F, 59.7346746921539, 75.5938715934753, 2016/11/14 12:25:21, 
