AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-14.110669, 100.0, 100.0, -20.941574, 135.052243, 5cTc, Td3h, , , , bb, cR375f, , , , 17.8501219749451, 23.7958860397339, 2016/11/15 08:55:15, 
68.074953, 1562.0, 1562.0, 1155.392815, 338.532232, 5d6d, TcJs, 6sKcQd, 5h, 3h, sb, r250C, Cr625C, Cr1562C, Cr3905F, 42.5310568809509, 66.6092579364777, 2016/11/15 08:55:45, 
-12.735401, 50.0, 50.0, -0.821651, 63.557052, 8dAs, 7d2h, , , , bb, f, , , , 0.0, 0.0401420593261719, 2016/11/15 08:57:00, 
-242.061525, 250.0, 250.0, 128.188596, 363.872929, 8d8c, 2s3s, As2dTd, Qc, , sb, r250C, Cc, Cr625F, , 23.0970058441162, 41.2556607723236, 2016/11/15 08:57:08, 
-21.514708, -100.0, -100.0, -49.660636, -28.824656, 5d9s, 3d3c, , , , bb, r200F, , , , 12.7827498912811, 12.8189549446106, 2016/11/15 08:57:55, 
8.832976, 100.0, 100.0, -37.789689, 128.956712, 4hKc, 3c9h, , , , sb, r250F, , , , 8.88955092430115, 8.92037987709045, 2016/11/15 08:58:20, 
18.175256, 300.0, 300.0, 412.575626, -130.750881, QcQh, Qs7d, , , , bb, r300R850f, , , , 18.5322248935699, 24.1219069957733, 2016/11/15 08:58:36, 
-144.503039, -1200.0, -688.073932, -553.547584, 9.976691, Ad8s, QsAs, 2s2hJd, 9c, Qc, sb, r200R600c, R1200c, Cc, Cc, 28.5139462947845, 40.038459777832, 2016/11/15 08:59:04, 
-109.447422, -300.0, -300.0, -95.791143, -94.761435, 5cQc, QsKd, 7sKs4c, , , bb, r300C, Cr600F, , , 17.8143317699432, 25.0328695774078, 2016/11/15 08:59:54, 
-65.851635, -1000.0, -1000.0, -106.06228, -828.086086, 4h2c, 7c8h, 8d7h6d, 6h, As, sb, r200C, Cc, R400c, Cr1000C, 55.8467178344727, 75.4100840091705, 2016/11/15 09:00:23, 
-33.617167, 1200.0, -395.532673, -198.899757, -163.015748, Tc7s, 3h4c, 5d7hAh, Kc, 5s, bb, cC, R200r400C, Cc, Cr1200C, 40.1813199520111, 56.0185127258301, 2016/11/15 09:01:49, 
-77.385796, 200.0, 200.0, 115.799141, 161.586655, Tc7h, 9h5s, Qc7sQh, , , sb, r200C, Cr400F, , , 13.5630629062653, 21.0988729000092, 2016/11/15 09:02:51, 
-147.892664, -300.0, -300.0, -72.823153, -79.284183, JcQd, 5d8s, 9h3h6d, , , bb, r300C, Cr900F, , , 17.0616869926453, 24.3111727237701, 2016/11/15 09:03:16, 
172.429627, 1200.0, -201.128776, -0.115907, -373.442497, KhQd, 9h7s, 8sKsTc, Ad, 3c, sb, r200C, Cr400C, Cc, R1200c, 25.5206732749939, 47.2652690410614, 2016/11/15 09:03:45, 
-23.420612, -100.0, -100.0, -94.300746, 17.721358, 3h6c, ThJd, TdJhQs, , , bb, cC, Cr300F, , , 31.885880947113, 36.1937389373779, 2016/11/15 09:04:47, 
-109.26618, 1000.0, 1000.0, 1519.800608, -410.534429, Qc9s, Kc4c, JhJs2c, Ks, Td, sb, r200C, Cr500C, Cc, R1000r1800F, 43.1500442028046, 59.6854832172394, 2016/11/15 09:05:37, 
-42.260771, 750.0, 750.0, 383.685263, 408.575508, 5s5d, JcTs, 3h4c3d, , , bb, r300R750c, R1875f, , , 21.1063642501831, 26.151031255722, 2016/11/15 09:06:43, 
-62.149063, -200.0, 2.837663, -94.86124, 159.847966, Ah9h, 3hQc, 8s3dJh, 5c, Tc, sb, r200C, Cc, Cc, Cc, 18.0193088054657, 31.6684079170227, 2016/11/15 09:07:14, 
-10.940492, 50.0, 50.0, 4.845119, 56.095373, Kd3d, 2c9d, , , , bb, f, , , , 0.0, 0.0344159603118896, 2016/11/15 09:07:56, 
-29.334357, -200.0, -200.0, -93.600425, -77.065218, 8c5c, Ah5s, 6s2s2c, , , sb, r200C, R400f, , , 11.6100041866302, 18.6837542057037, 2016/11/15 09:08:05, 
-243.805501, -5400.0, 892.198708, 931.578498, 204.425711, 5c3d, 5sJd, 5d6s8s, 5h, 2c, bb, r300C, Cr600C, Cr1800C, R5400c, 36.3494696617126, 51.0562214851379, 2016/11/15 09:08:29, 
-37.586407, 100.0, -22.158465, -59.524787, 74.95273, 8cJs, Ts5c, 2dQcKh, 7h, 9h, sb, cC, Cc, Cc, Cc, 33.7277669906616, 48.1475298404694, 2016/11/15 09:09:32, 
-16.96776, -100.0, -100.0, -87.136403, 4.104163, 7d3c, 5cTs, 4hKcAs, , , bb, cC, Cr200F, , , 18.846399307251, 23.2063453197479, 2016/11/15 09:10:27, 
-149.448492, 250.0, 250.0, 128.306768, 271.141724, Qh5h, Ac2d, 6h5c9c, , , sb, r250C, Cr625F, , , 15.0952479839325, 28.664169549942, 2016/11/15 09:10:54, 
