AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
16.375744, 400.0, 400.0, -111.229034, 494.85329, Ks2s, Ad8h, KcQd4c, Jd, 9c, bb, cR200c, R400c, Cc, R867f, 45.130352973938, 65.5360736846924, 2016/11/12 08:22:41, 
74.420592, -400.0, -400.0, -303.555545, -170.865047, 9c2s, 9dTh, 2d6cTs, 4h, Kh, sb, r200C, Cr400C, Cc, R800f, 36.8565111160278, 54.0655381679535, 2016/11/12 08:23:53, 
-26.570454, -100.0, -100.0, -97.49148, 24.061934, 5s3d, Js9c, JcKcTc, , , bb, cC, Cr200F, , , 23.2788016796112, 28.4510126113892, 2016/11/12 08:24:52, 
-148.42703, 200.0, 200.0, 19.39552, 329.03151, 3sAh, 9cKh, 6h4c7s, , , sb, r200C, Cr400F, , , 11.3975358009338, 21.4216985702515, 2016/11/12 08:25:24, 
20.179436, 800.0, 800.0, 352.491183, 427.329381, 9d7c, 8h6s, 4h9h2d, 6h, 9s, bb, r200C, Cr400C, Cr800C, Cc, 40.0762097835541, 55.0290195941925, 2016/11/12 08:25:48, 
8.120301, 100.0, 100.0, -52.41865, 144.29835, 3cJh, Td4c, , , , sb, r200F, , , , 5.94084811210632, 5.97691822052002, 2016/11/12 08:26:49, 
-100.207642, 100.0, 100.0, -27.866937, 228.074579, 4d9c, 6d3h, Js2dTc, , , bb, cC, R200f, , , 14.887717962265, 19.9989120960236, 2016/11/12 08:27:01, 
9.680996, 100.0, 100.0, -28.433542, 118.752546, 7c9h, 2c5s, , , , sb, r200F, , , , 6.15060901641846, 6.1850860118866, 2016/11/12 08:27:23, 
-84.038635, -200.0, -200.0, -57.221766, -58.739599, 5cKd, 8sQh, 4s7h3h, , , bb, r200C, Cr600F, , , 19.6238720417023, 27.2227840423584, 2016/11/12 08:27:37, 
-38.390144, -1600.0, -368.551434, -197.758392, -132.402897, 4dAc, 9dJs, QcQs4s, 9h, Th, sb, r200C, Cr400R800c, Cr1600C, Cc, 29.4608931541443, 53.5079305171967, 2016/11/12 08:28:09, 
-68.441484, -300.0, -300.0, -86.409788, -145.148728, Qd7h, 8dTd, 3hJdAh, , , bb, r300C, Cr900F, , , 21.4413211345673, 28.0497062206268, 2016/11/12 08:29:13, 
29.938864, 100.0, 100.0, 550.657414, -480.596278, KcKd, 2h3s, , , , sb, r200F, , , , 4.78351497650146, 4.81849789619446, 2016/11/12 08:29:45, 
