AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-216.448615, -6000.0, 1122.262044, 2329.412475, -990.701816, AdQc, Jh9s, Ts4s8s, Qd, 4d, bb, r300R750c, R1500c, R3000r6000C, Cc, 131.685540676117, 143.580930948257, 2016/12/02 19:03:01, 
-58.660306, -450.0, -443.060873, -319.204538, -65.196029, 9cJh, Qs8c, AsAd8h, 5h, 4d, sb, r250C, Cr450C, Cc, Cc, 55.7480359077454, 72.1290130615234, 2016/12/02 19:05:44, 
-81.256196, 300.0, 300.0, 853.697872, -472.441675, AsAc, 7dKc, , , , bb, r300R750f, , , , 14.6377699375153, 14.6897602081299, 2016/12/02 19:07:04, 
-13.302471, -200.0, -200.0, -151.22829, -35.469239, 2sJc, 3h5s, 5hKs6d, 8c, 3s, sb, cC, Cr200C, Cc, R600f, 27.6647198200226, 48.1417729854584, 2016/12/02 19:07:29, 
-10.77013, 50.0, 50.0, -57.955474, 118.725604, 2h7s, 3s9c, , , , bb, f, , , , 0.0, 0.0332698822021484, 2016/12/02 19:08:29, 
-35.668219, 100.0, 100.0, -52.968855, 188.637075, 9h5c, 3c2h, 7hKdTh, Ts, , sb, cC, Cc, Cr200F, , 36.7976920604706, 55.9551723003387, 2016/12/02 19:08:38, 
-90.628028, -300.0, -300.0, -87.016536, -122.355436, 6hTh, 5c9c, 8c2s8h, , , bb, r300C, Cr600F, , , 18.9950773715973, 22.6797993183136, 2016/12/02 19:09:40, 
6.582917, -50.0, -50.0, -56.582917, 0.0, 4d9s, Ks8s, , , , sb, f, , , , 5.07317113876343, 5.07317113876343, 2016/12/02 19:10:14, 
-2.49791, 200.0, 200.0, 189.416313, 13.081597, 9c9h, Qd7s, , , , bb, r200R600f, , , , 12.9047439098358, 12.9923508167267, 2016/12/02 19:10:39, 
12.365275, -200.0, -200.0, -36.087371, -176.277904, 6d8c, Tc9d, , , , sb, r200R600f, , , , 17.4300899505615, 17.469918012619, 2016/12/02 19:11:00, 
-36.073386, -300.0, -300.0, -151.508422, -112.418191, 6h7s, 5s4s, AcQs4c, , , bb, r300C, Cr900F, , , 29.2394800186157, 35.66277384758, 2016/12/02 19:11:34, 
4.155941, -50.0, -50.0, -54.155941, 0.0, 4cTs, Ad9c, , , , sb, f, , , , 9.89241194725037, 9.89241194725037, 2016/12/02 19:12:23, 
180.53732, 750.0, 750.0, -201.005069, 770.467749, KhQc, 7c5s, 4d7dQs, 4c, 9d, bb, cR300c, R750c, Cc, R1500f, 67.1391837596893, 82.6560115814209, 2016/12/02 19:12:45, 
-154.234174, 400.0, 400.0, 22.661265, 531.572909, 7cAc, 9s2s, 2h3h3d, 5c, , sb, r200C, Cr400C, Cr800F, , 35.846382856369, 59.9581229686737, 2016/12/02 19:14:15, 
