AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-340.153506, -8600.0, -4629.158377, 1070.396326, -5359.401197, 7dJh, 6c9h, 2s6h6d, Jd, As, bb, r300C, R600r1200R2200c, R4300c, Cr8600C, 75.3100681304932, 87.8393311500549, 2016/11/08 22:59:51, 
-47.957478, -300.0, -161.336655, -199.10408, 85.724903, 3hKs, 9s7h, 9c8sTd, 8h, As, sb, r300C, Cc, Cc, Cc, 39.5351929664612, 52.1998269557953, 2016/11/08 23:01:28, 
191.513611, 100.0, 100.0, -30.506216, -61.007395, 4d9d, QcKs, Td4c6d, 5c, , bb, cC, Cc, R200f, , 33.1975898742676, 46.5342297554016, 2016/11/08 23:02:26, 
58.229868, 2250.0, 98.703604, -1749.41057, 1789.884306, TcAc, 9s8s, 9c6hTd, Js, 4s, sb, r250R750c, R2250c, Cc, Cc, 49.8083281517029, 66.6110579967499, 2016/11/08 23:03:17, 
-15.46593, 50.0, 50.0, -46.587915, 112.053844, Qh3d, 3s8d, , , , bb, f, , , , 0.0, 0.0431778430938721, 2016/11/08 23:04:30, 
23.893673, 100.0, 100.0, 144.492351, -68.386024, 7s7c, 4h6d, , , , sb, r250F, , , , 9.20285177230835, 14.9143717288971, 2016/11/08 23:04:38, 
-19.605856, -100.0, -100.0, -85.029448, 4.635304, 7s3c, 6s9s, Qc5sKc, , , bb, cC, Cr200F, , , 23.3645708560944, 30.6701836585999, 2016/11/08 23:04:58, 
5.941583, -50.0, -50.0, -55.941583, 0.0, 4h3c, 9c8c, , , , sb, f, , , , 6.33478212356567, 6.33478212356567, 2016/11/08 23:05:33, 
-193.246067, -1250.0, -1250.0, -549.784074, -506.96986, JcAc, Js9s, 6h9h3h, Ks, Qh, bb, r200R600c, Cc, R1250c, Cc, 53.8337931632996, 72.4485652446747, 2016/11/08 23:05:45, 
-7.924842, -50.0, -50.0, -42.075158, 0.0, 8d3d, QsAh, , , , sb, f, , , , 6.53661417961121, 6.53661417961121, 2016/11/08 23:07:09, 
-9.437101, 100.0, 100.0, 75.857365, 33.579736, AdQc, 5dTc, , , , bb, cR300f, , , , 12.3632509708405, 17.9508211612701, 2016/11/08 23:07:25, 
-67.210087, 100.0, 100.0, 8.246098, 158.963989, Ac6h, 4c5s, Jd3h8h, , , sb, cC, Cr200F, , , 13.7980222702026, 33.8960571289062, 2016/11/08 23:07:49, 
-139.286893, -300.0, -300.0, -12.958077, -147.75503, KhTc, QsTs, 4sAc9d, , , bb, r300C, Cr900F, , , 37.8950412273407, 42.7473213672638, 2016/11/08 23:08:26, 
-73.872926, 100.0, 100.0, 2.668248, 171.204678, 8cKd, 3d5h, QsTh2s, , , sb, cC, Cr200F, , , 22.2420239448547, 35.3748877048492, 2016/11/08 23:09:15, 
-8.748175, -600.0, -600.0, -139.612174, -451.639651, 8d4s, KhJc, 8s6sKc, 3s, Th, bb, cR300c, R600c, Cc, Cr1800F, 67.2069320678711, 88.4266858100891, 2016/11/08 23:09:54, 
-311.438427, -3400.0, -651.225361, 394.882525, -734.66946, Td2d, AhAd, 2hJhJc, Tc, 7s, sb, cR300c, R600c, Cc, Cr3400C, 51.2344081401825, 66.376149892807, 2016/11/08 23:11:30, 
