AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-236.966359, -3600.0, -1306.936117, -382.842724, -687.127034, 7hKh, JsTc, 8c3d9d, 7c, Ad, bb, r300C, Cc, R400r1200C, Cr3600C, 244.97455906868, 260.394707918167, 2016/11/14 20:08:52, 
-224.744129, 600.0, 600.0, -38.493631, 863.23776, Qd6s, 5s8s, , , , sb, r200R600r1500F, , , , 30.1178619861603, 35.7040359973907, 2016/11/14 20:13:19, 
340.199408, 4500.0, 4500.0, -855.660316, 5015.460908, 6cQs, KdJd, Ts8h9d, 8c, 4s, bb, r300C, Cr900R2000c, R4500c, R20000f, 97.6972749233246, 110.134794950485, 2016/11/14 20:14:03, 
11.083739, 100.0, 100.0, -12.708212, 101.624473, As5c, 6sJh, , , , sb, r300F, , , , 10.9607338905334, 10.992495059967, 2016/11/14 20:16:03, 
-7.858819, 100.0, 100.0, 75.857365, 32.001454, AsQd, 5hTc, , , , bb, cR500f, , , , 11.0008502006531, 11.0624191761017, 2016/11/14 20:16:23, 
25.189143, 100.0, 100.0, 98.019062, -23.208206, 5s5h, 7dTh, , , , sb, r300F, , , , 7.38096404075623, 7.41005921363831, 2016/11/14 20:16:42, 
-12.786898, 100.0, 100.0, -8.781259, 121.568157, Ac5d, 8s4d, , , , bb, cR500f, , , , 10.3693208694458, 16.329895734787, 2016/11/14 20:16:57, 
4.155941, -50.0, -50.0, -54.155941, 0.0, Tc4d, 6sAd, , , , sb, f, , , , 9.67885184288025, 9.67885184288025, 2016/11/14 20:17:18, 
-140.688304, 500.0, 500.0, 411.648039, 229.040265, Kc2d, 5hAd, 9sKs6d, , , bb, cR500c, R1000f, , , 27.6802060604095, 35.3513572216034, 2016/11/14 20:17:36, 
7.345326, -50.0, -50.0, -57.345326, 0.0, 9c3s, Ad9s, , , , sb, f, , , , 12.6531250476837, 12.6531250476837, 2016/11/14 20:18:16, 
-44.550403, -200.0, -200.0, -121.319723, -34.129873, 2s9s, Ah9h, 5h5d8c, , , bb, r200C, Cr400F, , , 26.5674779415131, 31.8898227214813, 2016/11/14 20:18:33, 
4.450957, 100.0, 100.0, -56.582917, 152.131959, 9c4s, 8s5d, , , , sb, r300F, , , , 9.85168790817261, 9.88043880462646, 2016/11/14 20:19:10, 
373.038699, -3600.0, 348.565665, -1854.913374, 1830.44034, AdAc, Ks9c, Kd3c6d, Td, Kh, bb, r200R600c, R1400c, R3600c, Cc, 49.2483730316162, 61.5249602794647, 2016/11/14 20:19:28, 
7.345326, -50.0, -50.0, -57.345326, 0.0, 3d9c, 6d9s, , , , sb, f, , , , 6.67929792404175, 6.67929792404175, 2016/11/14 20:20:47, 
-8.24672, 200.0, 200.0, 47.906595, 160.340125, Qd9d, 3c4h, , , , bb, r200R600f, , , , 11.2142379283905, 11.2756319046021, 2016/11/14 20:20:59, 
27.991942, 100.0, 100.0, 120.23779, -48.229732, 6s6d, 7h2d, , , , sb, r300F, , , , 6.74118399620056, 6.77371907234192, 2016/11/14 20:21:18, 
140.033579, 1000.0, 1000.0, -343.454581, 1203.421002, 7d2d, Ad4s, Qd2s9d, 8s, , bb, cR500c, R1000c, R2300f, , 62.1443390846252, 79.5639233589172, 2016/11/14 20:21:32, 
10.56133, -300.0, -300.0, -50.581957, -259.979373, Jd4c, QhAs, , , , sb, r300R900f, , , , 17.1269979476929, 17.1646990776062, 2016/11/14 20:22:54, 
-2460.483414, 3700.0, 3700.0, -67.230352, 6227.713765, 3cQc, ThAh, 2sKs6h, , , bb, r200R600r1800R3700c, R7700f, , , 58.0696249008179, 71.9105081558228, 2016/11/14 20:23:16, 
5.278428, -50.0, -50.0, -55.278428, 0.0, 6d3c, 7d3s, , , , sb, f, , , , 5.60031986236572, 5.60031986236572, 2016/11/14 20:25:26, 
429.088651, 2000.0, 982.535669, -213.127036, 766.574054, Kd3h, 8sAh, 2dKc5h, Qh, Ts, bb, cR500c, R1000c, Cr2000C, Cc, 54.5717885494232, 67.00062251091, 2016/11/14 20:25:37, 
-197.097169, -600.0, -600.0, -29.687657, -373.215175, 8c9c, QsJc, 6sTh4d, , , sb, r300C, Cr600R1800f, , , 27.3212738037109, 38.9047479629517, 2016/11/14 20:27:11, 
-17.39758, 50.0, 50.0, -38.710949, 106.10853, 4cKs, 8d2h, , , , bb, f, , , , 0.0, 0.0424280166625977, 2016/11/14 20:27:55, 
757.209343, 700.0, 700.0, 1159.756282, -1216.965625, Qs3h, Ad9h, 7sQd3d, Qh, , sb, r300C, Cr700C, Cr2700F, , 29.089026927948, 52.7962896823883, 2016/11/14 20:28:01, 
13.899548, 100.0, 100.0, 252.346873, -166.246421, TsTd, 3s6c, , , , bb, cR500f, , , , 8.37762784957886, 8.70644783973694, 2016/11/14 20:28:58, 
27.173282, 100.0, 100.0, 168.525778, -95.69906, 8d8h, 3d2c, , , , sb, r300F, , , , 6.24294900894165, 6.40470385551453, 2016/11/14 20:29:14, 
-83.154932, -300.0, -300.0, -99.31956, -117.525508, Jd9s, 8s2s, AhTc6s, , , bb, r300C, Cr600F, , , 17.9082808494568, 22.4518849849701, 2016/11/14 20:29:28, 
2831.206257, 2500.0, 2500.0, 2068.888998, -2400.095255, KhAs, 5s5c, JsTdQs, , , sb, r300R900r2500C, Cr7500F, , , 41.6424469947815, 58.8176801204681, 2016/11/14 20:29:57, 
-9.594245, 50.0, 50.0, 47.906595, 11.68765, 9dQd, 3d9s, , , , bb, f, , , , 0.0, 0.0372099876403809, 2016/11/14 20:31:00, 
-205.969481, 300.0, 300.0, 19.557238, 486.412243, As7h, 5s7s, 4hQdKd, 4d, , sb, r300C, Cc, Cr500F, , 25.3492221832275, 43.1989140510559, 2016/11/14 20:31:07, 
-8.553468, 50.0, 50.0, 32.9194, 25.634068, 3sAs, 5d2h, , , , bb, f, , , , 0.0, 0.0364971160888672, 2016/11/14 20:31:55, 
195.650124, 300.0, 300.0, 161.6818, -57.331924, 2cKc, 9s6s, Ac3h8c, , , sb, r300C, Cr600F, , , 11.1341478824615, 25.7338888645172, 2016/11/14 20:32:01, 
