AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
906.022311, 7050.0, 7050.0, 8220.068725, -2076.091036, KcAc, KdJd, AdKh2s, Qh, Ks, bb, cR350r1050R3150c, Cc, R7050c, R20000f, 86.0845987796783, 107.432366609573, 2016/11/09 10:05:39, 
16.541763, 100.0, 100.0, 87.096797, -3.63856, QdAh, 8c5d, , , , sb, r250F, , , , 12.1257438659668, 12.1592936515808, 2016/11/09 10:07:34, 
-37.753611, 600.0, 600.0, -58.948978, 696.702589, 5cJh, 9h4c, Tc8hJc, 3d, , bb, cC, Cr300R600c, R1150f, , 40.0436160564423, 56.2332940101624, 2016/11/09 10:07:56, 
5.750163, 100.0, 100.0, -46.47419, 140.724027, 8d5c, 3cTd, , , , sb, r200F, , , , 15.4483451843262, 15.4786422252655, 2016/11/09 10:08:56, 
-52.612869, -1500.0, -1500.0, -413.951957, -1033.435173, 7dTh, 4s5h, 3h2d4d, 9d, 8h, bb, r300C, Cr600C, Cc, R1500c, 45.6042490005493, 60.4362959861755, 2016/11/09 10:09:20, 
-32.062388, -800.0, -794.818345, -385.964188, -376.791769, 7c3c, 6c8d, 8h7hJh, Jc, Qh, sb, r200C, Cr400C, Cr800C, Cc, 30.2977828979492, 53.0565319061279, 2016/11/09 10:10:31, 
-16.078547, -100.0, -100.0, -49.660636, -34.260818, 5h9d, Js5d, , , , bb, r300F, , , , 9.81481194496155, 9.85978388786316, 2016/11/09 10:11:34, 
493.931995, -700.0, -700.0, -1357.937637, 164.005642, Kh9h, 9dJc, 5hQhJs, 7s, Qc, sb, r300C, Cr700C, Cc, R2100f, 37.3687138557434, 59.1621177196503, 2016/11/09 10:11:50, 
44.041066, 500.0, 500.0, 0.464663, 455.494271, 6dQd, 5c5d, 4s9dQc, Ks, , bb, r300R500c, Cc, R1100f, , 23.2762632369995, 39.4083232879639, 2016/11/09 10:12:57, 
3.88337, 100.0, 100.0, -51.741452, 147.858082, 7c4h, 4dTc, , , , sb, r400F, , , , 8.33743500709534, 8.37226009368896, 2016/11/09 10:13:41, 
-89.358506, 400.0, 400.0, -153.69183, 643.050336, 9sTd, 4s5d, 4d2dQc, 7s, Ac, bb, cR200c, Cr400C, Cc, R1200f, 49.7262659072876, 70.2023386955261, 2016/11/09 10:13:58, 
15.613052, 100.0, 100.0, 49.667116, 34.719832, 9cJc, Qh7d, , , , sb, r300F, , , , 7.75792598724365, 7.78903007507324, 2016/11/09 10:15:14, 
488.777379, -1800.0, -1800.0, -2068.505158, -220.272221, Ks3s, 9sQs, Js5s6c, Qh, 8h, bb, r300C, Cr600C, Cr1800C, Cr3600F, 136.041704416275, 151.11371254921, 2016/11/09 10:15:30, 
-8.099701, -50.0, -50.0, -41.900299, 0.0, Qc5d, Ad3c, , , , sb, f, , , , 0.0, 0.0, 2016/11/09 10:18:07, 
-49.126897, -100.0, -100.0, -75.336366, 24.463263, 4c3c, Jh6h, JdTd9s, , , bb, cC, Cr300F, , , 44.1374299526215, 50.3686549663544, 2016/11/10 02:18:27, 
466.088636, 857.0, 857.0, 324.648708, 66.262656, Kc3h, KdQs, Ac6c7c, , , sb, cR300r857C, Cr2207F, , , 71.2222459316254, 86.8633399009705, 2016/11/10 02:19:25, 
-1.73842, 300.0, 300.0, 127.852022, 173.886398, KdAs, 8hQd, , , , bb, r300R850f, , , , 16.3991649150848, 22.4723839759827, 2016/11/10 02:20:56, 
-108.785332, 1500.0, -445.686458, -218.546558, -118.354568, Qh6h, 6cJc, Ts4h6s, 4c, 9c, sb, r300C, Cc, Cr750C, Cr1500C, 36.6859841346741, 59.8164024353027, 2016/11/10 02:21:23, 
179.485571, -4000.0, -1998.74294, -259.211503, -1919.017008, Kc3h, Ad6d, 6s4hKh, Ac, 7c, bb, cR450c, Cc, R1000r2000C, Cr4000C, 64.271712064743, 84.0576848983765, 2016/11/10 02:22:31, 
-2100.619755, 9900.0, 6905.602768, 6602.783062, 2403.439461, Ad7d, QdQs, 9d3s5c, As, Th, sb, r550R1650c, R4950c, Cc, R9900c, 49.9856748580933, 68.5415217876434, 2016/11/10 02:24:01, 
-140.894632, 450.0, 450.0, -138.862348, 729.75698, 4dJd, 8dAs, 7d7c2h, Ks, , bb, cR450c, Cc, R1350f, , 33.7397639751434, 41.4316318035126, 2016/11/10 02:25:16, 
12.000387, 100.0, 100.0, 27.450143, 60.549469, ThJc, 9h5s, , , , sb, r450F, , , , 7.15099406242371, 12.7303559780121, 2016/11/10 02:26:01, 
31.342171, 900.0, -156.447962, -405.407837, 217.617704, 6h4d, 9d8c, 5s2dJc, 6c, Tc, bb, cC, Cr300C, Cr900C, Cc, 50.25594830513, 63.4108293056488, 2016/11/10 02:26:17, 
12.210642, 100.0, 100.0, 48.59149, 39.197868, 9sQs, Kc5h, , , , sb, r450F, , , , 8.13975787162781, 13.7440798282623, 2016/11/10 02:27:31, 
-388.538876, -2959.0, -606.863079, 337.709773, -556.033976, Qs8s, 9sKs, ThKhQh, 4c, 2s, bb, r200R550c, R1209c, R2959c, Cc, 60.8278591632843, 76.159793138504, 2016/11/10 02:27:49, 
-16.255166, 300.0, 300.0, 152.823982, 163.431184, 6dAc, 2dKs, 5h4hQd, Ad, Jc, sb, r200C, Cc, Cr300C, Cr675F, 49.8145980834961, 74.8629932403564, 2016/11/10 02:29:14, 
9.546326, 2600.0, -1134.554292, 90.519835, -1234.620452, Ad5d, 6h7h, 3sAs9c, 8c, Kc, bb, r300C, Cc, R650r1300C, Cr2600C, 52.3946452140808, 66.6010293960571, 2016/11/10 02:30:36, 
-27.651053, 100.0, 100.0, -41.561779, 169.212832, 2h9h, 7sQh, Ah3dKc, , , sb, cC, Cr300F, , , 19.0227220058441, 28.1676559448242, 2016/11/10 02:44:16, 
