AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-15.828713, -100.0, -100.0, -58.866686, -25.304601, 2s3d, Td8h, , , , bb, r200F, , , , 13.6689689159393, 13.7129340171814, 2016/11/14 11:02:29, 
-660.902324, 6750.0, 6750.0, -2080.747538, 9491.649862, AcQh, AhJh, 4hTcKc, 5d, , sb, r300R900r2700C, Cr6750C, Cr13500F, , 56.2552523612976, 82.6715092658997, 2016/11/14 11:02:51, 
-89.625239, -200.0, -92.47544, -17.130483, 14.280282, 6s5d, 2sKc, 6c7c8c, 2d, 2h, bb, cC, Cc, Cc, Cr200C, 38.6295018196106, 51.9456746578217, 2016/11/14 11:04:23, 
27.991942, 100.0, 100.0, 120.23779, -48.229732, 6s6h, Qc4s, , , , sb, r300F, , , , 19.0677580833435, 19.1090021133423, 2016/11/14 11:05:24, 
-15.560917, -100.0, -100.0, -46.979625, -37.459459, 5cJs, KhKd, , , , bb, r300F, , , , 9.57793402671814, 9.61109590530396, 2016/11/14 11:05:53, 
5.298746, -400.0, -142.713502, 5.148265, -153.160514, 3s3c, 7h6s, 8s6dTh, 8d, 8c, sb, r200C, Cc, Cc, R400c, 40.6189548969269, 54.5027837753296, 2016/11/14 11:06:17, 
-14.476058, 50.0, 50.0, -55.103845, 119.579903, 3c9s, 7s2h, , , , bb, f, , , , 0.0, 0.0340859889984131, 2016/11/14 11:07:20, 
14.947166, 100.0, 100.0, 3.943403, 81.109432, 7hQh, 6h2s, , , , sb, r300F, , , , 8.79239416122437, 8.82607316970825, 2016/11/14 11:07:34, 
-44.246162, -100.0, -100.0, -40.394652, -15.359186, 5d6c, 6s7c, , , , bb, r200F, , , , 11.7006859779358, 11.7392530441284, 2016/11/14 11:07:51, 
-35.231131, 200.0, 200.0, -94.469539, 329.70067, 4s3c, 8h2h, 6sAcJd, , , sb, r200C, Cr600F, , , 26.4305889606476, 35.5877010822296, 2016/11/14 11:08:13, 
-15.933081, 50.0, 50.0, -50.799901, 116.732982, Jh3c, 6h2d, , , , bb, f, , , , 0.0, 0.0401680469512939, 2016/11/14 11:08:53, 
-24.512661, 200.0, 200.0, -68.684777, 293.197439, 3dTc, Jh7c, 9c4hAc, , , sb, r200C, Cr600F, , , 24.5352129936218, 38.5865666866302, 2016/11/14 11:09:10, 
50.572677, -2250.0, -2112.751738, -924.791931, -1238.532483, Ah2c, 5c6c, 8s6s2h, 3s, 7c, bb, r300C, R900c, R2250c, Cc, 49.2959349155426, 62.8055889606476, 2016/11/14 11:09:55, 
-139.028509, -1500.0, -1488.809884, -671.070563, -678.710812, 5c6c, KsJs, 2h8dJd, Th, 9s, sb, r200R600c, Cr1500C, Cc, Cc, 215.164392948151, 236.416629076004, 2016/11/14 11:11:10, 
-16.853196, -100.0, -100.0, -57.321328, -25.825476, 8d2c, 7sAc, , , , bb, r300F, , , , 12.7307970523834, 12.771852016449, 2016/11/14 11:15:34, 
-25.883841, -200.0, -200.0, -87.209932, -86.906227, Qh8c, 6sQd, 7c4s7s, 5c, , sb, cC, R200c, R400f, , 20.1716470718384, 37.1900320053101, 2016/11/14 11:15:56, 
-308.701977, -4500.0, -4500.0, -267.927159, -3923.370864, 2s8s, QsJd, 8dQc9c, Tc, 5s, bb, cC, Cr200R600c, R1500c, R4500c, 49.9790258407593, 69.7036945819855, 2016/11/14 11:16:42, 
