AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-51.103938, -550.0, -550.0, -114.893464, -384.002598, 5dJd, 6h4h, 7hKs8h, , , bb, cR225c, R550r1100F, , , 56.5736808776855, 69.1205189228058, 2016/11/07 12:31:36, 
-24.090957, 100.0, 100.0, -70.856157, 194.947115, 4s9c, 7dJh, 2d5dQh, , , sb, cC, Cr225F, , , 9.22905230522156, 29.0183501243591, 2016/11/07 12:32:50, 
177.312042, 950.0, 748.930238, 168.091556, 403.526641, 7cJc, 8c9h, 5s9dJd, Qd, Js, bb, cR225c, R500c, Cc, R950c, 37.8686108589172, 58.6187891960144, 2016/11/07 12:33:22, 
7.144304, -100.0, -100.0, -40.390353, -66.753952, 6h9s, 5h7h, , , , sb, cR300f, , , , 9.7648138999939, 15.8137788772583, 2016/11/07 12:34:34, 
-24.253955, 100.0, 100.0, -57.955474, 182.209429, 7c2d, 5d9s, , , , bb, cR275f, , , , 11.1441829204559, 16.7427229881287, 2016/11/07 12:34:53, 
-22.038914, -300.0, -300.0, -128.226415, -149.734671, 2h9d, 7d4c, 4d7hTc, 8c, 2c, sb, cC, Cc, R300c, R900f, 49.8162999153137, 65.7645959854126, 2016/11/07 12:35:13, 
-55.170324, -100.0, -100.0, -13.34387, -31.485806, 4sJs, Ac9d, , , , bb, r300F, , , , 11.2130899429321, 11.2487089633942, 2016/11/07 12:36:22, 
-174.167347, 225.0, 225.0, 84.491156, 314.676191, QsTs, Qd2c, 4h4d5s, , , sb, r225C, Cr550F, , , 13.5015518665314, 30.5221879482269, 2016/11/07 12:36:37, 
371.465173, 200.0, 200.0, 174.426594, -345.891768, 6sTs, 4dAd, Tc2s8s, , , bb, r200C, R425f, , , 21.5495822429657, 28.9002242088318, 2016/11/07 12:37:13, 
3.195317, 100.0, 100.0, -47.281403, 144.086086, 5dJc, Tc3d, , , , sb, r200F, , , , 7.32269501686096, 7.35795497894287, 2016/11/07 12:37:46, 
-44.219848, -600.0, -296.847349, -10.683354, -241.944147, 7hAc, 8cQc, JcTdQd, As, 9d, bb, cR200c, R300c, Cc, Cr600C, 25.621729850769, 43.286908864975, 2016/11/07 12:37:59, 
38.713967, 875.0, 304.186658, 534.748302, -269.275611, 8d3d, 7h4d, 4h7s3s, 6d, 8h, sb, r200C, Cr425C, Cr875C, Cc, 21.6754829883575, 53.7175400257111, 2016/11/07 12:38:50, 
15.878565, 625.0, 624.963273, 368.30518, 240.779528, Ts9c, AhTh, 7s9d4s, 2h, 5c, bb, r300C, Cc, R625c, Cc, 58.2399070262909, 73.0632870197296, 2016/11/07 12:40:01, 
-232.153344, -1700.0, -1700.0, -157.899713, -1309.946943, 4c7h, 4dJd, 8cJc7d, 6d, 3d, sb, cC, Cr200R400c, R800c, Cr1700R5100f, 105.35972738266, 134.002775192261, 2016/11/07 12:50:13, 
-46.749308, -300.0, -300.0, -130.289528, -122.961164, Qh6d, QcQs, 9h4hJs, , , bb, r300C, Cr900F, , , 52.2693827152252, 59.7707176208496, 2016/11/07 12:52:45, 
7.279862, -50.0, -50.0, -57.279862, 0.0, 7h3s, TsKd, , , , sb, f, , , , 4.96887302398682, 4.96887302398682, 2016/11/07 12:53:48, 
-56.00382, -850.0, -850.0, -276.11906, -517.877121, Qh4c, TsTc, 4s8c2d, 9h, , bb, r200C, R425r850C, Cr2549F, , 33.3792555332184, 43.5289504528046, 2016/11/07 12:53:56, 
-130.551667, 200.0, 200.0, 28.629431, 301.922236, Ad6s, Kd4c, Jh9s2d, , , sb, r200C, Cr500F, , , 10.640349149704, 27.3744943141937, 2016/11/07 12:54:43, 
-183.425339, 300.0, 300.0, 2.481502, 480.943836, 3dKc, Qc4h, 7sAd6d, 9d, , bb, r300C, Cc, R550f, , 20.7861723899841, 33.1102652549744, 2016/11/07 12:55:15, 
-43.337954, -1250.0, -1250.0, -145.255973, -1061.406073, KsQc, 9d8h, 5s7d6d, 4h, , sb, r200C, Cr500C, Cr1250R2500f, , 35.7067551612854, 63.1116292476654, 2016/11/07 12:55:52, 
28.663104, 3750.0, 3750.0, 5600.390912, -1879.054016, Js4s, Tc5c, 4c2c7s, 8d, 4h, bb, r200C, R300r900R1500c, R3750c, R9375f, 43.6644937992096, 63.14466381073, 2016/11/07 12:56:59, 
24.801582, 100.0, 100.0, 317.538618, -242.3402, JsJh, 2hTd, , , , sb, r200F, , , , 4.49675607681274, 4.5309431552887, 2016/11/07 12:58:08, 
-184.524698, 900.0, 94.938247, 71.387366, 208.075579, 9cKd, 2d5h, Ts4d3d, Tc, 3s, bb, cC, Cr300C, Cr900C, Cc, 32.5259218215942, 47.9526607990265, 2016/11/07 12:58:19, 
-6.744473, -2000.0, -1004.239434, -226.059341, -771.43562, 7d6c, 4c5s, 8s7cAs, 6d, Ks, sb, cC, Cr200C, Cr500R1000c, R2000c, 34.2099206447601, 64.7292115688324, 2016/11/07 12:59:19, 
186.801955, 1725.0, 1725.0, -1609.204288, 3147.402333, Jd6d, 4c8c, Kc8dTd, Tc, 2h, bb, r300R500c, R950c, R1725c, R3825f, 42.6275646686554, 61.6808543205261, 2016/11/07 13:00:33, 
