AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-1613.778516, -1200.0, -1200.0, -558.681589, 972.460105, 9sAh, 6c8d, 7c3h4h, 5s, 6s, bb, cR300c, R600c, Cr1200C, Cr2400F, 59.5215063095093, 73.6507620811462, 2016/11/11 15:44:17, 
-28.507065, 100.0, 100.0, 6.931163, 121.575903, 2cTh, 9c3c, 7h6s2h, , , sb, cC, Cr200F, , , 11.8396368026733, 25.8218777179718, 2016/11/11 15:45:42, 
-8.204304, 300.0, 300.0, 168.938784, 139.26552, As7c, Kc2c, 7h5c8d, Ah, Th, bb, cC, Cc, R200c, R300c, 28.193629026413, 41.8867862224579, 2016/11/11 15:46:17, 
-1413.616024, 2250.0, 2250.0, 1134.196388, 2529.419636, QcQd, AdTd, 2hKs6c, , , sb, r300R900r2250C, Cr4500F, , , 41.1529719829559, 56.5811057090759, 2016/11/11 15:47:12, 
-20.497133, 300.0, 300.0, 168.441212, 152.05592, 2d7h, Jd2h, 8h7sQc, 2s, 3s, bb, cC, Cc, R300c, Cc, 24.2682836055756, 38.6014933586121, 2016/11/11 15:48:19, 
112.358753, -750.0, -750.0, -129.977949, -732.380804, 9d5d, 8s9h, 6d2s5s, 7s, , sb, cR300c, Cc, Cr750R2250f, , 33.5221111774445, 53.8688902854919, 2016/11/11 15:49:16, 
227.727321, -300.0, -154.090061, -520.285134, 138.467752, Jc2c, 4cJs, 6cTc5d, 2s, 4h, bb, cC, Cr300C, Cc, Cc, 27.335077047348, 42.0974078178406, 2016/11/11 15:50:24, 
-49.594713, -1200.0, -419.399337, -95.261237, -274.543388, 6c6d, QcTs, Qd3c8h, 5h, 9h, sb, r200C, Cr400C, Cc, R1200c, 23.9217145442963, 43.8531625270844, 2016/11/11 15:51:18, 
-15.548661, -100.0, -100.0, -51.772601, -32.678738, 4cTs, 5d8c, , , , bb, r300F, , , , 7.61538195610046, 7.65484690666199, 2016/11/11 15:53:40, 
10.001316, 200.0, 25.602252, -23.617402, 39.218338, Tc6s, 2s8h, 2cAdJs, Td, 3d, sb, cC, Cc, Cr200C, Cc, 15.9137089252472, 34.9573860168457, 2016/11/11 15:53:52, 
-130.996674, -200.0, -200.0, -9.381899, -59.621427, AsTc, 5s7c, 8h6c3c, , , bb, r200C, Cr600F, , , 19.8828978538513, 27.8498418331146, 2016/11/11 15:54:38, 
10.863092, -200.0, -200.0, -38.493631, -172.369461, Qd6c, Qs9s, , , , sb, r200R600f, , , , 15.4457886219025, 15.4769976139069, 2016/11/11 15:55:14, 
-82.904485, 100.0, 100.0, 33.16059, 149.743895, 9d2h, 3sQc, 7s9sJh, , , bb, cC, R200f, , , 13.4576981067657, 19.9968333244324, 2016/11/11 15:55:33, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 8h2d, JhAs, , , , sb, f, , , , 5.85765600204468, 5.85765600204468, 2016/11/11 15:55:57, 
-15.410862, -100.0, -100.0, -50.382138, -34.207, 5h3c, TdQs, , , , bb, r300F, , , , 7.24553108215332, 7.28460907936096, 2016/11/11 15:56:08, 
6.75784, 100.0, 100.0, -24.927543, 118.169703, Kh7s, 2h4c, , , , sb, r200F, , , , 5.09862017631531, 5.13402724266052, 2016/11/11 15:56:20, 
-56.462445, -800.0, -800.0, 135.437118, -878.974673, 7hKh, 5h6s, 6d5c3s, 7s, 6c, bb, r200C, Cr400C, Cr800C, Cr20000F, 37.5730330944061, 50.431113243103, 2016/11/11 15:56:33, 
224.323962, -1500.0, -735.760094, -172.69327, -787.390787, Td4c, 2d7s, Th7c2h, Qc, 3h, sb, cC, Cr300C, Cr750C, R1500c, 22.2062990665436, 49.0193400382996, 2016/11/11 15:57:40, 
-202.225745, 6000.0, -1552.414295, -19.534865, -1330.653685, 9c8c, KhTh, 2c4h3c, 6s, 9d, bb, cR300r600C, Cc, Cr1200C, Cr6000C, 41.6315050125122, 55.6914341449738, 2016/11/11 15:58:40, 
-953.398274, -20000.0, -7620.183483, -3292.087184, -3374.698024, KhAc, AsAd, 5d6d6c, 3c, Th, bb, r300R900r2700R6750r20000C, , , , 30.0464630126953, 35.7578608989716, 2016/11/11 16:01:24, 
394.683896, 200.0, 200.0, 332.606584, -527.29048, 7sQc, 7hJs, Qs2hQd, 2d, , sb, r200C, Cc, Cr400F, , 20.2926082611084, 36.1144843101501, 2016/11/11 16:02:14, 
110.281813, 1000.0, 669.583897, 173.780251, 385.521834, QdJh, 4dQs, 3dQh5c, 9c, 7d, bb, r200C, Cc, R400c, R1000c, 31.6671888828278, 46.1742057800293, 2016/11/11 16:02:53, 
-21.577641, 200.0, 200.0, -88.713823, 310.291464, 7s6h, 5s7h, 8d2c3h, , , sb, r200C, Cr400F, , , 12.9758141040802, 22.2064828872681, 2016/11/11 16:03:58, 
-15.410862, -100.0, -100.0, -50.382138, -34.207, 5h3d, 3s8s, , , , bb, r300F, , , , 7.65600800514221, 7.69100594520569, 2016/11/11 16:04:23, 
-4.651783, -100.0, -100.0, -146.794618, 51.4464, 6sJs, 2h8d, 2c4hAs, 5d, 9s, sb, cC, Cc, Cc, Cc, 16.6337370872498, 29.7827110290527, 2016/11/11 16:04:35, 
-38.281148, -100.0, -100.0, -77.718644, 15.999792, 9h2s, Ah8s, Tc6dJs, , , bb, cC, Cr200F, , , 24.3030917644501, 29.5000658035278, 2016/11/11 16:05:11, 
-44.290647, 100.0, 100.0, -66.074664, 210.365312, Th4h, 2s7h, 2dKdQs, 3c, , sb, cC, Cc, Cr250F, , 14.2067530155182, 34.7471077442169, 2016/11/11 16:05:45, 
-15.398892, 50.0, 50.0, -13.767858, 79.166751, Ah4d, 4h2d, , , , bb, f, , , , 0.0, 0.0396289825439453, 2016/11/11 16:06:23, 
636.836156, 300.0, 300.0, 293.928924, -630.76508, 9c6h, 4h5h, 9d9sKc, , , sb, cR300c, Cr750F, , , 21.9042861461639, 29.3087918758392, 2016/11/11 16:06:36, 
-209.099314, -600.0, -223.504277, -32.774372, 18.369409, 8h8s, Kc9d, 4sAsJh, 9c, 6h, bb, r300C, Cc, Cr600C, Cc, 25.5521810054779, 40.5491473674774, 2016/11/11 16:07:13, 
14.374474, 100.0, 100.0, 124.87043, -39.244904, AdKh, Qc6h, , , , sb, r300F, , , , 7.73679304122925, 7.76657795906067, 2016/11/11 16:08:03, 
-122.898202, 400.0, 291.577125, 152.904729, 261.570598, QsJs, 4d3h, 7cAhQc, Ts, 4c, bb, r200C, Cc, Cc, R400c, 35.2986252307892, 49.1514961719513, 2016/11/11 16:08:18, 
-87.95483, 200.0, 200.0, 27.279463, 260.675367, 5hKd, 5s6h, Td2d2h, , , sb, r200C, Cr500F, , , 13.9812610149384, 24.1912379264832, 2016/11/11 16:09:14, 
-13.620014, 50.0, 50.0, 27.946662, 35.673352, QhTd, 3d9c, , , , bb, f, , , , 0.0, 0.0391330718994141, 2016/11/11 16:09:43, 
12.098158, 100.0, 100.0, -1.607224, 89.509066, Kh9d, 4sQc, , , , sb, r300F, , , , 7.76968789100647, 7.80138993263245, 2016/11/11 16:09:51, 
-10.876449, 100.0, 100.0, -8.498326, 119.374776, Ac7s, 3cTs, , , , bb, cR500f, , , , 13.742082118988, 19.3504843711853, 2016/11/11 16:10:10, 
-1051.06697, 14400.0, -7423.317659, -3896.249106, -2476.001583, 8cJs, AcKd, 8s3h4c, 2h, Qd, sb, r200R600c, R1200r2400R7200c, Cc, R14400c, 34.0269439220428, 50.8953449726105, 2016/11/11 16:10:35, 
-107.167534, 400.0, 400.0, -234.773607, 741.941141, 3d6h, 6sAh, 5s8h8c, Jc, 5c, bb, r300C, Cc, R400c, R1200f, 25.2856841087341, 37.4727230072021, 2016/11/11 16:11:46, 
10.396547, 100.0, 100.0, -18.065638, 107.669092, Ac4h, Jd5c, , , , sb, r300F, , , , 8.00931000709534, 8.04239106178284, 2016/11/11 16:12:29, 
-4.862899, 50.0, 50.0, 148.184859, -93.32196, AhQh, 7h3s, , , , bb, f, , , , 0.0, 0.0296649932861328, 2016/11/11 16:12:44, 
-167.105348, -2250.0, -1874.348254, -513.819015, -1193.423891, 3cJc, 7dAd, 2h3dKd, Td, 7h, sb, cR300c, Cr900C, Cr2250C, Cc, 30.7874751091003, 57.0654079914093, 2016/11/11 16:12:51, 
-15.552903, 50.0, 50.0, -42.951674, 108.504576, 9s6h, 2h3s, , , , bb, f, , , , 0.0, 0.0719559192657471, 2016/11/11 18:06:14, 
7.279862, -50.0, -50.0, -57.279862, 0.0, 3s7h, 7d4c, , , , sb, f, , , , 5.525710105896, 5.525710105896, 2016/11/11 18:06:26, 
