AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-30.573034, -220.0, -57.2809, -135.168492, 108.460626, 2c4s, 8h2h, Jc2d6s, Th, 7s, bb, cC, R220c, Cc, Cc, 65.5301461219788, 77.5565030574799, 2016/11/13 15:12:56, 
-1509.380291, -4700.0, -4700.0, -405.843165, -2784.776544, 4hAd, QdAh, KdKsTd, Jd, , sb, r300R900r2300C, Cr4700C, R9400f, , 81.2310361862183, 101.96814250946, 2016/11/13 15:14:42, 
468.092629, 2800.0, 783.585569, -41.482755, 356.975695, Jc7c, 9cAc, 7s2s2c, Th, 5h, bb, r300C, Cr600R1400c, Cr2800C, Cc, 41.3555791378021, 57.713525056839, 2016/11/13 15:16:28, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 2d4s, Ac3s, , , , sb, f, , , , 4.55753302574158, 4.55753302574158, 2016/11/13 15:17:51, 
-15.560917, -100.0, -100.0, -46.979625, -37.459459, 5cJd, Th8h, , , , bb, r300F, , , , 6.68446397781372, 6.71919393539429, 2016/11/13 15:17:59, 
7.336767, -50.0, -50.0, -57.336767, 0.0, 3d2h, 9sJd, , , , sb, f, , , , 6.13358402252197, 6.13358402252197, 2016/11/13 15:18:09, 
509.063662, -2100.0, -2100.0, -1198.303865, -1410.759797, 9d7h, 5hJh, Qs8d6h, Jd, 4h, bb, r300C, Cr900C, Cc, R2100c, 43.9544095993042, 56.3187885284424, 2016/11/13 15:18:20, 
15.822062, 100.0, 100.0, 10.226589, 73.951349, 5hKh, 5c2d, , , , sb, r300F, , , , 6.02847504615784, 6.06176424026489, 2016/11/13 15:19:33, 
-49.195518, 300.0, 300.0, 14.955989, 334.23953, 4sQs, 6d3d, 7h7sKs, Ad, , bb, r300C, Cc, R700f, , 28.6863446235657, 39.3331553936005, 2016/11/13 15:19:45, 
16.438789, 100.0, 100.0, 25.29846, 58.262751, Kd7d, 4h8c, , , , sb, r300F, , , , 5.49717688560486, 5.52850294113159, 2016/11/13 15:20:28, 
3.376301, 200.0, 200.0, 853.697872, -657.074173, AsAh, Jd7h, , , , bb, r200R800f, , , , 8.05462193489075, 13.6905188560486, 2016/11/13 15:20:40, 
9.181383, 100.0, 100.0, -18.428191, 109.246808, Ts8h, Jc5d, , , , sb, r300F, , , , 6.22602486610413, 6.25759172439575, 2016/11/13 15:20:57, 
-81.955742, -200.0, -200.0, -77.839836, -40.204422, 2cQc, JhAc, 6c3dTs, , , bb, r200C, Cr400F, , , 17.1086599826813, 22.6101438999176, 2016/11/13 15:21:09, 
167.236502, 1350.0, 1179.231059, 723.328083, 288.666474, Js9d, 8sAc, JhQcQs, Qh, 2d, sb, r300C, Cr450R900c, Cc, Cr1350C, 39.4746110439301, 56.9458525180817, 2016/11/13 15:21:35, 
-16.149289, -100.0, -100.0, -53.859085, -29.991626, 4h9s, Ks2d, , , , bb, r300F, , , , 6.4798698425293, 6.51858568191528, 2016/11/13 15:22:49, 
4.27643, 1440.0, -684.881968, -187.726863, -501.431535, 6s3s, 8sJd, Ts9cAc, 3h, 9h, sb, r300C, Cr720C, Cc, R1440c, 42.9642009735107, 64.2701420783997, 2016/11/13 15:22:59, 
-93.777775, -700.0, -700.0, -278.358528, -327.863697, Ad8d, Qd8s, Qc9cTc, 6s, 5d, bb, r300C, Cc, R700c, Cc, 21.4635632038116, 33.0018894672394, 2016/11/13 15:24:29, 
7.809828, 100.0, 100.0, -32.142739, 124.332911, 7h6c, 2c9c, , , , sb, r300F, , , , 5.99276900291443, 6.02337503433228, 2016/11/13 15:25:12, 
-26.415464, 300.0, 300.0, -38.524134, 364.939597, 2s4s, 9h8d, , , , bb, r300R1050f, , , , 9.28517508506775, 15.294741153717, 2016/11/13 15:25:24, 
13.799421, 100.0, 100.0, -15.821887, 102.022466, 5c8c, 4h9c, , , , sb, r300F, , , , 6.51275706291199, 6.54816603660583, 2016/11/13 15:25:42, 
-16.625774, -100.0, -100.0, -57.279242, -26.094984, 6s2h, Ah2s, , , , bb, r300F, , , , 6.03861904144287, 6.08919596672058, 2016/11/13 15:25:56, 
-273.085303, 300.0, 300.0, 104.150735, 468.934568, 5sAs, Qd9c, 8h3hKd, , , sb, r300C, Cr700F, , , 9.67732405662537, 21.9752702713013, 2016/11/13 15:26:05, 
-42.832999, -200.0, -200.0, -119.905822, -37.261179, Ks6s, 7hAc, 8dAhQs, Qh, 9c, bb, r200C, Cc, Cc, Cr600F, 39.6143786907196, 52.391167640686, 2016/11/13 15:26:31, 
5.868579, -50.0, -50.0, -55.868579, 0.0, 3cTh, Qs7s, , , , sb, f, , , , 4.23938798904419, 4.23938798904419, 2016/11/13 15:27:27, 
-16.366806, -100.0, -100.0, -55.061818, -28.571377, 3d7s, QhKc, , , , bb, r300F, , , , 6.88547801971436, 6.91834306716919, 2016/11/13 15:27:35, 
14.80723, 100.0, 100.0, 151.18817, -65.9954, QdAd, 4s3d, , , , sb, r300F, , , , 5.82410192489624, 5.86197400093079, 2016/11/13 15:27:46, 
-135.009898, -300.0, -300.0, -81.323981, -83.666121, 2sJs, 5s7h, 6hQs6d, , , bb, r300C, Cr600F, , , 18.0905621051788, 22.2049517631531, 2016/11/13 15:27:58, 
1.741452, -50.0, -50.0, -51.741452, 0.0, 4c7s, 7hTd, , , , sb, f, , , , 4.66366815567017, 4.66366815567017, 2016/11/13 15:28:24, 
-47.886458, 100.0, 100.0, -82.618831, 230.505288, 4h5d, Td5h, 3c9c9d, 7c, , bb, cC, Cc, R220f, , 19.2667980194092, 31.0151252746582, 2016/11/13 15:28:32, 
-24.483402, -300.0, -300.0, -171.17193, -104.344668, Kd4s, Jh7d, 6h5h8h, Qs, , sb, r300C, Cc, R600f, , 11.4622182846069, 23.5587892532349, 2016/11/13 15:29:06, 
2632.276859, 1900.0, 1900.0, -187.67739, -544.599469, TcTh, 6c3c, Ts2cAc, Qd, , bb, r300R1050c, R1900c, R4750f, , 65.4550278186798, 81.0795116424561, 2016/11/13 15:29:33, 
-15.985781, -100.0, -100.0, -36.076794, -47.937425, 5hKd, Th7c, , , , bb, r300F, , , , 361.212837219238, 361.287023067474, 2016/11/30 13:22:12, 
-64.16519, -600.0, 114.429847, -48.450578, 227.045615, 9c8s, Kd5h, AhKs7d, 8c, 2s, sb, r300C, Cr600C, Cc, Cc, 369.806960344315, 385.304149627686, 2016/11/30 13:37:52, 
-15.841279, -100.0, -100.0, -46.919275, -37.239446, 5s8c, AcTc, , , , bb, r300F, , , , 681.471629142761, 681.624046325684, 2016/11/30 13:47:48, 
-57.456881, -100.0, -100.0, -51.624919, 9.0818, 5h8h, 7c4d, 7sThKc, , , bb, cC, Cr200F, , , 795.309202671051, 801.028210878372, 2016/11/30 13:58:30, 
4.545439, -50.0, -50.0, -54.545439, 0.0, 4d8h, QdKd, , , , sb, f, , , , 66.3682780265808, 66.3682780265808, 2016/11/30 14:00:10, 
-52.391287, -100.0, -100.0, -57.461738, 9.853025, 3h4h, 2dTs, Js6cJh, , , bb, cC, Cr200F, , , 34.4736649990082, 39.3688910007477, 2016/11/30 14:01:30, 
15.590116, 100.0, 100.0, 62.613999, 21.795885, AcJh, Kd5h, , , , sb, r400F, , , , 37.7774109840393, 37.8040058612823, 2016/11/30 14:02:14, 
101.242783, 2700.0, 153.888288, -457.87665, 510.522154, 7hAh, 6h9c, Td7d3c, 5s, 2d, bb, r300C, Cr900C, Cr2700C, Cc, 157.557984113693, 172.006109476089, 2016/11/30 14:03:13, 
-389.496925, 600.0, 600.0, -21.004217, 1010.501142, 9cQs, 3h4h, KsAhAc, 3s, , sb, r300C, R600c, Cr2200F, , 25.5402171611786, 39.4906961917877, 2016/11/30 14:06:25, 
-15.409966, -100.0, -100.0, -39.455474, -45.13456, 8c6d, Tc9c, , , , bb, r300F, , , , 6.68074297904968, 6.72076106071472, 2016/11/30 14:07:07, 
