AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-15.76109, -100.0, -100.0, -50.799901, -33.439009, 3cJs, 9dKd, , , , bb, r300F, , , , 18.671797990799, 18.7062139511108, 2016/11/07 16:25:36, 
1.163213, 100.0, 100.0, 814.085482, -715.248696, AsAh, Jd4c, , , , sb, r300F, , , , 20.6823740005493, 20.7216238975525, 2016/11/07 16:26:02, 
-60.910773, -600.0, 207.580152, 186.358134, 82.132791, 6c4d, 7h3s, 5c4cKd, Ks, 6h, bb, cC, R200c, Cc, Cr600C, 71.0159578323364, 87.6539530754089, 2016/11/07 16:26:33, 
13.089837, 100.0, 100.0, -4.983225, 91.893388, Jh9d, 6h2s, , , , sb, r200F, , , , 7.35786509513855, 7.39175295829773, 2016/11/07 16:28:11, 
-22.593078, -100.0, -100.0, -92.777765, 15.370843, 5h2d, 8cJc, 8s4dTh, , , bb, cC, Cr300F, , , 36.5895459651947, 43.3203480243683, 2016/11/07 16:28:28, 
-330.810419, -1900.0, -1477.443099, -138.813629, -1007.819051, 5h3h, 2dKd, 5sKc4s, 9c, Ah, sb, r200C, Cr400C, Cr900C, Cr1900C, 34.1266651153564, 64.3166511058807, 2016/11/07 16:29:15, 
-73.842957, -300.0, -114.066386, -173.287222, 133.063792, Ad2c, 2h2s, Th8cKc, 4c, 4d, bb, r300C, Cc, Cc, Cc, 52.8089599609375, 68.120748758316, 2016/11/07 16:30:34, 
-55.903731, 450.0, 450.0, 266.342275, 239.561456, 7d6d, 8sKd, 7s2c2h, 4d, , sb, r250C, Cr450C, Cr950F, , 34.0528609752655, 59.6963872909546, 2016/11/07 16:31:52, 
-16.438185, -100.0, -100.0, -56.052352, -27.509463, 3h8c, QcTd, , , , bb, r300F, , , , 7.42496299743652, 7.45499587059021, 2016/11/07 16:32:59, 
-43.731398, 100.0, 100.0, -51.896857, 195.628255, 6c9h, Td5c, 3dKdAs, , , sb, cC, Cr250F, , , 18.4045989513397, 30.0846130847931, 2016/11/07 16:33:10, 
-95.906979, 1800.0, 1800.0, 2046.087942, -150.180964, Ah4h, 9dTd, 7s2h4d, 3c, 4s, bb, r300C, Cr900R1800c, Cc, R4000f, 51.1675174236298, 66.5602524280548, 2016/11/07 16:33:45, 
6.532751, 400.0, 52.658932, 33.244383, 12.881797, Tc6s, 2c9h, 2d7c6c, 5d, 5s, sb, cC, Cr200C, R400c, Cc, 24.4369847774506, 47.9341053962708, 2016/11/07 16:34:59, 
-202.159329, 250.0, 250.0, 22.473218, 429.686111, Kh9c, Qc6c, 2c8d2d, Js, , bb, cR250c, Cc, R550f, , 34.0179400444031, 50.7224581241608, 2016/11/07 16:35:56, 
98.147419, -4100.0, -4100.0, -356.482418, -3841.665001, Kc2d, 7dAs, 7hAc2h, 9c, Js, sb, cC, Cr200R400r1100C, Cc, R2200r4100R8200f, 92.7562239170074, 122.458838939667, 2016/11/07 16:36:51, 
-10.777903, 50.0, 50.0, -42.934847, 103.71275, Kh2d, 6h2s, , , , bb, f, , , , 0.0, 0.0296950340270996, 2016/11/07 16:38:57, 
13.014143, 100.0, 100.0, -36.35502, 123.340877, 9d3d, Td2s, , , , sb, r200F, , , , 7.22265791893005, 7.25425696372986, 2016/11/07 16:39:05, 
-24.524964, 250.0, 250.0, -17.567131, 292.092095, 4hQs, Kh9d, Qd9h8h, 7d, , bb, cC, R250c, R750f, , 35.554741859436, 47.0944838523865, 2016/11/07 16:39:19, 
17.02998, 100.0, 100.0, 35.091575, 47.878445, Ah3h, 7dQc, , , , sb, r300F, , , , 6.48731398582458, 12.0490009784698, 2016/11/07 16:40:08, 
-30.154033, -100.0, -100.0, -106.644224, 36.798256, 7h9c, Kc2d, Ks8h3c, Qd, , bb, cC, Cc, Cr200F, , 25.3043792247772, 34.7279803752899, 2016/11/07 16:40:24, 
-17.938392, 200.0, 200.0, -144.521426, 362.459818, 6c5d, Kh3d, Tc4dAc, Qh, , sb, r200C, Cc, Cr500F, , 26.5823659896851, 45.8659811019897, 2016/11/07 16:41:03, 
-30.099942, -100.0, -100.0, -46.587915, -23.312143, Qh3c, Ad5s, , , , bb, r200F, , , , 7.30872106552124, 7.34737300872803, 2016/11/07 16:41:53, 
-108.458451, 200.0, 200.0, -3.556332, 312.014783, Ad6h, 8sTd, 3d5c3h, Jh, , sb, r200C, Cc, Cr400F, , 15.4735879898071, 33.7889838218689, 2016/11/07 16:42:04, 
-67.326936, -750.0, -750.0, -226.153519, -456.519545, 5h8h, Tc4s, 7sAs9c, 8d, Jd, bb, cC, Cc, Cr300C, R750c, 36.1804089546204, 50.8213546276093, 2016/11/07 16:42:42, 
-48.82629, 550.0, -105.131481, -210.65716, 154.351969, AcKh, TdKs, 3dJc8s, 4h, 5c, sb, r250C, Cr550C, Cc, Cc, 35.6246600151062, 60.5320320129395, 2016/11/07 16:43:40, 
-49.160504, -300.0, -300.0, -40.779152, -210.060344, Ac2s, 7hJc, 2h8dJh, , , bb, r300C, Cr900F, , , 19.857115983963, 27.701281785965, 2016/11/07 16:44:57, 
8.513997, 100.0, 100.0, -20.162674, 111.648677, 8sKd, 7d3h, , , , sb, r200F, , , , 9.30986094474792, 9.34616208076477, 2016/11/07 16:45:29, 
