AIVAT, Chips, All Hands Chips, Chance Correction, Action Correction, Your Hand, Deepstack Hand, Flop Cards, Turn Card, River Card, Position, Pre-flop, Flop, Turn, River, Seconds to Act, Total Seconds, Start Time (UTC), Notes
-86.167292, 100.0, 100.0, 35.305099, 150.862193, 7d8d, Jc2s, 9cKhAc, 6h, , bb, cC, Cc, R250f, , 62.2800633907318, 73.2390193939209, 2016/11/13 14:08:04, 
8.006357, 100.0, 100.0, -50.581957, 142.5756, 4cJh, 2d7c, , , , sb, r300F, , , , 16.4447968006134, 16.4778106212616, 2016/11/13 14:09:34, 
40.121406, 1400.0, 1400.0, -331.963524, 1691.842119, KdJs, 7sJd, 5dQc7d, 9h, , bb, r300C, Cr600R1400c, R3300f, , 92.4941470623016, 111.691574335098, 2016/11/13 14:10:01, 
72.856548, 300.0, 300.0, 196.941898, 30.201554, Jh8c, Ks5c, 2s8h3s, , , sb, r300C, Cr800F, , , 30.6725821495056, 43.4008929729462, 2016/11/13 14:12:01, 
-49.049422, -100.0, -100.0, -113.81525, 62.864672, 3h9h, Kh8s, 2s7d6d, Qh, Kd, bb, cC, Cc, Cc, Cr300F, 46.7982707023621, 62.463769197464, 2016/11/13 14:12:50, 
9.11455, 100.0, 100.0, -37.789689, 128.675139, 4dKc, Jd7h, , , , sb, r300F, , , , 7.55305099487305, 7.59878611564636, 2016/11/13 14:13:56, 
-115.744201, -200.0, -200.0, -15.636045, -68.619754, 3dAd, 9h8s, JsKhKc, 6s, , bb, r200C, Cc, Cr600F, , 42.5218420028687, 52.2250258922577, 2016/11/13 14:14:12, 
12.098158, 100.0, 100.0, -1.607224, 89.509066, 9dKc, 7d5c, , , , sb, r300F, , , , 6.22522902488708, 6.25956082344055, 2016/11/13 14:15:13, 
-21.514708, -100.0, -100.0, -49.660636, -28.824656, 9d5s, KcQc, , , , bb, r200F, , , , 10.0888450145721, 10.1316440105438, 2016/11/13 14:15:27, 
5.868579, -50.0, -50.0, -55.868579, 0.0, Ts3h, Kc2s, , , , sb, f, , , , 11.8310270309448, 11.8310270309448, 2016/11/13 14:15:41, 
-54.223289, -300.0, -300.0, -144.713975, -101.062736, 8s7h, KsTd, 2c2hKc, , , bb, r300C, Cr600F, , , 28.247181892395, 32.9560708999634, 2016/11/13 14:15:57, 
-56.022452, 600.0, 600.0, -208.22276, 864.245212, 7s2s, 5dAh, Td9d7d, 6h, , sb, r300C, Cr600C, Cr1400F, , 56.6217193603516, 79.4065985679626, 2016/11/13 14:16:37, 
-15.409966, -100.0, -100.0, -39.455474, -45.13456, 8s6d, 6s7d, , , , bb, r300F, , , , 19.3145170211792, 19.3522441387177, 2016/11/13 14:18:03, 
45.555901, 300.0, 300.0, 211.371507, 43.072592, 4cAd, Tc8h, 5d9cAc, , , sb, r300C, Cr600F, , , 14.1367490291595, 26.9326410293579, 2016/11/13 14:18:27, 
-16.853196, -100.0, -100.0, -57.321328, -25.825476, 8c2d, 5c4d, , , , bb, r300F, , , , 7.53403687477112, 7.57568788528442, 2016/11/13 14:18:57, 
-86.033846, 600.0, 600.0, 189.868375, 496.165471, 3sJc, Kd8s, 5s6s9s, Jd, 5c, sb, r300C, Cc, Cr600C, Cr2000F, 56.3709077835083, 80.6724281311035, 2016/11/13 14:19:08, 
-15.863274, -100.0, -100.0, -42.934847, -41.201878, 2hKd, 4hJh, , , , bb, r300F, , , , 47.0830049514771, 47.1182019710541, 2016/11/13 14:20:38, 
6.4825, 100.0, 100.0, -53.433974, 146.951474, Jc2d, 4hKc, , , , sb, r300F, , , , 10.9640560150146, 10.9948010444641, 2016/11/13 14:21:30, 
-12.756043, 200.0, 200.0, -26.718864, 239.474907, Ah2c, Kc8h, , , , bb, r200R800f, , , , 41.8176960945129, 47.370297908783, 2016/11/13 14:21:47, 
7.345326, -50.0, -50.0, -57.345326, 0.0, 9s3h, 7d2h, , , , sb, f, , , , 6.5517418384552, 6.5517418384552, 2016/11/13 14:22:39, 
-15.164466, -100.0, -100.0, -47.419704, -37.415831, 4h6c, QdKs, , , , bb, r300F, , , , 18.1178200244904, 18.1580681800842, 2016/11/13 14:22:50, 
-71.811308, 300.0, 300.0, 161.739722, 210.071585, 7sKd, Ks8h, 2h9s7h, , , sb, r300C, Cr700F, , , 13.7741687297821, 28.0660037994385, 2016/11/13 14:23:12, 
-22.325933, -100.0, -100.0, -33.555458, -44.11861, 7s6d, 4d9d, , , , bb, r300F, , , , 24.3426918983459, 24.3749198913574, 2016/11/13 14:23:43, 
352.615193, 600.0, 600.0, -474.814424, 722.199231, 7s8d, 5c3c, 2h6s9d, 2d, , sb, r300C, Cr600C, Cr2300F, , 54.0835888385773, 74.1291041374207, 2016/11/13 14:24:11, 
