STATE:0:r300c/cc/cc/r555r1665f:7hTh|TsAs/Ad5c4d/5h/9c:-555|555:b\ös.alexander.1|DeepStack # 1480723981.10202
STATE:1:r200c/cc/r400f:Jh2c|Qc4h/9h8d7h/5h:200|-200:DeepStack|b\ös.alexander.1 # 1480724097.93367
STATE:2:r200c/cc/cc/cr400f:5s9c|Td9s/6s7hQh/5h/Ts:-200|200:b\ös.alexander.1|DeepStack # 1480724134.16866
STATE:3:r200f:4d8s|6c8h:-100|100:DeepStack|b\ös.alexander.1 # 1480724192.98181
STATE:4:r300c/cc/r700c/r1800c:Tc7d|7cAh/Ad6sTd/6d/6c:-1800|1800:b\ös.alexander.1|DeepStack # 1480724209.25308
STATE:5:r200f:3c8s|3d8c:-100|100:DeepStack|b\ös.alexander.1 # 1480724294.77285
STATE:6:r200c/cr400r900f:5s4h|9h6s/7h3h3c:400|-400:b\ös.alexander.1|DeepStack # 1480724309.68599
STATE:7:r300c/cc/cr700f:Th6h|Qd3d/4s9sJs/Ah:-300|300:DeepStack|b\ös.alexander.1 # 1480724352.25867
STATE:8:cc/cc/cr200f:2cQs|Jc5d/5h9cJh/7s:-100|100:b\ös.alexander.1|DeepStack # 1480724395.30793
STATE:9:r300r900r2400f:JcTs|6cAh:-900|900:DeepStack|b\ös.alexander.1 # 1480724438.35121
STATE:10:r200c/cc/cc/cc:7sAd|5d6c/Qs8d2h/5c/Th:-200|200:b\ös.alexander.1|DeepStack # 1480724478.90225
STATE:11:r300c/cc/cc/cc:3d3c|Kc4c/6c9dQh/9h/Ts:300|-300:DeepStack|b\ös.alexander.1 # 1480724521.41072
STATE:12:r200c/cr400c/cc/cc:7dKc|5c6c/5dAd9s/3c/Kd:400|-400:b\ös.alexander.1|DeepStack # 1480724566.29554
STATE:13:r300r900r2400c/cc/cc/r12000f:6c6h|Ad2h/ThAsQs/Kh/7d:2400|-2400:DeepStack|b\ös.alexander.1 # 1480724617.79813
STATE:14:cc/cr200c/cc/cc:Jh3d|Ad2h/Qd2s3c/5h/Ts:200|-200:b\ös.alexander.1|DeepStack # 1480724705.29948
STATE:15:r300f:9c4d|8c8h:-100|100:DeepStack|b\ös.alexander.1 # 1480724755.77499
STATE:16:r300f:3d8c|4s8s:-100|100:b\ös.alexander.1|DeepStack # 1480724771.45154
