STATE:0:r300r1050c/cr2100r4450f:TcJc|KcJs/7s9d8h:2100|-2100:eshkar.eyal.1|DeepStack # 1479048165.11692
STATE:1:f:2h9d|5s3c:50|-50:DeepStack|eshkar.eyal.1 # 1479048321.3193
STATE:2:cc/r220c/r460f:3h3d|Td6h/8sAd8d/2h:220|-220:eshkar.eyal.1|DeepStack # 1479048338.20133
STATE:3:r300c/cc/r600c/r1800f:TcJh|7dAc/6cQs3c/4c/Ks:600|-600:DeepStack|eshkar.eyal.1 # 1479048426.40281
STATE:4:r300r1050f:JsJd|6c5h:300|-300:eshkar.eyal.1|DeepStack # 1479048559.18907
STATE:5:r300f:3c8c|Js7s:-100|100:DeepStack|eshkar.eyal.1 # 1479048586.4998
STATE:6:cc/r220c/cc/r395f:7d5c|8d6d/5h9c9s/Js/3c:220|-220:eshkar.eyal.1|DeepStack # 1479048604.62989
STATE:7:r300c/cr720c/cr1220c/cr3100f:8dQs|AcAd/Qc3d9h/Ah/6h:-1220|1220:DeepStack|eshkar.eyal.1 # 1479048667.77855
STATE:8:r200c/cr400c/cr1200c/cr6000c:2hAh|KcAc/6sAd3s/Kd/2s:-6000|6000:eshkar.eyal.1|DeepStack # 1479048851.7299
STATE:9:r300r900r2500r20000f:5hAh|Ad5c:2500|-2500:DeepStack|eshkar.eyal.1 # 1479049026.67607
STATE:10:cc/cc/cc/r250r750f:Th2c|3cJh/Ad3h6h/3d/5d:-250|250:eshkar.eyal.1|DeepStack # 1479049093.40135
STATE:11:r300f:5s2c|Jd4d:-100|100:DeepStack|eshkar.eyal.1 # 1479049160.93004
STATE:12:r200c/cc/cr400f:4cAs|5h3c/9cKsQh/Tc:-200|200:eshkar.eyal.1|DeepStack # 1479049178.28707
STATE:13:r300f:5s6c|Qs5d:-100|100:DeepStack|eshkar.eyal.1 # 1479049219.74917
STATE:14:f:3h4c|2h7c:50|-50:eshkar.eyal.1|DeepStack # 1479049234.41127
STATE:15:f:6d9s|6c2d:50|-50:DeepStack|eshkar.eyal.1 # 1479049240.87361
STATE:16:cr400c/r900f:9s9d|8dQd/5sAc7s:400|-400:eshkar.eyal.1|DeepStack # 1479049249.99196
STATE:17:r300f:2d5s|Kh7h:-100|100:DeepStack|eshkar.eyal.1 # 1479049301.92485
STATE:18:r300r1050f:ThAc|5c8h:300|-300:eshkar.eyal.1|DeepStack # 1479049314.56674
STATE:19:r300c/cc/cc/cr720r20000f:Jd5d|TdKc/7h5hAh/6s/4d:720|-720:DeepStack|eshkar.eyal.1 # 1479049340.24115
STATE:20:cc/cr300f:2d8d|Ah4c/JcKh6h:-100|100:eshkar.eyal.1|DeepStack # 1479049444.13535
STATE:21:r300c/cr720f:KsJh|9d6c/6s3h5d:-300|300:DeepStack|eshkar.eyal.1 # 1479049476.17516
STATE:22:r200r900f:5c9c|Tc7h:200|-200:eshkar.eyal.1|DeepStack # 1479049520.09795
STATE:23:r300c/cr610f:3s6s|9c3c/Ah9h6h:-300|300:DeepStack|eshkar.eyal.1 # 1479049557.8122
STATE:24:r300f:3hQc|7dTd:-100|100:eshkar.eyal.1|DeepStack # 1479049593.89146
STATE:25:f:Ac5c|2s9c:50|-50:DeepStack|eshkar.eyal.1 # 1479049605.64422
STATE:26:r300f:9d2d|7hQs:-100|100:eshkar.eyal.1|DeepStack # 1479049616.15791
STATE:27:r300f:Js5h|As8s:-100|100:DeepStack|eshkar.eyal.1 # 1479049640.12007
STATE:28:r300f:Qs3c|JcKd:-100|100:eshkar.eyal.1|DeepStack # 1479049655.04439
STATE:29:r300c/cc/cc/r900f:2h4h|Ad2s/Tc9cQd/6c/8c:300|-300:DeepStack|eshkar.eyal.1 # 1479049666.78116
STATE:30:cc/cc/r250c/r750c:4cJc|8hAd/7cTd6s/5h/Jh:750|-750:eshkar.eyal.1|DeepStack # 1479049715.56608
