STATE:0:r300c/cr900f:KdJd|Ts6c/7s8cAh:-300|300:islam.jefri.1|DeepStack # 1479519813.54453
STATE:1:r300c/cc/r900c/r1800c:Ts5s|AhJs/6c8h7s/Ad/4h:1800|-1800:DeepStack|islam.jefri.1 # 1479519879.57548
STATE:2:cr500f:8d5d|Ks2c:100|-100:islam.jefri.1|DeepStack # 1479519935.80662
STATE:3:r300c/cr750c/cc/r2250c:Kh7s|9hKc/2d2h7d/5c/3s:2250|-2250:DeepStack|islam.jefri.1 # 1479519959.94271
STATE:4:r300c/cr900r2250c/r5625f:7c9s|9d6d/3d6c4h/2c:2250|-2250:islam.jefri.1|DeepStack # 1479520021.15563
STATE:5:r250c/r750c/cc/cr2850f:Qd2d|4d2c/9hAs2s/5d/4c:-750|750:DeepStack|islam.jefri.1 # 1479520064.77085
STATE:6:f:Qh9s|3c8h:50|-50:islam.jefri.1|DeepStack # 1479520119.27022
STATE:7:r200c/cr450c/cr2250f:Jd2d|5h7s/6s2cKh/4d:-450|450:DeepStack|islam.jefri.1 # 1479520126.25673
STATE:8:r200r800c/r2000f:7dTd|Qh9h/JdKd2d:800|-800:islam.jefri.1|DeepStack # 1479520174.20272
STATE:9:r300r900f:2s2h|9c3d:300|-300:DeepStack|islam.jefri.1 # 1479520207.69045
STATE:10:r200r800c/r1800c/r3800f:Qs8s|AhTd/Kh3c5h/Jd:1800|-1800:islam.jefri.1|DeepStack # 1479520233.5958
STATE:11:r300c/cr750c/cc/cc:6s8c|2sKc/6dAs2h/Jd/5s:750|-750:DeepStack|islam.jefri.1 # 1479520283.96096
STATE:12:r300c/cr600c/cr1800f:7d7s|9dTs/2dKh5s/Jd:-600|600:islam.jefri.1|DeepStack # 1479520330.59129
STATE:13:r250c/cr550c/cc/r1100f:8h5h|3s2h/Ac8s8d/9c/6h:550|-550:DeepStack|islam.jefri.1 # 1479520380.99872
STATE:14:r300c/cr900c/cr2700c/cc:Ad5s|As9h/3h9s2s/Kd/8c:-2700|2700:islam.jefri.1|DeepStack # 1479520432.18218
STATE:15:r300f:4c6h|2s7s:-100|100:DeepStack|islam.jefri.1 # 1479520486.45222
STATE:16:cr500f:4s5h|3dQs:100|-100:islam.jefri.1|DeepStack # 1479520501.99395
STATE:17:r300c/r900r2150r4300c/cr7800c/r20000f:8dAc|3h9h/AhJd7d/2s/6d:7800|-7800:DeepStack|islam.jefri.1 # 1479520519.85725
STATE:18:r200c/cr600f:5sQs|8dAd/6dJhAc:-200|200:islam.jefri.1|DeepStack # 1479520594.14559
STATE:19:r300f:Qd2c|Ad6s:-100|100:DeepStack|islam.jefri.1 # 1479520620.57794
STATE:20:cc/cr200c/cr400r1200f:Ks5h|AhQd/Kc3s4h/6h:400|-400:islam.jefri.1|DeepStack # 1479520639.5109
STATE:21:r300c/cc/cr750c/cr1875c:TcQs|TsKh/KsAc6c/Qd/Th:-1875|1875:DeepStack|islam.jefri.1 # 1479520686.71839
STATE:22:r200c/cr600c/cr1800f:5h7s|4s6s/7hJsKd/8d:-600|600:islam.jefri.1|DeepStack # 1479520737.75285
STATE:23:r300c/cr750c/cc/cr2250r11250c:2d2c|5d7d/QhQc2h/3d/7c:11250|-11250:DeepStack|islam.jefri.1 # 1479520775.72161
STATE:24:r300c/cc/r900f:Ts2h|3cKd/8s2sJc/3s:300|-300:islam.jefri.1|DeepStack # 1479520977.38046
STATE:25:r300c/cr750f:7cJc|8d5h/9sAdKd:-300|300:DeepStack|islam.jefri.1 # 1479521008.27477
STATE:26:r300c/cc/cc/r900f:Jd9s|As8s/QhTh3s/Jc/6h:300|-300:islam.jefri.1|DeepStack # 1479521033.26684
STATE:27:r300c/cr750c/cc/cc:5h2h|4h4c/2d9d3h/Kd/7d:-750|750:DeepStack|islam.jefri.1 # 1479521076.09974
STATE:28:r300c/cc/cc/cc:As6d|8sKc/5s5dTh/7h/Qd:300|-300:islam.jefri.1|DeepStack # 1479521121.73822
STATE:29:r300c/cr600f:7c6h|3s8s/9dAcKc:-300|300:DeepStack|islam.jefri.1 # 1479521157.8848
STATE:30:r300c/cr600c/cr1800c/cc:5cQd|7hQs/4hJc5h/8d/Kc:1800|-1800:islam.jefri.1|DeepStack # 1479521183.23371
STATE:31:r300c/cr625c/r1875c/cr4687f:7sAd|8h6d/4cKd2d/8d/6s:-1875|1875:DeepStack|islam.jefri.1 # 1479521238.85168
STATE:32:r300r1100f:QdAc|Th6d:300|-300:islam.jefri.1|DeepStack # 1479521294.89727
STATE:33:r300c/cc/r600f:8cQh|3hAd/6d4d8h/Th:300|-300:DeepStack|islam.jefri.1 # 1479521319.1682
STATE:34:r300c/cc/cc/r1500f:8c7d|8d6s/AdQc8h/Jh/7h:300|-300:islam.jefri.1|DeepStack # 1479521354.75826
STATE:35:r300f:9c6s|Ah2d:-100|100:DeepStack|islam.jefri.1 # 1479521391.5497
STATE:36:cc/r300f:4h6s|Ts2c/2d3dQh:100|-100:islam.jefri.1|DeepStack # 1479521404.04645
STATE:37:r300c/cr625c/cr3825f:KsTd|6h5s/Ad7sQh/4s:-625|625:DeepStack|islam.jefri.1 # 1479521429.33448
STATE:38:r200c/cc/cc/r600f:7hJc|9h6h/4c3sAd/Kc/Jd:200|-200:islam.jefri.1|DeepStack # 1479521475.35353
STATE:39:r300r900c/r2700c/cr6750f:KsTd|6h4h/5d9s4s/3d:-2700|2700:DeepStack|islam.jefri.1 # 1479521519.42939
STATE:40:r300c/cr600r1800r3600c/cr7200r20000c/:7sQh|Tc9c/5h6s8d/Th/6h:-20000|20000:islam.jefri.1|DeepStack # 1479521568.91779
STATE:41:r300r900c/r1800c/r3600c/cc:JdAs|7sTc/JhTs3h/8h/Ac:3600|-3600:DeepStack|islam.jefri.1 # 1479521641.27915
STATE:42:cr500f:8d8s|3d5c:100|-100:islam.jefri.1|DeepStack # 1479521706.79447
STATE:43:r300r900f:AdKd|4s9h:300|-300:DeepStack|islam.jefri.1 # 1479521728.46922
