STATE:0:r200c/cr400f:Qc4c|3s7s/6dTs6h:-200|200:phan.mike.1|DeepStack # 1479051319.31537
STATE:1:r300f:9c2s|9dJs:-100|100:DeepStack|phan.mike.1 # 1479051353.65508
STATE:2:cc/r220r440r1250f:9cJd|2cQc/2s3dAd:440|-440:phan.mike.1|DeepStack # 1479051371.71895
STATE:3:f:4s2d|2h7d:50|-50:DeepStack|phan.mike.1 # 1479051455.05234
STATE:4:r300r1150f:2d6d|6cKd:300|-300:phan.mike.1|DeepStack # 1479051466.5744
STATE:5:r300c/cr450c/cr1700c/cr20000c:9hJc|KcAs/8d5sQs/Jh/Th:-20000|20000:DeepStack|phan.mike.1 # 1479051495.02966
STATE:6:r300f:5h8c|Qs6d:-100|100:phan.mike.1|DeepStack # 1479051633.40235
STATE:7:r300r900c/r1800c/cc/cr4500r20000f:QhAs|QdAh/Ts2sJh/6d/5s:4500|-4500:DeepStack|phan.mike.1 # 1479051659.22242
STATE:8:r300c/cc/r720f:Qh8s|Ad7d/Jc8dKc/8c:300|-300:phan.mike.1|DeepStack # 1479051821.27782
STATE:9:r300c/cr450c/cc/r1350c:9dJc|7c3c/8c5c3s/2s/5d:-1350|1350:DeepStack|phan.mike.1 # 1479051892.86293
STATE:10:cr400c/r850c/cc/cc:8h8c|As8d/4dJdTd/Qs/4c:850|-850:phan.mike.1|DeepStack # 1479051960.90596
STATE:11:f:Ts2d|3h6s:50|-50:DeepStack|phan.mike.1 # 1479052039.2652
STATE:12:r300f:4d3c|3sQs:-100|100:phan.mike.1|DeepStack # 1479052053.48436
STATE:13:r300f:Jd2h|Ad7h:-100|100:DeepStack|phan.mike.1 # 1479052065.54948
STATE:14:r200c/cc/r485c/cc:Ks7d|8dTd/9s4sJc/3c/Th:-485|485:phan.mike.1|DeepStack # 1479052083.14991
STATE:15:r300f:6c9h|Jc3c:-100|100:DeepStack|phan.mike.1 # 1479052193.14825
STATE:16:cc/cr300r819f:3h4s|Jc6h/5cTs2d:300|-300:phan.mike.1|DeepStack # 1479052207.75598
STATE:17:r300f:3cKh|5cAs:-100|100:DeepStack|phan.mike.1 # 1479052250.09103
STATE:18:cc/cr300r819c/r3043c/cc:5dQh|KsKd/3h4s2s/7d/5c:-3043|3043:phan.mike.1|DeepStack # 1479052267.78268
STATE:19:r300f:6cJd|Qh8d:-100|100:DeepStack|phan.mike.1 # 1479052438.17574
STATE:20:r300f:4s5h|TsTc:-100|100:phan.mike.1|DeepStack # 1479052455.28774
STATE:21:r300f:3dTc|Qd8c:-100|100:DeepStack|phan.mike.1 # 1479052470.52548
STATE:22:f:3s6s|2s9d:50|-50:phan.mike.1|DeepStack # 1479052484.81965
STATE:23:r300c/r900f:9sTc|Kd3s/5dAcAs:300|-300:DeepStack|phan.mike.1 # 1479052491.68561
STATE:24:r200c/cc/r400c/r3787f:KhJc|6h8d/8cKd3h/Ks/4h:400|-400:phan.mike.1|DeepStack # 1479052531.75341
STATE:25:f:6sTc|2d8h:50|-50:DeepStack|phan.mike.1 # 1479052632.90892
STATE:26:cc/cr300f:4dJh|5cKh/3d8cTc:-100|100:phan.mike.1|DeepStack # 1479052642.97701
STATE:27:r300f:7h2s|QhKc:-100|100:DeepStack|phan.mike.1 # 1479052674.71777
STATE:28:cc/cc/cc/cr500f:6c3h|7d3c/Qs3s9c/Th/7h:-100|100:phan.mike.1|DeepStack # 1479052691.56555
STATE:29:r300f:9s5d|4cJc:-100|100:DeepStack|phan.mike.1 # 1479052752.59968
STATE:30:cr400c/r960r2880r7382c/r10353r20000c/:TdQh|JsTc/Th9sTs/7s/5h:20000|-20000:phan.mike.1|DeepStack # 1479052768.71808
STATE:31:r300c/cr1421f:Qc4c|7d8s/6hTh9d:-300|300:DeepStack|phan.mike.1 # 1479052947.01392
