STATE:0:r200r400r1200c/r2850c/r5500f:Ah2d|7cTs/TcQs4c/Kh:2850|-2850:pizzarello.silvio.1|DeepStack # 1479571082.31575
STATE:1:r200r600f:TdQd|7hTs:200|-200:DeepStack|pizzarello.silvio.1 # 1479571451.22533
STATE:2:r300c/cc/r750f:3h4c|2sQs/7h3d9d/7d:300|-300:pizzarello.silvio.1|DeepStack # 1479571484.61739
STATE:3:r250f:2sKd|3s3h:-100|100:DeepStack|pizzarello.silvio.1 # 1479571530.23876
STATE:4:r200c/cc/cr600f:9d2s|2dAs/JdKh3c/Ts:-200|200:pizzarello.silvio.1|DeepStack # 1479571547.17191
STATE:5:r250r750r1750r20000c///:AhKd|Ac3h/Qd8d7c/Jc/Ad:20000|-20000:DeepStack|pizzarello.silvio.1 # 1479571587.9133
STATE:6:r200c/cr400c/cc/r875c:Qc3d|5s5c/2cQhTd/Ts/9d:875|-875:pizzarello.silvio.1|DeepStack # 1479571654.00797
STATE:7:r250c/cr625c/cr1500c/cc:4cQd|5c5s/3c3d4d/8h/2d:-1500|1500:DeepStack|pizzarello.silvio.1 # 1479571711.97096
STATE:8:cr400f:Kd9s|Qc3s:100|-100:pizzarello.silvio.1|DeepStack # 1479571782.64707
STATE:9:r250f:8d2s|Jc5s:-100|100:DeepStack|pizzarello.silvio.1 # 1479571800.46093
STATE:10:cc/r225c/r600f:TcJd|4hQc/7d4d9d/2c:225|-225:pizzarello.silvio.1|DeepStack # 1479571815.96671
STATE:11:r250c/cr605f:Jc6d|8d4c/9s2s3c:-250|250:DeepStack|pizzarello.silvio.1 # 1479571859.93049
STATE:12:r200c/cc/cc/r500c:8hJh|Ah5d/QsTd7c/4s/4d:-500|500:pizzarello.silvio.1|DeepStack # 1479571892.67067
STATE:13:r250f:2d9s|Kc7d:-100|100:DeepStack|pizzarello.silvio.1 # 1479571941.85114
STATE:14:r300c/cc/cc/cc:6c5d|6d6h/QsTdTs/Ah/5h:-300|300:pizzarello.silvio.1|DeepStack # 1479571960.51889
STATE:15:r250r750r1750c/cr4000f:QcAd|9cQs/6sTd5h:-1750|1750:DeepStack|pizzarello.silvio.1 # 1479572004.00976
STATE:16:f:3s9c|2s5d:50|-50:pizzarello.silvio.1|DeepStack # 1479572059.14137
STATE:17:r250c/cr625r1250c/r2500c/cc:Jc7d|Tc9d/9c2cQc/Kc/Kh:2500|-2500:DeepStack|pizzarello.silvio.1 # 1479572066.5337
STATE:18:r300f:4hTs|9dQd:-100|100:pizzarello.silvio.1|DeepStack # 1479572123.94946
STATE:19:r250r750c/r2250f:8d6d|7d8c/8sKdAh:750|-750:DeepStack|pizzarello.silvio.1 # 1479572135.28204
STATE:20:cr400r1200f:3cKd|JhJs:-400|400:pizzarello.silvio.1|DeepStack # 1479572173.59086
STATE:21:r250c/cr625f:Jc9d|9cQc/3c3h4d:-250|250:DeepStack|pizzarello.silvio.1 # 1479572206.26553
STATE:22:r200c/r500f:QcJh|6dKd/4s9c4c:200|-200:pizzarello.silvio.1|DeepStack # 1479572237.41092
STATE:23:r250c/cr625c/cr1600f:3cAh|Qd2d/2hQcJh/5s:-625|625:DeepStack|pizzarello.silvio.1 # 1479572266.24384
STATE:24:r300c/cr900c/cc/cc:8dTc|6cAd/8c9hKd/9s/Qd:900|-900:pizzarello.silvio.1|DeepStack # 1479572320.52127
STATE:25:r250c/cr525r1050f:8d4d|Ad6c/2d3hJc:525|-525:DeepStack|pizzarello.silvio.1 # 1479572377.98154
STATE:26:r300r1300f:Ad9s|8c7h:300|-300:pizzarello.silvio.1|DeepStack # 1479572417.69775
STATE:27:r250c/cr625c/cr1400c/cr3390c:4hAs|Kc4s/Ah8hAc/9s/7s:3390|-3390:DeepStack|pizzarello.silvio.1 # 1479572443.31292
STATE:28:f:Ah9s|3c8d:50|-50:pizzarello.silvio.1|DeepStack # 1479572512.07107
STATE:29:r250f:5d8c|Tc8d:-100|100:DeepStack|pizzarello.silvio.1 # 1479572519.34088
STATE:30:r300r1300c/r3150f:8hAh|QsAd/3c2hKc:1300|-1300:pizzarello.silvio.1|DeepStack # 1479572545.23381
STATE:31:cc/cr225f:2d9c|6d2c/7s3cAc:-100|100:DeepStack|pizzarello.silvio.1 # 1479572585.1359
