STATE:0:cr300c/r750c/r1730f:8dKc|As9c/6s8h4s/3d:750|-750:santos.victor.1|DeepStack # 1479099238.98992
STATE:1:r300c/cr540c/cr1290f:Ad8h|Ks3d/2cQhTd/Kc:-540|540:DeepStack|santos.victor.1 # 1479099322.61885
STATE:2:cr300c/cr600c/cc/r1470c:KdQc|4h6d/9d9h4d/Kc/4c:-1470|1470:santos.victor.1|DeepStack # 1479099388.69745
STATE:3:r300f:2d8d|4c7c:-100|100:DeepStack|santos.victor.1 # 1479099464.47388
STATE:4:r300c/cr600c/cr1800c/cr9000f:Ac3c|9h9d/7d7c6s/2c/7h:-1800|1800:santos.victor.1|DeepStack # 1479099477.80495
STATE:5:r300c/cr720c/cr1640f:As5d|TdJd/Ts8h2s/Jc:-720|720:DeepStack|santos.victor.1 # 1479099548.45536
STATE:6:r200c/cr400c/cr1200c/cr3600c:Td9c|6sAh/Qh8hJh/Kd/2c:3600|-3600:santos.victor.1|DeepStack # 1479099594.96954
STATE:7:r300c/cr540f:5sKd|Jh2c/7h4hTh:-300|300:DeepStack|santos.victor.1 # 1479099671.72548
STATE:8:r300c/cc/r750f:Ad3s|Ts7h/AsQc6d/5h:300|-300:santos.victor.1|DeepStack # 1479099704.31102
STATE:9:r300r900f:Td9d|Kd2h:300|-300:DeepStack|santos.victor.1 # 1479099738.08872
STATE:10:r200c/cr400c/cc/cr800c:6d7s|Jc8s/5c6h8d/Th/2s:-800|800:santos.victor.1|DeepStack # 1479099758.9615
STATE:11:r300f:7c3h|5s6h:-100|100:DeepStack|santos.victor.1 # 1479099819.09152
STATE:12:cc/cc/cr200c/cr600f:9s5h|TcAd/9d2hQd/Ah/4h:-200|200:santos.victor.1|DeepStack # 1479099834.99629
STATE:13:r300f:3d9h|Ks8c:-100|100:DeepStack|santos.victor.1 # 1479099910.9835
STATE:14:r200r690c/cc/cr1380c/cr2760c:QsQh|2sAs/5h8dKc/Tc/4c:2760|-2760:santos.victor.1|DeepStack # 1479099924.28231
STATE:15:r300c/cr540f:Js3s|7dQh/AsAd8d:-300|300:DeepStack|santos.victor.1 # 1479100025.20741
STATE:16:r300c/cc/cc/cc:4dKh|9h6c/AdTd6h/2s/2c:-300|300:santos.victor.1|DeepStack # 1479100051.62477
STATE:17:r300f:3cJh|Ac5c:-100|100:DeepStack|santos.victor.1 # 1479100096.85866
STATE:18:r300c/cr600c/cc/cc:8cAs|7h9d/9sKd4d/4c/Qc:-600|600:santos.victor.1|DeepStack # 1479100109.04581
STATE:19:r300r900c/r1800r3380f:JsAh|As4s/3h7sQh:-1800|1800:DeepStack|santos.victor.1 # 1479100172.84694
STATE:20:r300f:4d8c|Ac5s:-100|100:santos.victor.1|DeepStack # 1479100214.34623
STATE:21:r300c/cr630c/cc/cc:9dJs|JcTc/Ah5hJh/5s/6h:0|0:DeepStack|santos.victor.1 # 1479100230.33208
STATE:22:r200c/cr600c/cc/r1310f:Qc3d|8hQs/6h5s3h/3s/7h:600|-600:santos.victor.1|DeepStack # 1479100276.59948
STATE:23:f:5h3c|4hTc:50|-50:DeepStack|santos.victor.1 # 1479100340.12622
STATE:24:r300c/cc/cc/cc:6h3s|4hQd/8cThAd/Ac/Jd:-300|300:santos.victor.1|DeepStack # 1479100352.30964
STATE:25:r300r900r2560f:KdTs|9sAc:-900|900:DeepStack|santos.victor.1 # 1479100402.70374
STATE:26:r200c/cr400c/cc/cr1200c:4hKs|9dAd/4cAh8d/3h/Ts:-1200|1200:santos.victor.1|DeepStack # 1479100441.10176
STATE:27:r300r900f:AhQh|2cTc:300|-300:DeepStack|santos.victor.1 # 1479100535.33865
STATE:28:r300r970f:Ad9d|3dQh:300|-300:santos.victor.1|DeepStack # 1479100555.9189
STATE:29:r300f:8d3d|5h9d:-100|100:DeepStack|santos.victor.1 # 1479100576.70707
STATE:30:f:Kh9s|2c3s:50|-50:santos.victor.1|DeepStack # 1479100592.11733
STATE:31:r300f:2cKs|AhTc:-100|100:DeepStack|santos.victor.1 # 1479100598.75031
STATE:32:r300f:4hQc|Qs3s:-100|100:santos.victor.1|DeepStack # 1479100616.05522
STATE:33:r300c/cr540f:2s9s|6h4h/ThAc8s:-300|300:DeepStack|santos.victor.1 # 1479100631.11231
STATE:34:cc/cc/cc/cc:As8h|6sJs/5hQd5d/Jc/7s:-100|100:santos.victor.1|DeepStack # 1479100654.51335
STATE:35:r300r900c/r1800c/cc/cr3220c:TcAh|9hTd/6d9d7c/4c/6c:-3220|3220:DeepStack|santos.victor.1 # 1479100701.21838
STATE:36:cc/cc/cc/cc:7c3d|Js4h/Kd5hAd/5s/8d:-100|100:santos.victor.1|DeepStack # 1479100777.5096
STATE:37:r300r900f:AcKd|2d5d:300|-300:DeepStack|santos.victor.1 # 1479100840.60804
STATE:38:r200r660f:7d8d|9h4h:200|-200:santos.victor.1|DeepStack # 1479100860.89919
STATE:39:r300f:Jc6s|7sQh:-100|100:DeepStack|santos.victor.1 # 1479100883.39146
STATE:40:r300r960f:AhAs|7h9c:300|-300:santos.victor.1|DeepStack # 1479100896.30501
STATE:41:r300c/cc/cc/cc:6hAd|9h3h/Ts9c7c/Kd/As:300|-300:DeepStack|santos.victor.1 # 1479100918.29484
STATE:42:r300c/cr600c/cc/r1340c:3dKh|7d9s/QcQdTs/9c/2s:-1340|1340:santos.victor.1|DeepStack # 1479100962.59728
STATE:43:r300r900c/r1800c/cr3380f:KsAs|JsKd/2h4d3h/Qs:-1800|1800:DeepStack|santos.victor.1 # 1479101023.50494
STATE:44:cc/cr200c/cc/cc:Ts6s|2dQc/9cQsAs/Th/8d:-200|200:santos.victor.1|DeepStack # 1479101076.90199
STATE:45:r300c/cr680c/cr1520c/cr2830f:4hAd|JsTs/Jd2d9s/4s/5h:-1520|1520:DeepStack|santos.victor.1 # 1479101126.22907
STATE:46:r200f:9h5d|4c5c:-100|100:santos.victor.1|DeepStack # 1479101193.20112
STATE:47:r300c/cr540f:6cQc|Qs9d/AhAd5h:-300|300:DeepStack|santos.victor.1 # 1479101206.28044
STATE:48:cc/cc/r200c/cr1000c:Qc9s|9c4d/6dQsKc/2h/3s:1000|-1000:santos.victor.1|DeepStack # 1479101232.66382
STATE:49:r300f:4c3h|6h4s:-100|100:DeepStack|santos.victor.1 # 1479101311.54644
STATE:50:r200c/cr600f:4hKs|8h9h/9c7d2c:-200|200:santos.victor.1|DeepStack # 1479101327.46552
STATE:0:cc/cc/cc/cr300c:6c3d|7h9h/Th9d5s/Ac/6h:-300|300:santos.victor.1|DeepStack # 1479101454.39311
