STATE:0:r300r750c/r1500c/r3000r6000c/cc:AdQc|Jh9s/Ts4s8s/Qd/4d:-6000|6000:shaposhnikov.roman.1|DeepStack # 1480705381.77644
STATE:1:r250c/cr450c/cc/cc:Qs8c|9cJh/AsAd8h/5h/4d:450|-450:DeepStack|shaposhnikov.roman.1 # 1480705544.71593
STATE:2:r300r750f:AsAc|7dKc:300|-300:shaposhnikov.roman.1|DeepStack # 1480705624.12671
STATE:3:cc/cr200c/cc/r600f:3h5s|2sJc/5hKs6d/8c/3s:200|-200:DeepStack|shaposhnikov.roman.1 # 1480705649.70252
STATE:4:f:2h7s|3s9c:50|-50:shaposhnikov.roman.1|DeepStack # 1480705709.73865
STATE:5:cc/cc/cr200f:3c2h|9h5c/7hKdTh/Ts:-100|100:DeepStack|shaposhnikov.roman.1 # 1480705718.69721
STATE:6:r300c/cr600f:6hTh|5c9c/8c2s8h:-300|300:shaposhnikov.roman.1|DeepStack # 1480705780.85437
STATE:7:f:Ks8s|4d9s:50|-50:DeepStack|shaposhnikov.roman.1 # 1480705814.90827
STATE:8:r200r600f:9c9h|Qd7s:200|-200:shaposhnikov.roman.1|DeepStack # 1480705839.14682
STATE:9:r200r600f:Tc9d|6d8c:200|-200:DeepStack|shaposhnikov.roman.1 # 1480705860.88148
STATE:10:r300c/cr900f:6h7s|5s4s/AcQs4c:-300|300:shaposhnikov.roman.1|DeepStack # 1480705894.38092
STATE:11:f:Ad9c|4cTs:50|-50:DeepStack|shaposhnikov.roman.1 # 1480705943.72482
STATE:12:cr300c/r750c/cc/r1500f:KhQc|7c5s/4d7dQs/4c/9d:750|-750:shaposhnikov.roman.1|DeepStack # 1480705965.2957
STATE:13:r200c/cr400c/cr800f:9s2s|7cAc/2h3h3d/5c:-400|400:DeepStack|shaposhnikov.roman.1 # 1480706055.17098
STATE:14:cc/cc/cc/r200f:9dJc|2s7s/Ts4dJd/3s/Qc:100|-100:shaposhnikov.roman.1|DeepStack # 1480706120.14002
STATE:15:cr300c/r600f:9hAh|5h7s/6s6dTh:300|-300:DeepStack|shaposhnikov.roman.1 # 1480706178.42355
STATE:16:r200c/cc/r300c/cc:6c5c|Kd9s/3s8h2c/Qs/Th:-300|300:shaposhnikov.roman.1|DeepStack # 1480706214.28217
STATE:17:f:9c5c|8d2s:50|-50:DeepStack|shaposhnikov.roman.1 # 1480706288.93793
STATE:18:f:QsKd|2s6h:50|-50:shaposhnikov.roman.1|DeepStack # 1480706299.26637
STATE:19:r250c/cr625r1250c/r2500c/cc:7s8d|KdKs/6d5s9s/2s/Jd:2500|-2500:DeepStack|shaposhnikov.roman.1 # 1480706305.81173
STATE:20:f:2hTh|3s7d:50|-50:shaposhnikov.roman.1|DeepStack # 1480706388.26818
STATE:21:r250r750c/r1500f:Ah8h|TdQs/5d6hJs:750|-750:DeepStack|shaposhnikov.roman.1 # 1480706395.2969
STATE:22:cc/cc/cc/r200f:5s8s|6hQh/Jc7c2s/4c/8h:100|-100:shaposhnikov.roman.1|DeepStack # 1480706434.84551
STATE:23:r200c/cr400f:6h9c|8dQc/QhJcJh:-200|200:DeepStack|shaposhnikov.roman.1 # 1480706486.38957
STATE:24:cc/r200r400f:7s9s|Ac2h/5dKsTd:-200|200:shaposhnikov.roman.1|DeepStack # 1480706519.59686
STATE:25:r200r600c/cr1200c/cc/cr2400c:8h9d|9cKd/As5d8d/Qs/2d:2400|-2400:DeepStack|shaposhnikov.roman.1 # 1480706558.1871
STATE:26:cc/cr300f:9s5s|Kh2h/8dThQh:-100|100:shaposhnikov.roman.1|DeepStack # 1480706641.05496
STATE:27:r200c/cc/cc/r400f:9c5d|2hKs/4c6hTc/Js/9d:200|-200:DeepStack|shaposhnikov.roman.1 # 1480706671.03666
STATE:28:cc/cr300f:3s8d|Jd4h/TcKd2d:-100|100:shaposhnikov.roman.1|DeepStack # 1480706720.35658
STATE:29:cc/cc/cc/cr200c:7dAc|4d6h/9s8s7c/3s/Jd:200|-200:DeepStack|shaposhnikov.roman.1 # 1480707254.12789
STATE:30:r300c/cc/cr900f:8sJc|Ac2s/2d4c9d/2c:-300|300:shaposhnikov.roman.1|DeepStack # 1480707303.80441
STATE:31:r200f:3h6c|Ac2h:-100|100:DeepStack|shaposhnikov.roman.1 # 1480707365.73837
STATE:32:r200c/cc/cr400f:3cJc|8dTh/9h7cTs/7h:-200|200:shaposhnikov.roman.1|DeepStack # 1480707382.32775
STATE:33:r200c/cr400f:Jc5s|Kh9c/9dQh4h:-200|200:DeepStack|shaposhnikov.roman.1 # 1480707432.45454
