STATE:0:r300c/r600r1200r2200c/r4300c/cr8600c:7dJh|6c9h/2s6h6d/Jd/As:-8600|8600:shrimankar.prakshat.1|DeepStack # 1478645991.28223
STATE:1:r300c/cc/cc/cc:9s7h|3hKs/9c8sTd/8h/As:300|-300:DeepStack|shrimankar.prakshat.1 # 1478646088.1804
STATE:2:cc/cc/r200f:4d9d|QcKs/Td4c6d/5c:100|-100:shrimankar.prakshat.1|DeepStack # 1478646146.5537
STATE:3:r250r750c/r2250c/cc/cc:9s8s|TcAc/9c6hTd/Js/4s:-2250|2250:DeepStack|shrimankar.prakshat.1 # 1478646197.46188
STATE:4:f:Qh3d|3s8d:50|-50:shrimankar.prakshat.1|DeepStack # 1478646270.90508
STATE:5:r250f:4h6d|7s7c:-100|100:DeepStack|shrimankar.prakshat.1 # 1478646278.75564
STATE:6:cc/cr200f:7s3c|6s9s/Qc5sKc:-100|100:shrimankar.prakshat.1|DeepStack # 1478646298.37749
STATE:7:f:9c8c|4h3c:50|-50:DeepStack|shrimankar.prakshat.1 # 1478646333.60587
STATE:8:r200r600c/cc/r1250c/cc:JcAc|Js9s/6h9h3h/Ks/Qh:-1250|1250:shrimankar.prakshat.1|DeepStack # 1478646345.88982
STATE:9:f:QsAh|8d3d:50|-50:DeepStack|shrimankar.prakshat.1 # 1478646429.47789
STATE:10:cr300f:AdQc|5dTc:100|-100:shrimankar.prakshat.1|DeepStack # 1478646445.98366
STATE:11:cc/cr200f:4c5s|Ac6h/Jd3h8h:-100|100:DeepStack|shrimankar.prakshat.1 # 1478646469.25304
STATE:12:r300c/cr900f:KhTc|QsTs/4sAc9d:-300|300:shrimankar.prakshat.1|DeepStack # 1478646506.99
STATE:13:cc/cr200f:3d5h|8cKd/QsTh2s:-100|100:DeepStack|shrimankar.prakshat.1 # 1478646555.23113
STATE:14:cr300c/r600c/cc/cr1800f:8d4s|KhJc/8s6sKc/3s/Th:-600|600:shrimankar.prakshat.1|DeepStack # 1478646594.83241
STATE:15:cr300c/r600c/cc/cr3400c:AhAd|Td2d/2hJhJc/Tc/7s:3400|-3400:DeepStack|shrimankar.prakshat.1 # 1478646690.17215
STATE:16:r200f:2c6s|Jh8c:-100|100:shrimankar.prakshat.1|DeepStack # 1478646768.79425
STATE:17:cc/cc/cc/cc:4c2s|5c8c/Qd9d3d/3c/5h:-100|100:DeepStack|shrimankar.prakshat.1 # 1478646782.53618
