STATE:0:cr225c/r550r1100f:5dJd|6h4h/7hKs8h:-550|550:takeda.tsuneaki.1|DeepStack # 1478521896.81613
STATE:1:cc/cr225f:7dJh|4s9c/2d5dQh:-100|100:DeepStack|takeda.tsuneaki.1 # 1478521970.39738
STATE:2:cr225c/r500c/cc/r950c:7cJc|8c9h/5s9dJd/Qd/Js:950|-950:takeda.tsuneaki.1|DeepStack # 1478522002.29382
STATE:3:cr300f:5h7h|6h9s:100|-100:DeepStack|takeda.tsuneaki.1 # 1478522074.27401
STATE:4:cr275f:7c2d|5d9s:100|-100:takeda.tsuneaki.1|DeepStack # 1478522093.74554
STATE:5:cc/cc/r300c/r900f:7d4c|2h9d/4d7hTc/8c/2c:300|-300:DeepStack|takeda.tsuneaki.1 # 1478522113.176
STATE:6:r300f:4sJs|Ac9d:-100|100:takeda.tsuneaki.1|DeepStack # 1478522182.66504
STATE:7:r225c/cr550f:Qd2c|QsTs/4h4d5s:-225|225:DeepStack|takeda.tsuneaki.1 # 1478522197.94457
STATE:8:r200c/r425f:6sTs|4dAd/Tc2s8s:200|-200:takeda.tsuneaki.1|DeepStack # 1478522233.88464
STATE:9:r200f:Tc3d|5dJc:-100|100:DeepStack|takeda.tsuneaki.1 # 1478522266.13719
STATE:10:cr200c/r300c/cc/cr600c:7hAc|8cQc/JcTdQd/As/9d:-600|600:takeda.tsuneaki.1|DeepStack # 1478522279.86177
STATE:11:r200c/cr425c/cr875c/cc:7h4d|8d3d/4h7s3s/6d/8h:-875|875:DeepStack|takeda.tsuneaki.1 # 1478522330.13763
STATE:12:r300c/cc/r625c/cc:Ts9c|AhTh/7s9d4s/2h/5c:625|-625:takeda.tsuneaki.1|DeepStack # 1478522401.97996
STATE:13:cc/cr200r400c/r800c/cr1700r5100f:4dJd|4c7h/8cJc7d/6d/3d:1700|-1700:DeepStack|takeda.tsuneaki.1 # 1478523013.75065
STATE:14:r300c/cr900f:Qh6d|QcQs/9h4hJs:-300|300:takeda.tsuneaki.1|DeepStack # 1478523165.12424
STATE:15:f:TsKd|7h3s:50|-50:DeepStack|takeda.tsuneaki.1 # 1478523228.3858
STATE:16:r200c/r425r850c/cr2549f:Qh4c|TsTc/4s8c2d/9h:-850|850:takeda.tsuneaki.1|DeepStack # 1478523236.70965
STATE:17:r200c/cr500f:Kd4c|Ad6s/Jh9s2d:-200|200:DeepStack|takeda.tsuneaki.1 # 1478523283.99442
STATE:18:r300c/cc/r550f:3dKc|Qc4h/7sAd6d/9d:300|-300:takeda.tsuneaki.1|DeepStack # 1478523315.72674
STATE:19:r200c/cr500c/cr1250r2500f:9d8h|KsQc/5s7d6d/4h:1250|-1250:DeepStack|takeda.tsuneaki.1 # 1478523352.71617
STATE:20:r200c/r300r900r1500c/r3750c/r9375f:Js4s|Tc5c/4c2c7s/8d/4h:3750|-3750:takeda.tsuneaki.1|DeepStack # 1478523419.63172
STATE:21:r200f:2hTd|JsJh:-100|100:DeepStack|takeda.tsuneaki.1 # 1478523488.54177
STATE:22:cc/cr300c/cr900c/cc:9cKd|2d5h/Ts4d3d/Tc/3s:900|-900:takeda.tsuneaki.1|DeepStack # 1478523499.58464
STATE:23:cc/cr200c/cr500r1000c/r2000c:4c5s|7d6c/8s7cAs/6d/Ks:2000|-2000:DeepStack|takeda.tsuneaki.1 # 1478523559.37175
STATE:24:r300r500c/r950c/r1725c/r3825f:Jd6d|4c8c/Kc8dTd/Tc/2h:1725|-1725:takeda.tsuneaki.1|DeepStack # 1478523633.11363
STATE:25:r200c/cr500f:9c3c|6cAs/7d4sQh:-200|200:DeepStack|takeda.tsuneaki.1 # 1478523705.1003
STATE:26:cr325r975r1950c/r3900f:JhJc|5dQd/3s8cKs:1950|-1950:takeda.tsuneaki.1|DeepStack # 1478523738.08301
STATE:27:cr300c/cc/cc/cc:8c5c|5d8h/5sTs9c/2c/Ah:0|0:DeepStack|takeda.tsuneaki.1 # 1478523790.93762
STATE:28:r200r500c/cc/cc/cc:JcKc|Kd7c/3s6dAc/3h/4c:500|-500:takeda.tsuneaki.1|DeepStack # 1478523849.87507
STATE:29:r200c/cc/cc/cc:Ah6c|8c7d/TcQh7h/Qs/3d:-200|200:DeepStack|takeda.tsuneaki.1 # 1478523893.72672
STATE:30:r300c/r600f:2sAh|8c5s/AdAs6d:300|-300:takeda.tsuneaki.1|DeepStack # 1478523932.97232
