STATE:0:cc/r220c/cc/cc:2c4s|8h2h/Jc2d6s/Th/7s:-220|220:tishekvich.stas.1|DeepStack # 1479049976.17722
STATE:1:r300r900r2300c/cr4700c/r9400f:QdAh|4hAd/KdKsTd/Jd:4700|-4700:DeepStack|tishekvich.stas.1 # 1479050082.38626
STATE:2:r300c/cr600r1400c/cr2800c/cc:Jc7c|9cAc/7s2s2c/Th/5h:2800|-2800:tishekvich.stas.1|DeepStack # 1479050188.30785
STATE:3:f:Ac3s|2d4s:50|-50:DeepStack|tishekvich.stas.1 # 1479050271.19069
STATE:4:r300f:5cJd|Th8h:-100|100:tishekvich.stas.1|DeepStack # 1479050279.56432
STATE:5:f:9sJd|3d2h:50|-50:DeepStack|tishekvich.stas.1 # 1479050289.96642
STATE:6:r300c/cr900c/cc/r2100c:9d7h|5hJh/Qs8d6h/Jd/4h:-2100|2100:tishekvich.stas.1|DeepStack # 1479050300.12248
STATE:7:r300f:5c2d|5hKh:-100|100:DeepStack|tishekvich.stas.1 # 1479050373.62057
STATE:8:r300c/cc/r700f:4sQs|6d3d/7h7sKs/Ad:300|-300:tishekvich.stas.1|DeepStack # 1479050385.92535
STATE:9:r300f:4h8c|Kd7d:-100|100:DeepStack|tishekvich.stas.1 # 1479050428.95806
STATE:10:r200r800f:AsAh|Jd7h:200|-200:tishekvich.stas.1|DeepStack # 1479050440.62841
STATE:11:r300f:Jc5d|Ts8h:-100|100:DeepStack|tishekvich.stas.1 # 1479050457.21327
STATE:12:r200c/cr400f:2cQc|JhAc/6c3dTs:-200|200:tishekvich.stas.1|DeepStack # 1479050469.46004
STATE:13:r300c/cr450r900c/cc/cr1350c:8sAc|Js9d/JhQcQs/Qh/2d:-1350|1350:DeepStack|tishekvich.stas.1 # 1479050495.38491
STATE:14:r300f:4h9s|Ks2d:-100|100:tishekvich.stas.1|DeepStack # 1479050569.10054
STATE:15:r300c/cr720c/cc/r1440c:8sJd|6s3s/Ts9cAc/3h/9h:-1440|1440:DeepStack|tishekvich.stas.1 # 1479050579.55633
STATE:16:r300c/cc/r700c/cc:Ad8d|Qd8s/Qc9cTc/6s/5d:-700|700:tishekvich.stas.1|DeepStack # 1479050669.75691
STATE:17:r300f:2c9c|7h6c:-100|100:DeepStack|tishekvich.stas.1 # 1479050712.18682
STATE:18:r300r1050f:2s4s|9h8d:300|-300:tishekvich.stas.1|DeepStack # 1479050724.41915
STATE:19:r300f:4h9c|5c8c:-100|100:DeepStack|tishekvich.stas.1 # 1479050742.36256
STATE:20:r300f:6s2h|Ah2s:-100|100:tishekvich.stas.1|DeepStack # 1479050756.09925
STATE:21:r300c/cr700f:Qd9c|5sAs/8h3hKd:-300|300:DeepStack|tishekvich.stas.1 # 1479050765.93035
STATE:22:r200c/cc/cc/cr600f:Ks6s|7hAc/8dAhQs/Qh/9c:-200|200:tishekvich.stas.1|DeepStack # 1479050791.09098
STATE:23:f:Qs7s|3cTh:50|-50:DeepStack|tishekvich.stas.1 # 1479050847.34937
STATE:24:r300f:3d7s|QhKc:-100|100:tishekvich.stas.1|DeepStack # 1479050855.32069
STATE:25:r300f:4s3d|QdAd:-100|100:DeepStack|tishekvich.stas.1 # 1479050866.10924
STATE:26:r300c/cr600f:2sJs|5s7h/6hQs6d:-300|300:tishekvich.stas.1|DeepStack # 1479050878.32483
STATE:27:f:7hTd|4c7s:50|-50:DeepStack|tishekvich.stas.1 # 1479050904.00484
STATE:28:cc/cc/r220f:4h5d|Td5h/3c9c9d/7c:100|-100:tishekvich.stas.1|DeepStack # 1479050912.54168
STATE:29:r300c/cc/r600f:Jh7d|Kd4s/6h5h8h/Qs:300|-300:DeepStack|tishekvich.stas.1 # 1479050946.18073
STATE:30:r300r1050c/r1900c/r4750f:TcTh|6c3c/Ts2cAc/Qd:1900|-1900:tishekvich.stas.1|DeepStack # 1479050973.41314
STATE:0:r300f:5hKd|Th7c:-100|100:tishekvich.stas.1|DeepStack # 1480512132.70408
STATE:1:r300c/cr600c/cc/cc:Kd5h|9c8s/AhKs7d/8c/2s:600|-600:DeepStack|tishekvich.stas.1 # 1480513072.25662
STATE:2:r300f:5s8c|AcTc:-100|100:tishekvich.stas.1|DeepStack # 1480513668.92542
STATE:0:cc/cr200f:5h8h|7c4d/7sThKc:-100|100:tishekvich.stas.3|DeepStack # 1480514310.04886
STATE:3:f:QdKd|4d8h:50|-50:DeepStack|tishekvich.stas.1 # 1480514410.96267
STATE:4:cc/cr200f:3h4h|2dTs/Js6cJh:-100|100:tishekvich.stas.1|DeepStack # 1480514490.89804
STATE:5:r400f:Kd5h|AcJh:-100|100:DeepStack|tishekvich.stas.1 # 1480514534.5252
STATE:6:r300c/cr900c/cr2700c/cc:7hAh|6h9c/Td7d3c/5s/2d:2700|-2700:tishekvich.stas.1|DeepStack # 1480514593.28119
STATE:7:r300c/r600c/cr2200f:3h4h|9cQs/KsAhAc/3s:-600|600:DeepStack|tishekvich.stas.1 # 1480514785.49265
STATE:8:r300f:8c6d|Tc9c:-100|100:tishekvich.stas.1|DeepStack # 1480514827.09954
STATE:9:r300c/cr500f:8cJs|Ad2h/KhKd3s:-300|300:DeepStack|tishekvich.stas.1 # 1480514837.60553
STATE:10:cr400f:6cAc|Jc2d:100|-100:tishekvich.stas.1|DeepStack # 1480514965.36894
STATE:11:f:KhKc|4d3h:50|-50:DeepStack|tishekvich.stas.1 # 1480514989.05981
STATE:12:r300f:3d9h|2hAc:-100|100:tishekvich.stas.1|DeepStack # 1480515016.75054
STATE:13:r300c/cr500f:Td3d|7sJh/2sAhJs:-300|300:DeepStack|tishekvich.stas.1 # 1480515029.65657
STATE:14:cc/cr200c/cc/cr400c:7c2c|6d8c/7sTcAc/3h/4s:400|-400:tishekvich.stas.1|DeepStack # 1480515059.89009
STATE:15:f:3h6s|9c2d:50|-50:DeepStack|tishekvich.stas.1 # 1480515145.03054
STATE:16:cc/cr300f:Js3c|9hAc/AsKh6c:-100|100:tishekvich.stas.1|DeepStack # 1480515155.42666
STATE:17:r300c/cr600f:Ks9c|Kh3c/5c5sJh:-300|300:DeepStack|tishekvich.stas.1 # 1480515178.0439
STATE:18:cc/r200f:6cAh|2dQc/6d5h8d:100|-100:tishekvich.stas.1|DeepStack # 1480515208.07243
STATE:19:f:3cJh|3d7c:50|-50:DeepStack|tishekvich.stas.1 # 1480515231.20073
STATE:20:cc/cr200f:6d5s|Ts4d/2s9sJc:-100|100:tishekvich.stas.1|DeepStack # 1480515243.24276
STATE:21:f:Th9s|2s6h:50|-50:DeepStack|tishekvich.stas.1 # 1480515281.93671
STATE:22:cc/cc/cc/cc:9h8d|Ad4h/TsKsQc/2s/As:-100|100:tishekvich.stas.1|DeepStack # 1480515293.35092
STATE:23:r300f:8h2d|Qc7s:-100|100:DeepStack|tishekvich.stas.1 # 1480515355.48026
STATE:24:r200c/cr600c/cc/r1300c:9dTs|Th6s/JhJs9s/Kc/Qs:0|0:tishekvich.stas.1|DeepStack # 1480515392.48072
STATE:25:f:4hQs|7c2s:50|-50:DeepStack|tishekvich.stas.1 # 1480515514.54207
STATE:26:r200c/cc/cc/cc:6c8h|Kd7s/AdTd3h/Tc/5h:-200|200:tishekvich.stas.1|DeepStack # 1480515528.87199
STATE:27:r300c/cc/r600r1500c/cr3100f:8cQd|3dKd/5s8h4s/6d/Kc:-1500|1500:DeepStack|tishekvich.stas.1 # 1480515620.79582
STATE:1:f:9hAh|5c2h:50|-50:DeepStack|tishekvich.stas.3 # 1480515698.56174
STATE:2:r200f:3h4d|6d8c:-100|100:tishekvich.stas.3|DeepStack # 1480515729.61157
STATE:3:f:Jc4d|2s3d:50|-50:DeepStack|tishekvich.stas.3 # 1480515745.8014
STATE:28:r300f:5cQh|Ts9h:-100|100:tishekvich.stas.1|DeepStack # 1480515747.25864
STATE:4:r200c/cr600f:Ks2d|5h4h/2hAdTc:-200|200:tishekvich.stas.3|DeepStack # 1480515770.47371
STATE:29:f:KdJc|5hTs:50|-50:DeepStack|tishekvich.stas.1 # 1480515771.13546
STATE:30:r300f:7s3c|9cAd:-100|100:tishekvich.stas.1|DeepStack # 1480515787.7629
STATE:5:r300f:3c6s|4dKh:-100|100:DeepStack|tishekvich.stas.3 # 1480515811.85604
STATE:31:r300c/cr700r2100f:8sTd|Ad7c/3c6d7d:700|-700:DeepStack|tishekvich.stas.1 # 1480515812.5818
STATE:6:r200f:7d4c|2sJs:-100|100:tishekvich.stas.3|DeepStack # 1480515849.52936
STATE:7:r300c/cr600c/cc/cr1300c:3dJd|8h6d/JhQdJc/Qh/2d:1300|-1300:DeepStack|tishekvich.stas.3 # 1480515870.31057
STATE:32:r300r1200r3600f:JdAc|AhQs:-1200|1200:tishekvich.stas.1|DeepStack # 1480515927.11928
STATE:8:r300c/cr600f:Qs9h|3d3s/Kc2dKd:-300|300:tishekvich.stas.3|DeepStack # 1480515982.27243
STATE:33:r300c/cr700c/cr2900c/cc:5sKc|Ah6s/4d4h5h/Ts/2d:2900|-2900:DeepStack|tishekvich.stas.1 # 1480516022.15004
STATE:9:f:Td5d|9s4c:50|-50:DeepStack|tishekvich.stas.3 # 1480516069.92756
STATE:10:r300f:8hTd|Tc7h:-100|100:tishekvich.stas.3|DeepStack # 1480516137.67781
STATE:0:r200f:6s8d|TdQd:-100|100:tishekvich.stas.2|DeepStack # 1480516180.18077
STATE:34:r300c/cc/cr600r900f:Ac3d|Qd8h/Js9cJh/7h:600|-600:tishekvich.stas.1|DeepStack # 1480516195.38051
STATE:11:r300c/cr700c/cc/cc:JcTh|Kc2h/7s9sQc/6h/8s:700|-700:DeepStack|tishekvich.stas.3 # 1480516199.55236
STATE:1:r300f:3h4c|2hKd:-100|100:DeepStack|tishekvich.stas.2 # 1480516302.77476
STATE:35:r300r900f:KsQd|Jh4h:300|-300:DeepStack|tishekvich.stas.1 # 1480516934.32709
STATE:12:r300r1200f:5h9h|8c6h:300|-300:tishekvich.stas.3|DeepStack # 1480516949.38539
STATE:36:cr400f:JsKc|6s3d:100|-100:tishekvich.stas.1|DeepStack # 1480516965.19408
STATE:13:f:Qc8s|Jd3s:50|-50:DeepStack|tishekvich.stas.3 # 1480516970.76551
STATE:14:r200c/cc/cr600f:8sQs|4cQd/7hTsKc/3c:-200|200:tishekvich.stas.3|DeepStack # 1480516980.34889
STATE:37:f:4s8h|7c3s:50|-50:DeepStack|tishekvich.stas.1 # 1480516982.77658
STATE:38:cc/cc/cr200f:Tc2d|3cKc/6sJhJc/6h:-100|100:tishekvich.stas.1|DeepStack # 1480516995.76422
STATE:15:r300f:7s2s|6hQs:-100|100:DeepStack|tishekvich.stas.3 # 1480517023.42719
STATE:16:r200r800f:3s2s|8dJh:200|-200:tishekvich.stas.3|DeepStack # 1480517040.90105
STATE:39:f:3cQd|2h9d:50|-50:DeepStack|tishekvich.stas.1 # 1480517054.12951
STATE:17:f:Qs8d|2c9d:50|-50:DeepStack|tishekvich.stas.3 # 1480517061.64373
STATE:18:cr400c/r900f:5s5d|KcJd/4h7s8d:400|-400:tishekvich.stas.3|DeepStack # 1480517091.25142
STATE:40:r300f:8h3c|As2c:-100|100:tishekvich.stas.1|DeepStack # 1480517091.83718
