In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
2:Player,BR:0cc/cr379f:5cKh,8hKc|/3d4h8d:-100,100(-100.000000)
3:BR,Player:0r130c/r1751f:KsAd,2hKc|/4d7sAc:230,-230(230.000000)
4:Player,BR:0cr300c/cr3503f:JdQs,3s7d|/2s5cKc:-400,400(-400.000000)
5:BR,Player:0r130c/r2014f:7cJh,2h5h|/4c8dKd:230,-230(230.000000)
6:Player,BR:0cc/cr1761f:3s4c,2s2h|/7hThJd:-100,100(-100.000000)
7:BR,Player:0f:7hQc,2d6s|:50,-50(50.000000)
8:Player,BR:0cc/cr876f:4d7h,5cKd|/6h8hQc:-100,100(-100.000000)
9:BR,Player:0r200c/r1306f:8hTc,8sKh|/3h6dQc:300,-300(300.000000)
10:Player,BR:0cr600c/cr2650f:2c3s,QsQc|/5dThTc:-700,700(-700.000000)
11:BR,Player:0r200c/r2284f:8dTc,5c7h|/2hTsTh:300,-300(300.000000)
12:Player,BR:0cc/cr876f:3c6d,6sQs|/ThJcKs:-100,100(-100.000000)
13:BR,Player:0r130c/r2014c/cc/cc:2s4c,5dAd|/5cThAh/Td/9h:-2244,2244(-2244.000000)
14:Player,BR:0cc/cr761f:7dTs,9cKd|/3s4c9h:-100,100(-100.000000)
15:BR,Player:0r130c/r871f:KhKd,7hKs|/2c9h9d:230,-230(230.000000)
16:Player,BR:0cr300c/cr1741f:5cQc,6cTc|/6sKhAh:-400,400(-400.000000)
17:BR,Player:0cc/r1532f:3s4d,8hTc|/3h4cQs:100,-100(100.000000)
18:Player,BR:0cr300c/cr3046f:5c8s,6hKh|/6dThQh:-400,400(-400.000000)
19:BR,Player:0r130c/r2014f:3sTc,JdKh|/7dTdAh:230,-230(230.000000)
