In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
1:BR,Player:0f:5cJc,2sTd|:50,-50(50.000000)
2:Player,BR:0cc/cr876f:2dTc,3hQd|/2cJcKc:-100,100(-100.000000)
3:BR,Player:0r200c/r747c/cr753c/cc:9cQh,4cAd|/2s2d6h/9s/Kc:1800,-1800(1109.452319)
4:Player,BR:0cc/cr8194f:5hJh,7dAs|/7s8cAd:-100,100(-100.000000)
5:BR,Player:0cc/r876f:9cTs,4sTh|/5hJhKd:100,-100(100.000000)
6:Player,BR:0cr300c/r520r4005f:5s8s,7cKc|/3c9dAs:-920,920(-920.000000)
7:BR,Player:0r200c/r371c/cr709c/cr2760c:8s8h,JhQh|/2c6dQc/Jd/3d:-4140,4140(-69.527964)
8:Player,BR:0cr600c/cr3047c/cc/r2133f:8dAd,7dTs|/5h9cAs/7c/2h:3747,-3747(3747.000000)
9:BR,Player:0r200c/r2284f:QdAs,3s5s|/4dTdAc:300,-300(300.000000)
10:Player,BR:0cr300c/r520r4005f:KdAc,4d6s|/7s8dKs:-920,920(-920.000000)
11:BR,Player:0r130c/r2014f:9sAd,6c9d|/3c4sJc:230,-230(230.000000)
12:Player,BR:0cr130c/cr327c/r271f:7s7h,5s7d|/4sKsKd/Ts:557,-557(557.000000)
13:BR,Player:0r130c/r2014f:8hAs,8dAh|/2hJhKd:230,-230(230.000000)
14:Player,BR:0cr300c/r1200r3983f:4c6c,7dQh|/6dQcAs:-1600,1600(-1600.000000)
15:BR,Player:0r200c/r140r910r910r3950f:3h5d,QsQh|/3s9sQd:-2260,2260(-2260.000000)
16:Player,BR:0cc/cr876f:7cJd,6h8s|/5c6c8c:-100,100(-100.000000)
17:BR,Player:0r130c/r871c/cr1015c/cr2750f:5sKc,3cAs|/3s3dKd/7c/8c:-2116,2116(-2116.000000)
18:Player,BR:0cc/cr124c/cc/r100f:6cKd,QsKh|/6sTsAh/Ac/8d:224,-224(224.000000)
19:BR,Player:0r130c/r871f:JcKs,8sJs|/9sQhKh:230,-230(230.000000)
20:Player,BR:0cr130c/cr1001f:7s7d,3h3d|/4h5cKc:-230,230(-230.000000)
21:BR,Player:0f:7sQc,2c8s|:50,-50(50.000000)
22:Player,BR:0cc/cr435f:7sJc,5sAd|/3c5h6s:-100,100(-100.000000)
23:BR,Player:0r300c/r1741f:8dAh,7c9d|/5dTcKc:400,-400(400.000000)
24:Player,BR:0cr300c/r520r2290c/r2310f:6h6d,TdQh|/4s9d9c/8c:3210,-3210(3210.000000)
25:BR,Player:0r130c/cc/cr115c/cc:6cAs,8cKd|/2dThJh/6h/6d:345,-345(345.000000)
26:Player,BR:0cc/cr876f:5c6h,JsAh|/2d7h9c:-100,100(-100.000000)
27:BR,Player:0r130c/r2014f:2dKh,6dQc|/9s9cTh:230,-230(230.000000)
28:Player,BR:0cr200c/cr1136f:4h4c,TcAh|/5c6hTh:-300,300(-300.000000)
29:BR,Player:0cc/r876f:8dTh,5dKd|/2c7dAs:100,-100(100.000000)
30:Player,BR:0cc/cr876f:8sJc,2d7h|/3h3dTd:-100,100(-100.000000)
31:BR,Player:0r130c/r1001f:5h8d,4hKs|/4c5sAh:230,-230(230.000000)
32:Player,BR:0cr200c/cr1306f:6d9s,3c8d|/6c8cKc:-300,300(-300.000000)
33:BR,Player:0r200c/r14055f:4d9c,ThTd|/4s4cJc:300,-300(300.000000)
34:Player,BR:0cc/cr124f:4h7s,2cQd|/6hQsAh:-100,100(-100.000000)
35:BR,Player:0r130c/r2014f:4hJc,TdAh|/4s8cTc:230,-230(230.000000)
36:Player,BR:0cr300c/cr246c/r254c/r450f:5h7d,9hJh|/8dJcAd/6s/Kd:900,-900(900.000000)
37:BR,Player:0f:6hJh,2d7h|:50,-50(50.000000)
38:Player,BR:0cc/cr379c/cc/r121c:8c9d,5sKd|/4d5d6d/9c/7d:-600,600(-263.949536)
39:BR,Player:0cc/r216f:8d9c,2sJc|/6s6d8s:100,-100(100.000000)
40:Player,BR:0cr200c/r390r6042f:2d4d,3cTd|/5c6hJc:-690,690(-690.000000)
41:BR,Player:0r130c/r871f:TsKc,JdAc|/5s9cTh:230,-230(230.000000)
42:Player,BR:0cc/cr876f:4cTc,3cTs|/6s8hKh:-100,100(-100.000000)
43:BR,Player:0cc/r124c/cr236c/cr598f:4s4c,9cAh|/3sQdAd/Jc/2d:-460,460(-460.000000)
44:Player,BR:0cr300c/r520r520c/r768f:QhAc,4h8c|/3hJsQc/5s:1440,-1440(1440.000000)
45:BR,Player:0r130c/r1001f:3dKc,6hQd|/4s7s8s:230,-230(230.000000)
46:Player,BR:0cr300c/cr996c/r2284c/r1840c:7cTd,7hKd|/3h8s9d/2d/Qc:-5520,5520(-5520.000000)
47:BR,Player:0r130c/r1001f:2d7c,6d6c|/3c8hTc:230,-230(230.000000)
48:Player,BR:0cc/cr876f:2s8h,6hTd|/ThJdJc:-100,100(-100.000000)
49:BR,Player:0r130c/r498c/cc/cr859c:3h9s,4h7s|/5h6d9d/3d/2d:-1587,1587(-387.998245)
50:Player,BR:0cc/cr876f:5h7c,TsQd|/7s8hKh:-100,100(-100.000000)
51:BR,Player:0r130c/r1001c/cr1184f:4sTs,5hKh|/3s5cQc/2c:-1231,1231(-1231.000000)
52:Player,BR:0cr300c/cr1741c/r1219f:9dAs,4hJc|/7sTsAd/Js:2141,-2141(2141.000000)
53:BR,Player:0cc/r379f:JcKd,5d9h|/8sJdQd:100,-100(100.000000)
54:Player,BR:0cr300c/cr1741c/r1219c/r672c:QcKh,2dAc|/3hTsQh/3s/8h:4032,-4032(1840.146814)
55:BR,Player:0f:9sAc,4s9h|:50,-50(50.000000)
56:Player,BR:0cr200c/cr371c/cc/r229c:7sAs,TsTh|/3d6sKh/5c/9s:-900,900(-27.582127)
57:BR,Player:0r130c/r2014f:7d9h,TsKs|/3cTdJc:230,-230(230.000000)
58:Player,BR:0cc/cr124c/cc/cc:4d7h,7sQc|/4cQhAc/2s/5c:-224,224(-135.196489)
59:BR,Player:0r130c/r2014c/cc/cc:4dAs,9sJc|/9hTdJd/Ks/Kc:-2244,2244(-2244.000000)
60:Player,BR:0cr600c/cr3047f:7hTh,3h8c|/5d8sQs:-700,700(-700.000000)
61:BR,Player:0r200c/r2284c/cr100c/cr17316f:4dKd,TsKh|/2s6cKc/5s/Jd:-2684,2684(-2684.000000)
62:Player,BR:0cc/cr876r2014f:6hJh,3c7s|/2d4h5h:976,-976(976.000000)
63:BR,Player:0r130c/r2014f:5h8c,8hQs|/3s3cAh:230,-230(230.000000)
64:Player,BR:0cc/cr1761f:8sKc,2c9h|/6s7cTh:-100,100(-100.000000)
65:BR,Player:0r130c/r2014f:8hTs,5h5c|/JdKsAs:230,-230(230.000000)
66:Player,BR:0cc/cr876f:3s9s,4cKc|/8cThAs:-100,100(-100.000000)
67:BR,Player:0r200c/r1306c/cr1544c/cc:4cAs,8c9d|/5c8h9c/Kd/Kc:-3150,3150(-2295.416731)
68:Player,BR:0cr300c/r520r8056f:3cAc,2dKs|/2h6dQc:-920,920(-920.000000)
69:BR,Player:0r130c/cc/cc/cc:TcQs,2d2c|/3h7dKc/Jh/Js:-230,230(-151.234568)
70:Player,BR:0cc/cr124c/cc/r576c:2c6h,4d7h|/3c4h8c/5c/5d:800,-800(102.508334)
71:BR,Player:0r130c/r2014f:3h8h,7cTh|/5cJcAc:230,-230(230.000000)
72:Player,BR:0cc/cr435f:7dKc,3d5c|/4d9dTh:-100,100(-100.000000)
73:BR,Player:0r130c/r1001f:4s4d,5c8c|/ThQdAs:230,-230(230.000000)
74:Player,BR:0cc/cr435c/cc/r515f:3dAc,6cJh|/8cTcAd/7c/4h:535,-535(535.000000)
75:BR,Player:0r200c/r1306f:7hQc,2dAs|/JsJhKh:300,-300(300.000000)
76:Player,BR:0cc/r130r2014f:8hTc,4sAh|/9d9cKc:-230,230(-230.000000)
77:BR,Player:0r130c/r2014f:4d7d,TcAh|/5s9s9h:230,-230(230.000000)
78:Player,BR:0cc/cr124c/cc/cc:3dQd,9cAs|/7hJdJc/4h/Ac:-224,224(-187.015125)
79:BR,Player:0r130c/r4051f:2c4h,5h8d|/5c6hJh:230,-230(230.000000)
80:Player,BR:0cc/cr876c/r584c/r780c:6cAh,2sTd|/3h4cAc/Th/Jd:2340,-2340(899.092901)
81:BR,Player:0r130c/r163c/cr665c/cc:9dKs,5cKh|/2c3s3h/9c/Ts:1058,-1058(885.991535)
82:Player,BR:0cc/cr435f:2dKh,4dAh|/7cJdKs:-100,100(-100.000000)
83:BR,Player:0cc/r216f:4h9d,2dKh|/5s6h9h:100,-100(100.000000)
84:Player,BR:0cc/cr379f:2d7h,9hQd|/8hQhAc:-100,100(-100.000000)
85:BR,Player:0r130c/r2014f:2dTc,5hKc|/5d9cQd:230,-230(230.000000)
86:Player,BR:0cr300c/cr1741f:4h5d,JcKd|/7h8h9s:-400,400(-400.000000)
87:BR,Player:0r130c/r871f:QsKh,3cAs|/2s2cQh:230,-230(230.000000)
88:Player,BR:0cc/cr3080f:8cTd,2sJd|/6h7dQh:-100,100(-100.000000)
89:BR,Player:0f:4d8d,2c8h|:50,-50(50.000000)
90:Player,BR:0cr300c/cr1741f:9d9c,3s3c|/TdQhAd:-400,400(-400.000000)
91:BR,Player:0f:7dTh,2c4d|:50,-50(50.000000)
92:Player,BR:0cr300c/r520r4005f:2cTc,KsAd|/4d6cJh:-920,920(-920.000000)
93:BR,Player:0r200c/r1306c/cc/cr4694c:9hAd,JsQh|/7d8sTd/3h/Ah:6300,-6300(5686.160776)
94:Player,BR:0cr200c/cr427c/cc/r1973f:6sKc,7dJd|/TdJhQh/4s/Ah:727,-727(727.000000)
95:BR,Player:0cc/r379f:7cAd,3dTc|/4d6s7h:100,-100(100.000000)
96:Player,BR:0cr600c/cr3047f:5cAs,4sQd|/7cJsKc:-700,700(-700.000000)
97:BR,Player:0r130c/r1001f:4d9c,9sAd|/2h7hJs:230,-230(230.000000)
98:Player,BR:0cc/cr1761f:7cTd,8s9s|/5dThKh:-100,100(-100.000000)
