In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:BR,Player:0f:QsKc,2d4h|:50,-50(50.000000)
2:Player,BR:0cr600c/cr3047c/cc/r7523f:KdAs,4s8d|/2d6cAc/7s/9s:3747,-3747(3747.000000)
3:BR,Player:0r130c/r1001f:4s6c,3s3d|/5s7hJh:230,-230(230.000000)
4:Player,BR:0cr200c/r390r3004r7415f:2c5c,6cJd|/3c5d9c:3694,-3694(3694.000000)
5:BR,Player:0cc/r876c/cc/cc:7h9d,KhKd|/2c4hAd/2d/7s:-976,976(-51.052151)
6:Player,BR:0cc/cr876f:6h9s,4cKc|/6d7dTd:-100,100(-100.000000)
7:BR,Player:0cc/r435f:8h9s,4c8d|/7hKsKc:100,-100(100.000000)
8:Player,BR:0cc/cr876f:7sJh,2c7d|/3s6h8h:-100,100(-100.000000)
9:BR,Player:0r130c/r498f:6hQc,5sAc|/TdJhQh:230,-230(230.000000)
10:Player,BR:0cr300c/cr16295f:5s5h,3d6d|/3c6cKh:-400,400(-400.000000)
11:BR,Player:0f:4dQh,4s9h|:50,-50(50.000000)
12:Player,BR:0cr300c/cr3503f:6dAd,7cKs|/2s2h9h:-400,400(-400.000000)
13:BR,Player:0f:3dAc,2h5d|:50,-50(50.000000)
14:Player,BR:0cr200c/cr2627f:JdAs,JhKc|/4s6dQd:-300,300(-300.000000)
15:BR,Player:0cc/r124c/cc/cc:8s9d,3dKc|/7c9sAh/3c/Qc:224,-224(210.718877)
16:Player,BR:0cc/cr876f:2h7s,3h7h|/6s6h8c:-100,100(-100.000000)
17:BR,Player:0f:7hAh,2s9c|:50,-50(50.000000)
18:Player,BR:0cr130c/cr2014f:8hJh,4hQh|/4s9sKh:-230,230(-230.000000)
19:BR,Player:0r130c/r1001f:TcKd,9hQc|/5d6d9s:230,-230(230.000000)
20:Player,BR:0cc/cr19900f:5c7s,4h6h|/2h3s5s:-100,100(-100.000000)
21:BR,Player:0r130c/r285r543r543f:ThQh,9cKd|/9hTcAs:1058,-1058(1058.000000)
