In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
1:BR,Player:0f:5dAs,2c8s|:50,-50(50.000000)
2:Player,BR:0cr300c/r520r4005f:9sTd,6d9d|/5c6sQs:-920,920(-920.000000)
3:BR,Player:0r130c/r1001c/cr2472f:2d5s,7hKc|/9hKhKd/Jd:-1231,1231(-1231.000000)
4:Player,BR:0cc/cr761f:2s4d,8hQd|/2h6h8d:-100,100(-100.000000)
5:BR,Player:0cc/r761c/cc/cc:TdAh,5cQs|/8cQhAd/8s/9d:861,-861(684.372492)
6:Player,BR:0cr300c/cr1741f:4c5h,5c8s|/6hThQd:-400,400(-400.000000)
7:BR,Player:0r130c/cr299r299c/cr1605f:5sKs,JhQs|/2d7dQh/Ad:-828,828(-828.000000)
8:Player,BR:0cr200c/r390r982f:5s9h,3h3d|/TdQdAc:-690,690(-690.000000)
9:BR,Player:0f:7s7h,4c9d|:50,-50(50.000000)
10:Player,BR:0cr600c/r4200r6974f:QdKc,5hAd|/3d7sJc:-4900,4900(-4900.000000)
11:BR,Player:0r130c/r871f:JdKh,3c5c|/7d8dJh:230,-230(230.000000)
12:Player,BR:0cr200c/cr1136f:3s3h,QcKh|/9dThKs:-300,300(-300.000000)
13:BR,Player:0cc/r142c/cc/cr448c:3d9d,7h8d|/2d8hJc/Qd/Tc:690,-690(592.591196)
14:Player,BR:0cr130c/cr3522f:9sAd,TsTc|/8c9dQc:-230,230(-230.000000)
15:BR,Player:0f:5hTs,2s4c|:50,-50(50.000000)
16:Player,BR:0cr130c/r690f:2cAc,9cAs|/3c8hKc:230,-230(230.000000)
17:BR,Player:0cc/r435f:2d5c,7cAh|/3h6hJc:100,-100(100.000000)
18:Player,BR:0cc/cr249f:4h8d,3hQs|/7s7dJh:-100,100(-100.000000)
19:BR,Player:0cc/r216c/cc/cr374c:6hTc,KdKc|/ThAsAh/4d/8c:-690,690(-124.710478)
20:Player,BR:0cr600c/r1400r5227r12673f:6h8h,TsKs|/6d8cAh:7327,-7327(7327.000000)
21:BR,Player:0r130c/r1001f:6hJs,JhKh|/6d7s8c:230,-230(230.000000)
22:Player,BR:0cr600c/cr3047f:TdAc,4h6h|/3c9dKc:-700,700(-700.000000)
23:BR,Player:0cc/r1761c/cr5039f:4cAs,QhKs|/7dJhQs/Kd:-1861,1861(-1861.000000)
24:Player,BR:0cr300c/cr495c/cc/cc:QcKd,6hJd|/6d7h7d/3c/5c:-895,895(-745.500892)
25:BR,Player:0r130c/r1001f:6s8d,9sQc|/2d3h4h:230,-230(230.000000)
26:Player,BR:0cr600c/cr3047f:8s9s,2s5s|/4s8cAc:-700,700(-700.000000)
27:BR,Player:0r130c/cr299r2303c/cc/cr17168f:7sKd,8hQd|/8dQhQc/Td/2h:-2832,2832(-2832.000000)
28:Player,BR:0cr300c/r520r4005f:6s9c,ThQd|/2c5s7s:-920,920(-920.000000)
29:BR,Player:0cc/r876f:5d9d,5s6d|/8dJcQd:100,-100(100.000000)
30:Player,BR:0cr600c/cr1742f:QhAc,5sQc|/5d7hKc:-700,700(-700.000000)
31:BR,Player:0r200c/r747c/cc/cr2553f:QcKc,4c5d|/6dTdKd/2s/Ts:-1047,1047(-1047.000000)
32:Player,BR:0cc/cr876c/cc/r974f:5dKc,5c8s|/3dJdKd/Jc/6c:976,-976(976.000000)
33:BR,Player:0r130c/r2014f:6dJd,6c8d|/3cQdKd:230,-230(230.000000)
34:Player,BR:0cc/cr876f:5dJh,8cTd|/3d4c6c:-100,100(-100.000000)
35:BR,Player:0r130c/r1001f:2c7d,7hKh|/4d6s8d:230,-230(230.000000)
36:Player,BR:0cc/cr249f:2h3c,5c7d|/9hJsJc:-100,100(-100.000000)
37:BR,Player:0r130c/r1001f:8cTc,6c9h|/4d6dJd:230,-230(230.000000)
38:Player,BR:0cc/cr876f:5s9h,7cKs|/5c8sAs:-100,100(-100.000000)
39:BR,Player:0r130c/cr299r4632f:4h4c,4dQc|/5d8sTc:529,-529(529.000000)
40:Player,BR:0cc/cr1761f:5sAc,5hKc|/7c8sQh:-100,100(-100.000000)
41:BR,Player:0r130c/r1001f:3h5d,7cKh|/8h9sAc:230,-230(230.000000)
42:Player,BR:0cc/cr1761f:7s8d,6h7h|/6sQsKs:-100,100(-100.000000)
43:BR,Player:0f:4s7c,2c5d|:50,-50(50.000000)
44:Player,BR:0cc/cr876f:3dQh,6dKh|/5d8hQd:-100,100(-100.000000)
45:BR,Player:0r130c/r871f:4sJc,5cQh|/3s7hJh:230,-230(230.000000)
46:Player,BR:0cr200c/r390r982f:2d2c,QcKc|/5h8dAd:-690,690(-690.000000)
47:BR,Player:0r130c/r327f:4hJc,ThKc|/3c4d7h:230,-230(230.000000)
48:Player,BR:0cc/cr1761f:3c7h,5hTc|/7dKcAd:-100,100(-100.000000)
49:BR,Player:0f:9sTc,2cTs|:50,-50(50.000000)
