In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
1:BR,Player:0f:4h4d,2d7h|:50,-50(50.000000)
2:Player,BR:0cc/cr1761f:5c6h,3c6d|/2d5dTs:-100,100(-100.000000)
3:BR,Player:0r300c/r1741c/cc/cc:4sTs,JcAc|/4c6d7c/4d/7h:2141,-2141(2141.000000)
4:Player,BR:0cc/cr876f:6h8s,5hJh|/3sQhKd:-100,100(-100.000000)
5:BR,Player:0r200c/r1306f:7hJc,6c7c|/2sTcAh:300,-300(300.000000)
6:Player,BR:0cc/cr435f:2h5d,2cJh|/6d7dAh:-100,100(-100.000000)
7:BR,Player:0cc/r379c/cc/cc:6cJs,5dJc|/4h8dJd/Ad/Ks:0,-0(245.117952)
8:Player,BR:0cc/cr876f:3sKd,8sQs|/4d5dTs:-100,100(-100.000000)
9:BR,Player:0cc/r876f:5dAd,2cJc|/7s8hQd:100,-100(100.000000)
10:Player,BR:0cc/cr124c/cc/r236c:2h5s,8cKc|/QsAhAd/3c/Kd:-460,460(-358.833026)
11:BR,Player:0r130c/r1001f:7sTc,KcAs|/3c4sQh:230,-230(230.000000)
12:Player,BR:0cc/cr3080f:3d6s,TsJs|/4c6cKh:-100,100(-100.000000)
13:BR,Player:0r130c/cr690r4005f:3sKd,9sAh|/8sJcAd:920,-920(920.000000)
14:Player,BR:0cr300c/cr3503f:7sJs,JcAs|/7h9hTd:-400,400(-400.000000)
15:BR,Player:0f:6s9h,2d7s|:50,-50(50.000000)
16:Player,BR:0cc/cr876f:6d9d,6h8c|/3c4d5c:-100,100(-100.000000)
17:BR,Player:0r130c/r1001f:QdAc,9sAh|/5cJhKd:230,-230(230.000000)
18:Player,BR:0cc/cr1761f:5dTc,7cKs|/9dQcAd:-100,100(-100.000000)
19:BR,Player:0r200c/r2627c/cc/cr6043f:7sKd,KsKh|/8dJdQs/2c/5d:-2927,2927(-2927.000000)
20:Player,BR:0cc/cr435f:5h9d,6hTd|/5dQcAd:-100,100(-100.000000)
21:BR,Player:0r130c/r2014f:6d7h,6cQs|/8cTdJs:230,-230(230.000000)
22:Player,BR:0cr600c/cr3047c/cc/r2133f:4c5h,7dAc|/4h5c6h/3h/2h:3747,-3747(3747.000000)
23:BR,Player:0r130c/r1001f:2s6h,TdTc|/5h7d8s:230,-230(230.000000)
24:Player,BR:0cr200c/cr1306f:4d7h,4c8d|/2h5hQd:-300,300(-300.000000)
25:BR,Player:0cc/r19900c/cc/cc:4h5s,4c5d|/2d3sAh/2s/8s:0,-0(3593.275325)
26:Player,BR:0cc/cr3080f:3c7c,4s7d|/TcJdKd:-100,100(-100.000000)
27:BR,Player:0cc/r435f:2sJc,3cJh|/6h8dKd:100,-100(100.000000)
28:Player,BR:0cc/cr435c/cc/r305f:8cAs,2dKd|/7s8hAh/Ad/Tc:535,-535(535.000000)
29:BR,Player:0r130c/r1001f:8h9c,4hAc|/3dQdAs:230,-230(230.000000)
30:Player,BR:0cc/cr1761f:5cKd,7sJd|/9dTdTc:-100,100(-100.000000)
31:BR,Player:0r130c/r1001c/cc/cr3599f:3h4s,JhKs|/TdKcAs/7h/Kd:-1231,1231(-1231.000000)
32:Player,BR:0cc/cr379f:8hTd,3sAh|/5s7hAs:-100,100(-100.000000)
33:BR,Player:0cc/r435r1565r1565c/cr13135f:8c9d,TsJs|/2s6cTd/3h:-3665,3665(-3665.000000)
34:Player,BR:0cr200c/cr2627f:JdAh,4h9c|/3c8s8h:-300,300(-300.000000)
35:BR,Player:0r130c/r285c/cr175c/cr2070c:KsAc,7cQh|/2s3s3c/8d/9d:2760,-2760(1373.892568)
36:Player,BR:0cc/cr435c/r305c/r168f:6c7s,8c9d|/3c4sAs/8s/5d:840,-840(840.000000)
37:BR,Player:0r130c/r285f:TcQh,3d4s|/6cQdAs:230,-230(230.000000)
38:Player,BR:0cc/cr435f:2hJs,8dQd|/2d4h7h:-100,100(-100.000000)
39:BR,Player:0r300c/r3503f:TdQh,8dJd|/3c7sAd:400,-400(400.000000)
40:Player,BR:0cc/cr3080f:5dQc,4d6h|/8dTsTc:-100,100(-100.000000)
41:BR,Player:0r130c/r285f:7sQs,2c3c|/7cKhKd:230,-230(230.000000)
42:Player,BR:0cc/cr876f:6d8s,9sJs|/2c6sKs:-100,100(-100.000000)
43:BR,Player:0r130c/r3522c/cc/cc:KsKd,8cTs|/6s7cTh/2c/4h:3752,-3752(3608.683182)
44:Player,BR:0cc/cr435f:8cJs,7hAs|/3s5cKc:-100,100(-100.000000)
45:BR,Player:0f:JhJd,2h7c|:50,-50(50.000000)
46:Player,BR:0cr300c/cr1514f:9dTs,JcAs|/5h8hAd:-400,400(-400.000000)
47:BR,Player:0f:8cAh,2d5c|:50,-50(50.000000)
48:Player,BR:0cc/cr876f:7hQc,5d8s|/9cJcAs:-100,100(-100.000000)
49:BR,Player:0r200c/r2627f:5h9h,3sJd|/7d8hQs:300,-300(300.000000)
50:Player,BR:0cc/cr3080f:3cKs,8s9s|/2cThJs:-100,100(-100.000000)
51:BR,Player:0r130c/r285f:8c9d,5sQh|/4s9sTc:230,-230(230.000000)
52:Player,BR:0cc/cr1761f:8sQh,4cQd|/4h8d9h:-100,100(-100.000000)
53:BR,Player:0r130c/r285f:4hAh,9dAs|/3d4s7h:230,-230(230.000000)
