In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr761f:5cKh,8hKc|/3d4h8d/8c:-100,100(-100.000000)
3:BR,Player:0cc/cc/r761f:KsAd,2hKc|/4d7sAc/Qs:100,-100(100.000000)
4:Player,BR:0cr300c/cc/cr7045f:JdQs,3s7d|/2s5cKc/4s:-400,400(-400.000000)
5:BR,Player:0r130c/cr299c/r753f:7cJh,2h5h|/4c8dKd/9s:529,-529(529.000000)
6:Player,BR:0cc/cc/cc/r200c:3s4c,2s2h|/7hThJd/Qd/Qc:-300,300(-252.445325)
7:BR,Player:0f:7hQc,2d6s|:50,-50(50.000000)
8:Player,BR:0cr600c/r1400c/r4200r8966f:4d7h,5cKd|/6h8hQc/Js:-6300,6300(-6300.000000)
9:BR,Player:0r130c/cc/r285f:8hTc,8sKh|/3h6dQc/Ts:230,-230(230.000000)
10:Player,BR:0cc/cc/r200r649f:2c3s,QsQc|/5dThTc/4h:-300,300(-300.000000)
11:BR,Player:0r130c/cr299c/r2003f:8dTc,5c7h|/2hTsTh/2c:529,-529(529.000000)
12:Player,BR:0cc/cc/cr435f:3c6d,6sQs|/ThJcKs/3h:-100,100(-100.000000)
13:BR,Player:0r200c/cr600c/r100c/r17612f:2s4c,5dAd|/5cThAh/Td/9h:1000,-1000(1000.000000)
14:Player,BR:0cr300c/cc/r1200r3463c/r697c:7dTs,9cKd|/3s4c9h/8c/Kh:-5760,5760(-5723.203737)
15:BR,Player:0r130c/cc/r871f:KhKd,7hKs|/2c9h9d/Js:230,-230(230.000000)
16:Player,BR:0cr300c/cc/cr996f:5cQc,6cTc|/6sKhAh/3h:-400,400(-400.000000)
17:BR,Player:0r200c/cr390c/r1493c/r17817f:3s4d,8hTc|/3h4cQs/Td/8s:2183,-2183(2183.000000)
18:Player,BR:0cc/cc/r200r5284f:5c8s,6hKh|/6dThQh/9s:-300,300(-300.000000)
19:BR,Player:0r130c/cc/r100c/r233r626r18210f:3sTc,JdKh|/7dTdAh/Ks/Kc:1189,-1189(1189.000000)
20:Player,BR:0cc/cc/cr379f:6sJs,9dTs|/4c9hAh/8d:-100,100(-100.000000)
21:BR,Player:0r130c/cr299c/r4632f:4cQc,3d4s|/6s7sTd/Kh:529,-529(529.000000)
22:Player,BR:0cc/cc/r130r4051f:ThKs,8hJd|/2c8cTs/3s:-230,230(-230.000000)
23:BR,Player:0r130c/cr299c/r2303f:ThAs,2sAc|/3h4d9s/8s:529,-529(529.000000)
24:Player,BR:0cc/cc/cr3080c/cc:4dKs,7h8s|/4cTsAd/Kh/2d:3180,-3180(3180.000000)
25:BR,Player:0r130c/cc/r285c/r1115f:2s5h,8hKd|/4d4c5s/6s/6c:515,-515(515.000000)
26:Player,BR:0cc/cc/cr3080f:2cTs,4d9h|/7hJcQd/4c:-100,100(-100.000000)
