In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
1:BR,Player:0f:5cJc,2sTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/r300r569c/cr2097f:2dTc,3hQd|/2cJcKc/Td/Jd:-969,969(-969.000000)
3:BR,Player:0cc/cc/r216f:9cQh,4cAd|/2s2d6h/9s:100,-100(100.000000)
4:Player,BR:0cc/cc/r200r1136f:5hJh,7dAs|/7s8cAd/6h:-300,300(-300.000000)
5:BR,Player:0r130c/cr460c/r100f:9cTs,4sTh|/5hJhKd/3c:690,-690(690.000000)
6:Player,BR:0cc/cc/cr435f:5s8s,7cKc|/3c9dAs/Qh:-100,100(-100.000000)
7:BR,Player:0r130c/cr299c/r162r767c/r18542f:8s8h,JhQh|/2c6dQc/Jd/3d:1458,-1458(1458.000000)
8:Player,BR:0cr600c/cc/r910c/r2093r5270f:8dAd,7dTs|/5h9cAs/7c/2h:-3703,3703(-3703.000000)
9:BR,Player:0r130c/cr299c/r655f:QdAs,3s5s|/4dTdAc/Jd:529,-529(529.000000)
10:Player,BR:0cr200c/r900c/cr1708f:KdAc,4d6s|/7s8dKs/8s:-1200,1200(-1200.000000)
11:BR,Player:0r130c/cr299c/r655f:9sAd,6c9d|/3c4sJc/Ac:529,-529(529.000000)
12:Player,BR:0cr130c/r460c/r138r7250f:7s7h,5s7d|/4sKsKd/Ts:-828,828(-828.000000)
13:BR,Player:0r130c/cc/r2014f:8hAs,8dAh|/2hJhKd/Kh:230,-230(230.000000)
14:Player,BR:0cr200c/r390c/cr211r211r17030f:4c6c,7dQh|/6dQcAs/Jh:-1112,1112(-1112.000000)
15:BR,Player:0cc/cr130c/r327r1513f:3h5d,QsQh|/3s9sQd/8c:-557,557(-557.000000)
16:Player,BR:0cc/cc/cr379c/r121r743f:7cJd,6h8s|/5c6c8c/Td/Ts:-600,600(-600.000000)
17:BR,Player:0r130c/cr460c/r425r1990f:5sKc,3cAs|/3s3dKd/7c:-1115,1115(-1115.000000)
18:Player,BR:0cc/cc/cr124c/cr3431f:6cKd,QsKh|/6sTsAh/Ac/8d:-224,224(-224.000000)
19:BR,Player:0r200c/cr390c/r854f:JcKs,8sJs|/9sQhKh/Qc:690,-690(690.000000)
20:Player,BR:0cr300c/cc/cr7045f:7s7d,3h3d|/4h5cKc/4c:-400,400(-400.000000)
21:BR,Player:0f:7sQc,2c8s|:50,-50(50.000000)
22:Player,BR:0cc/cc/cr124f:7sJc,5sAd|/3c5h6s/Qc:-100,100(-100.000000)
23:BR,Player:0r130c/cr299c/r2303f:8dAh,7c9d|/5dTcKc/6c:529,-529(529.000000)
24:Player,BR:0cr300c/r520c/cr4005f:6h6d,TdQh|/4s9d9c/8c:-920,920(-920.000000)
25:BR,Player:0r200c/cc/r5284f:6cAs,8cKd|/2dThJh/6h:300,-300(300.000000)
26:Player,BR:0cc/cc/r130r1751f:5c6h,JsAh|/2d7h9c/Jd:-230,230(-230.000000)
27:BR,Player:0cc/cc/r435c/r6196f:2dKh,6dQc|/9s9cTh/Jd/7h:535,-535(535.000000)
28:Player,BR:0cr300c/cc/cr6126f:4h4c,TcAh|/5c6hTh/Js:-400,400(-400.000000)
29:BR,Player:0r130c/cc/r1001f:8dTh,5dKd|/2c7dAs/5s:230,-230(230.000000)
30:Player,BR:0cc/cc/cr3080f:8sJc,2d7h|/3h3dTd/5d:-100,100(-100.000000)
31:BR,Player:0r130c/cc/r4051f:5h8d,4hKs|/4c5sAh/3s:230,-230(230.000000)
32:Player,BR:0cc/cc/cr124c/cr12068f:6d9s,3c8d|/6c8cKc/7s/3h:-224,224(-224.000000)
33:BR,Player:0r130c/cc/r1751f:4d9c,ThTd|/4s4cJc/3d:230,-230(230.000000)
34:Player,BR:0cc/cc/r130c/cr1751f:4h7s,2cQd|/6hQsAh/9h/3s:-230,230(-230.000000)
35:BR,Player:0r200c/cr390c/r18483f:4hJc,TdAh|/4s8cTc/3h:690,-690(690.000000)
