In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
1:BR,Player:0f:5dAs,2c8s|:50,-50(50.000000)
2:Player,BR:0cr300c/r520c/cr324f:9sTd,6d9d|/5c6sQs/3d:-920,920(-920.000000)
3:BR,Player:0r130c/cr299c/r2303c/cr5684f:2d5s,7hKc|/9hKhKd/Jd/6d:-2832,2832(-2832.000000)
4:Player,BR:0cc/cc/r300r1741f:2s4d,8hQd|/2h6h8d/2d:-400,400(-400.000000)
5:BR,Player:0r130c/cc/r285c/r1695c:TdAh,5cQs|/8cQhAd/8s/9d:2210,-2210(2157.119446)
6:Player,BR:0cc/cc/cr9423f:4c5h,5c8s|/6hThQd/4d:-100,100(-100.000000)
7:BR,Player:0r130c/cr299c/r186c/r14482f:5sKs,JhQs|/2d7dQh/Ad/Td:715,-715(715.000000)
8:Player,BR:0cr300c/cc/r800r800f:5s9h,3h3d|/TdQdAc/8h:-1200,1200(-1200.000000)
9:BR,Player:0cc/cr130c/r871f:7s7h,4c9d|/7c8dJc/3c:230,-230(230.000000)
10:Player,BR:0cc/cc/cc/cr249r851f:QdKc,5hAd|/3d7sJc/9d/Tc:349,-349(349.000000)
11:BR,Player:0r130c/cc/r4051f:JdKh,3c5c|/7d8dJh/9s:230,-230(230.000000)
12:Player,BR:0cr600c/cc/cr5330f:3s3h,QcKh|/9dThKs/Ad:-700,700(-700.000000)
13:BR,Player:0r130c/cr299c/r2303f:3d9d,7h8d|/2d8hJc/Qd:529,-529(529.000000)
14:Player,BR:0cr300c/cc/cr495r495r16097f:9sAd,TsTc|/8c9dQc/As:-1390,1390(-1390.000000)
15:BR,Player:0f:5hTs,2s4c|:50,-50(50.000000)
16:Player,BR:0cr200c/r900c/r1560r1560c/cc:2cAc,9cAs|/3c8hKc/5c/7d:4320,-4320(4320.000000)
17:BR,Player:0cc/cc/r1761f:2d5c,7cAh|/3h6hJc/Js:100,-100(100.000000)
18:Player,BR:0cc/cc/r200r2627f:4h8d,3hQs|/7s7dJh/2c:-300,300(-300.000000)
19:BR,Player:0r200c/cc/r1136c/r5436c:6hTc,KdKc|/ThAsAh/4d/8c:-6872,6872(1517.682891)
20:Player,BR:0cr600c/r2100c/r3640f:6h8h,TsKs|/6d8cAh/9c:2800,-2800(2800.000000)
21:BR,Player:0r130c/cr299c/r374f:6hJs,JhKh|/6d7s8c/4d:529,-529(529.000000)
22:Player,BR:0cr200c/cc/cr5284f:TdAc,4h6h|/3c9dKc/5s:-300,300(-300.000000)
23:BR,Player:0r200c/cr900c/r120r840r16447f:4cAs,QhKs|/7dJhQs/Kd:2160,-2160(2160.000000)
24:Player,BR:0cr300c/cc/cr495c/cr416c:QcKd,6hJd|/6d7h7d/3c/5c:-1311,1311(-1231.910546)
25:BR,Player:0r200c/cc/r9241f:6s8d,9sQc|/2d3h4h/Jh:300,-300(300.000000)
26:Player,BR:0cr130c/cc/cr573c/cc:8s9s,2s5s|/4s8cAc/Kh/7c:803,-803(803.000000)
27:BR,Player:0cc/cr130c/r2014c/cr4633f:7sKd,8hQd|/8dQhQc/Td/2h:-2244,2244(-2244.000000)
28:Player,BR:0cc/cc/r130r4051r7886f:6s9c,ThQd|/2c5s7s/9h:4281,-4281(4281.000000)
