In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
1:BR,Player:0f:4h4d,2d7h|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr142f:5c6h,3c6d|/2d5dTs/9d:-100,100(-100.000000)
3:BR,Player:0r130c/cr690c/r7005f:4sTs,JcAc|/4c6d7c/4d:920,-920(920.000000)
4:Player,BR:0cc/cc/cr876f:6h8s,5hJh|/3sQhKd/Ah:-100,100(-100.000000)
5:BR,Player:0r130c/cr299c/r100r1907f:7hJc,6c7c|/2sTcAh/3c:-629,629(-629.000000)
6:Player,BR:0cr600c/cc/cr3047f:2h5d,2cJh|/6d7dAh/Qs:-700,700(-700.000000)
7:BR,Player:0r130c/cr299c/r186c/cc:6cJs,5dJc|/4h8dJd/Ad/Ks:0,-0(-121.024680)
8:Player,BR:0cc/cc/cr435f:3sKd,8sQs|/4d5dTs/7d:-100,100(-100.000000)
9:BR,Player:0r130c/cc/r2014f:5dAd,2cJc|/7s8hQd/3d:230,-230(230.000000)
10:Player,BR:0cc/cc/r200r747f:2h5s,8cKc|/QsAhAd/3c:-300,300(-300.000000)
11:BR,Player:0r130c/cc/r4051f:7sTc,KcAs|/3c4sQh/Kd:230,-230(230.000000)
12:Player,BR:0cc/cc/cr3080f:3d6s,TsJs|/4c6cKh/Qs:-100,100(-100.000000)
13:BR,Player:0r200c/cr600c/cr1170r9012f:3sKd,9sAh|/8sJcAd/7d:2070,-2070(2070.000000)
14:Player,BR:0cc/cc/cr435c/cr6196f:7sJs,JcAs|/7h9hTd/3c/5c:-535,535(-535.000000)
15:BR,Player:0f:6s9h,2d7s|:50,-50(50.000000)
16:Player,BR:0cr300c/r520c/cr19080c/cc:6d9d,6h8c|/3c4d5c/7h/6s:-20000,20000(-19726.633983)
17:BR,Player:0r130c/cc/r12392f:QdAc,9sAh|/5cJhKd/As:230,-230(230.000000)
18:Player,BR:0cc/cc/cr9423f:5dTc,7cKs|/9dQcAd/4c:-100,100(-100.000000)
19:BR,Player:0r130c/cc/r7085f:7sKd,KsKh|/8dJdQs/2c:230,-230(230.000000)
20:Player,BR:0cc/cc/cr142c/cr797c:5h9d,6hTd|/5dQcAd/2s/5s:1039,-1039(1039.000000)
21:BR,Player:0r130c/cc/r4051f:6d7h,6cQs|/8cTdJs/9d:230,-230(230.000000)
22:Player,BR:0cc/cc/cr761c/cr348r891f:4c5h,7dAc|/4h5c6h/3h/2h:1209,-1209(1209.000000)
23:BR,Player:0r130c/cr299c/r2303f:2s6h,TdTc|/5h7d8s/8d:529,-529(529.000000)
24:Player,BR:0cc/cc/cr249c/cr376c:4d7h,4c8d|/2h5hQd/4h/Ts:-725,725(309.415430)
25:BR,Player:0r130c/cr299c/r1145r1976r1976c/cc:4h5s,4c5d|/2d3sAh/2s/8s:0,-0(954.945370)
26:Player,BR:0cr600c/cc/cr6130f:3c7c,4s7d|/TcJdKd/8s:-700,700(-700.000000)
27:BR,Player:0cc/cc/cc/r379c:2sJc,3cJh|/6h8dKd/7h/Js:0,-0(303.377298)
28:Player,BR:0cr300c/cc/r520c/r1196r3011r14873f:8cAs,2dKd|/7s8hAh/Ad/Tc:5127,-5127(5127.000000)
29:BR,Player:0r130c/cc/r2014c/cc:8h9c,4hAc|/3dQdAs/Ad/5s:-2244,2244(-2244.000000)
