In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr1761f:4d7h,2h7s|/5s5h9c/Ts:-100,100(-100.000000)
3:BR,Player:0r200c/cr390c/cc/cc:7h9c,2dKh|/3c7sTs/5h/5d:690,-690(690.000000)
4:Player,BR:0cc/cc/cr3080f:4cQs,2s6h|/4h7d8s/2c:-100,100(-100.000000)
5:BR,Player:0f:7dQh,2dJc|:50,-50(50.000000)
6:Player,BR:0cr300c/r520c/r460r6008f:JhQs,ThKc|/2h3h7d/7h:-1380,1380(-1380.000000)
7:BR,Player:0r130c/cc/r285c/r240r832r2259f:7c8d,4s4d|/2h6s7s/Ad/Jh:1587,-1587(1587.000000)
8:Player,BR:0cc/cc/cr142f:3sKd,5c7c|/ThQhAh/6h:-100,100(-100.000000)
9:BR,Player:0r130c/cr299c/r4632f:3d6h,7h9c|/2cJsQd/7d:529,-529(529.000000)
10:Player,BR:0cc/cc/cr142f:3cTs,4h8s|/7d9dKs/7s:-100,100(-100.000000)
11:BR,Player:0r130c/cc/r3522f:2hAh,9cTd|/6cJsAd/Ks:230,-230(230.000000)
12:Player,BR:0cc/cc/cr761f:JdKs,4h8h|/4d5d8s/Qc:-100,100(-100.000000)
13:BR,Player:0cc/cr200c/r427f:JcKs,2hJs|/2d4dAd/7c:300,-300(300.000000)
14:Player,BR:0cc/cc/cr435f:JcQs,4sKc|/5d5cJh/Ts:-100,100(-100.000000)
15:BR,Player:0r130c/cr299c/r2303f:3cQd,4c5d|/2dJsKs/2c:529,-529(529.000000)
16:Player,BR:0cr200c/cc/cr2627f:4s4d,3c5c|/5d6dTh/9d:-300,300(-300.000000)
17:BR,Player:0cc/cr130c/cr460r1718f:9sQc,4h9d|/2h8cJh/Jd:690,-690(690.000000)
