In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/cc/cc:5cKh,8hKc|/3d4h8d/8c/Qc:-100,100(-99.040767)
3:BR,Player:0cc/cc/cc/cc:KsAd,2hKc|/4d7sAc/Qs/2c:100,-100(100.000000)
4:Player,BR:0cc/cc/cc/cc:JdQs,3s7d|/2s5cKc/4s/9d:100,-100(100.000000)
5:BR,Player:0cc/cr130c/cr690c/cc:7cJh,2h5h|/4c8dKd/9s/8h:920,-920(648.611286)
6:Player,BR:0cc/cc/cc/r200c:3s4c,2s2h|/7hThJd/Qd/Qc:-300,300(-252.445325)
7:BR,Player:0f:7hQc,2d6s|:50,-50(50.000000)
8:Player,BR:0cc/cc/r130c/cc:4d7h,5cKd|/6h8hQc/Js/2c:-230,230(-143.685120)
9:BR,Player:0r200c/cr390c/cr1380c/cr2691c:8hTc,8sKh|/3h6dQc/Ts/4s:4761,-4761(-71.547695)
10:Player,BR:0cc/cc/r200c/r390c:2c3s,QsQc|/5dThTc/4h/Kd:-690,690(-531.260842)
11:BR,Player:0r130c/cr299c/cc/cc:8dTc,5c7h|/2hTsTh/2c/Qs:529,-529(529.000000)
12:Player,BR:0cr200c/cc/cc/cc:3c6d,6sQs|/ThJcKs/3h/7c:300,-300(300.000000)
13:BR,Player:0r200f:2s4c,5dAd|:-100,100(-100.000000)
14:Player,BR:0cr300c/cc/r1200c/cc:7dTs,9cKd|/3s4c9h/8c/Kh:-1600,1600(-1524.641768)
15:BR,Player:0r130c/cc/cc/cc:KhKd,7hKs|/2c9h9d/Js/2d:230,-230(230.000000)
16:Player,BR:0cr300c/cc/cc/cc:5cQc,6cTc|/6sKhAh/3h/Qh:400,-400(303.680364)
17:BR,Player:0r130c/cc/cc/cr299c:3s4d,8hTc|/3h4cQs/Td/8s:-529,529(471.864482)
18:Player,BR:0cr200c/cc/r900c/cc:5c8s,6hKh|/6dThQh/9s/2s:-1200,1200(-1064.273794)
19:BR,Player:0r130c/cc/cr299c/cr1058c:3sTc,JdKh|/7dTdAh/Ks/Kc:-1587,1587(-23.106761)
20:Player,BR:0cc/cc/cc/cc:6sJs,9dTs|/4c9hAh/8d/Kh:-100,100(-59.021161)
21:BR,Player:0r130c/cr299c/cc/cc:4cQc,3d4s|/6s7sTd/Kh/Kc:529,-529(-116.438315)
22:Player,BR:0cr300c/r520c/r1196f:ThKs,8hJd|/2c8cTs/3s:920,-920(920.000000)
