In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
1:BR,Player:0f:5cJc,2sTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/r300c/cc:2dTc,3hQd|/2cJcKc/Td/Jd:400,-400(-116.114622)
3:BR,Player:0r130c/cc/cc/cc:9cQh,4cAd|/2s2d6h/9s/Kc:230,-230(230.000000)
4:Player,BR:0cc/cc/cc/cc:5hJh,7dAs|/7s8cAd/6h/3s:-100,100(-97.028834)
5:BR,Player:0r130c/cr460c/cc/cc:9cTs,4sTh|/5hJhKd/3c/Td:690,-690(690.000000)
6:Player,BR:0cc/cc/cc/cc:5s8s,7cKc|/3c9dAs/Qh/4s:-100,100(-2.832763)
7:BR,Player:0r130c/cr299c/cr1058c/cr3174f:8s8h,JhQh|/2c6dQc/Jd/3d:-1587,1587(-1587.000000)
8:Player,BR:0cr600f:8dAd,7dTs|:100,-100(100.000000)
9:BR,Player:0r130c/cc/cc/cr299c:QdAs,3s5s|/4dTdAc/Jd/9c:529,-529(447.255736)
10:Player,BR:0cr300f:KdAc,4d6s|:100,-100(100.000000)
11:BR,Player:0r130c/cr299c/cr1058c/cr3174c:9sAd,6c9d|/3c4sJc/Ac/2d:4761,-4761(2968.929168)
12:Player,BR:0cr300f:7s7h,5s7d|:100,-100(100.000000)
13:BR,Player:0r130c/cc/cc/cc:8hAs,8dAh|/2hJhKd/Kh/9c:0,-0(42.035816)
14:Player,BR:0cr200c/r390c/r138c/cc:4c6c,7dQh|/6dQcAs/Jh/2s:-828,828(-101.837806)
15:BR,Player:0r130c/cr299c/cr1058f:3h5d,QsQh|/3s9sQd/8c:-529,529(-529.000000)
16:Player,BR:0cc/cc/r130c/cc:7cJd,6h8s|/5c6c8c/Td/Ts:-230,230(-193.989170)
