In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:BR,Player:0f:QsKc,2d4h|:50,-50(50.000000)
2:Player,BR:0cr600f:KdAs,4s8d|:100,-100(100.000000)
3:BR,Player:0r130c/cc/cc/cr299f:4s6c,3s3d|/5s7hJh/9s/Ah:-230,230(-230.000000)
4:Player,BR:0cr200c/cc/r390c/r897f:2c5c,6cJd|/3c5d9c/5s/Ac:690,-690(690.000000)
5:BR,Player:0r200c/cc/cc/cr390c:7h9d,KhKd|/2c4hAd/2d/7s:-690,690(354.149528)
6:Player,BR:0cc/cc/cc/cc:6h9s,4cKc|/6d7dTd/Qd/Ah:100,-100(86.966533)
7:BR,Player:0cc/cr130c/cc/cc:8h9s,4c8d|/7hKsKc/9h/2d:230,-230(230.000000)
8:Player,BR:0cc/cc/r130f:7sJh,2c7d|/3s6h8h/Jd:100,-100(100.000000)
9:BR,Player:0r130c/cr299c/cr1058c/cc:6hQc,5sAc|/TdJhQh/3d/2s:1587,-1587(979.260789)
10:Player,BR:0cr600f:5s5h,3d6d|:100,-100(100.000000)
11:BR,Player:0f:4dQh,4s9h|:50,-50(50.000000)
12:Player,BR:0cr130c/cc/cc/r299f:6dAd,7cKs|/2s2h9h/As/4d:230,-230(230.000000)
13:BR,Player:0f:3dAc,2h5d|:50,-50(50.000000)
14:Player,BR:0cr200c/cc/r150c/cc:JdAs,JhKc|/4s6dQd/6h/Js:450,-450(-185.709880)
15:BR,Player:0r130c/cc/cc/cc:8s9d,3dKc|/7c9sAh/3c/Qc:230,-230(224.863968)
16:Player,BR:0cc/cc/r130f:2h7s,3h7h|/6s6h8c/Kc:100,-100(100.000000)
17:BR,Player:0f:7hAh,2s9c|:50,-50(50.000000)
18:Player,BR:0cr300c/r520c/r1840f:8hJh,4hQh|/4s9sKh/Td:920,-920(920.000000)
19:BR,Player:0r130c/cr460c/cc/cc:TcKd,9hQc|/5d6d9s/Js/Kh:690,-690(690.000000)
