In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
1:BR,Player:0f:5dAs,2c8s|:50,-50(50.000000)
2:Player,BR:0cr300c/r520c/cc/cc:9sTd,6d9d|/5c6sQs/3d/2c:-920,920(-744.949727)
3:BR,Player:0r130c/cr299f:2d5s,7hKc|/9hKhKd:-230,230(-230.000000)
4:Player,BR:0cc/cc/r200c/r390f:2s4d,8hQd|/2h6h8d/2d/6d:300,-300(300.000000)
5:BR,Player:0r200c/cc/cc/cr390c:TdAh,5cQs|/8cQhAd/8s/9d:690,-690(675.292738)
6:Player,BR:0cc/cc/cc/cc:4c5h,5c8s|/6hThQd/4d/3s:100,-100(95.825738)
7:BR,Player:0r130c/cr299c/cr264f:5sKs,JhQs|/2d7dQh/Ad:-529,529(-529.000000)
8:Player,BR:0cc/cc/cc/cc:5s9h,3h3d|/TdQdAc/8h/6c:-100,100(-8.348801)
9:BR,Player:0cc/cr300c/cr200c/cr780c:7s7h,4c9d|/7c8dJc/3c/7d:1380,-1380(1380.000000)
10:Player,BR:0cc/cc/cc/cc:QdKc,5hAd|/3d7sJc/9d/Tc:100,-100(41.018173)
11:BR,Player:0r130c/cc/cc/cr299c:JdKh,3c5c|/7d8dJh/9s/7c:529,-529(359.802904)
12:Player,BR:0cr200c/cc/cc/cc:3s3h,QcKh|/9dThKs/Ad/Jd:-300,300(-288.275803)
13:BR,Player:0r130c/cc/cc/cc:3d9d,7h8d|/2d8hJc/Qd/Tc:230,-230(230.000000)
14:Player,BR:0cr200c/cc/cc/r900f:9sAd,TsTc|/8c9dQc/As/Kc:300,-300(300.000000)
15:BR,Player:0f:5hTs,2s4c|:50,-50(50.000000)
16:Player,BR:0cc/cc/r200c/r900c:2cAc,9cAs|/3c8hKc/5c/7d:1200,-1200(12.811397)
17:BR,Player:0r130c/cc/cc/cc:2d5c,7cAh|/3h6hJc/Js/Qs:-230,230(-230.000000)
18:Player,BR:0cc/cc/r130c/cc:4h8d,3hQs|/7s7dJh/2c/Td:-230,230(88.567850)
19:BR,Player:0r200c/cc/cr150c/cr1350f:6hTc,KdKc|/ThAsAh/4d/8c:-450,450(-450.000000)
20:Player,BR:0cr130c/r1380c/cc/r2093f:6h8h,TsKs|/6d8cAh/9c/Jd:1610,-1610(1610.000000)
21:BR,Player:0cc/cc/cc/cc:6hJs,JhKh|/6d7s8c/4d/8h:100,-100(100.000000)
22:Player,BR:0cr200c/cc/cc/r600f:TdAc,4h6h|/3c9dKc/5s/Ah:300,-300(300.000000)
23:BR,Player:0r200c/cr900c/cr1560f:4cAs,QhKs|/7dJhQs/Kd:-1200,1200(-1200.000000)
24:Player,BR:0cr200c/cc/cc/cc:QcKd,6hJd|/6d7h7d/3c/5c:-300,300(-267.346778)
25:BR,Player:0r200c/cc/cr390f:6s8d,9sQc|/2d3h4h/Jh:-300,300(-300.000000)
26:Player,BR:0cr600f:8s9s,2s5s|:100,-100(100.000000)
27:BR,Player:0r130c/cr299c/cc/cr687f:7sKd,8hQd|/8dQhQc/Td/2h:-529,529(-529.000000)
28:Player,BR:0cc/cc/r300f:6s9c,ThQd|/2c5s7s/9h:100,-100(100.000000)
29:BR,Player:0cc/cr130c/cc/cc:5d9d,5s6d|/8dJcQd/4c/8h:230,-230(-203.047397)
30:Player,BR:0cr300c/cc/r200c/cc:QhAc,5sQc|/5d7hKc/7s/8d:-600,600(-418.038155)
31:BR,Player:0r130c/cc/cr690c/cc:QcKc,4c5d|/6dTdKd/2s/Ts:920,-920(920.000000)
32:Player,BR:0cc/cc/cc/r130f:5dKc,5c8s|/3dJdKd/Jc/6c:100,-100(100.000000)
33:BR,Player:0r130c/cc/cc/cr299c:6dJd,6c8d|/3cQdKd/Js/4c:529,-529(-69.236712)
34:Player,BR:0cc/cc/r130f:5dJh,8cTd|/3d4c6c/4h:100,-100(100.000000)
35:BR,Player:0r130c/cc/cr115c/cc:2c7d,7hKh|/4d6s8d/7s/8s:-345,345(-345.000000)
36:Player,BR:0cc/cc/cc/cc:2h3c,5c7d|/9hJsJc/2s/8c:100,-100(83.186339)
37:BR,Player:0r130c/cc/cc/cc:8cTc,6c9h|/4d6dJd/7h/Kh:-230,230(-230.000000)
38:Player,BR:0cc/cc/cc/cc:5s9h,7cKs|/5c8sAs/8h/Ts:100,-100(-16.978900)
39:BR,Player:0r130c/cr299c/cr1058c/cr2063c:4h4c,4dQc|/5d8sTc/Jh/7d:3650,-3650(-221.519702)
40:Player,BR:0cc/cc/cc/cc:5sAc,5hKc|/7c8sQh/Td/2c:100,-100(62.266952)
41:BR,Player:0r200c/cc/cc/cc:3h5d,7cKh|/8h9sAc/Js/3c:300,-300(-61.622793)
42:Player,BR:0cc/cc/r200c/cc:7s8d,6h7h|/6sQsKs/Jd/Qd:-300,300(-240.939250)
43:BR,Player:0f:4s7c,2c5d|:50,-50(50.000000)
44:Player,BR:0cc/cc/cc/r130c:3dQh,6dKh|/5d8hQd/2d/3h:230,-230(85.961874)
45:BR,Player:0cc/cr200c/cc/cc:4sJc,5cQh|/3s7hJh/8h/3d:300,-300(300.000000)
46:Player,BR:0cr300c/cc/cc/cc:2d2c,QcKc|/5h8dAd/Js/5c:400,-400(119.750962)
47:BR,Player:0r130c/cr460c/cc/cr1380c:4hJc,ThKc|/3c4d7h/4c/Tc:2070,-2070(1370.548092)
48:Player,BR:0cc/cc/cc/cc:3c7h,5hTc|/7dKcAd/4s/Th:-100,100(-66.819964)
49:BR,Player:0f:9sTc,2cTs|:50,-50(50.000000)
50:Player,BR:0cr300c/cc/cc/cc:2cJc,2sQd|/7s7hKc/3h/Qs:-400,400(-360.467076)
51:BR,Player:0r200c/cc/cr150c/cr1350f:AsAd,6sTh|/7c8sQc/9s/Jd:-450,450(-450.000000)
52:Player,BR:0cc/cc/cc/cc:7dAh,2hJd|/3s5dJc/2d/8c:-100,100(-95.310364)
53:BR,Player:0r200c/cc/cr150c/cr900f:9hJd,AsAh|/QcKhKd/Kc/3d:-450,450(-450.000000)
54:Player,BR:0cr300c/cc/r200c/cc:KhAc,5hKc|/2h3c8s/Tc/9c:600,-600(584.018582)
55:BR,Player:0r130c/cr460f:3c6d,6c9c|/7cJsAd:-230,230(-230.000000)
56:Player,BR:0cc/cc/r200c/r600c:3h4s,TdKc|/6c7dTh/9d/Qc:-900,900(-751.900277)
