In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
1:BR,Player:0f:4h4d,2d7h|:50,-50(50.000000)
2:Player,BR:0cc/cc/cc/r130f:5c6h,3c6d|/2d5dTs/9d/9h:100,-100(100.000000)
3:BR,Player:0r130c/cr690c/cc/cc:4sTs,JcAc|/4c6d7c/4d/7h:920,-920(920.000000)
4:Player,BR:0cc/cc/cc/r130c:6h8s,5hJh|/3sQhKd/Ah/2c:-230,230(-117.343882)
5:BR,Player:0r130c/cr299c/cr1587f:7hJc,6c7c|/2sTcAh/3c:-529,529(-529.000000)
6:Player,BR:0cc/cc/cc/r130c:2h5d,2cJh|/6d7dAh/Qs/7h:-230,230(-48.950975)
7:BR,Player:0r130c/cr299c/cc/cc:6cJs,5dJc|/4h8dJd/Ad/Ks:0,-0(292.961052)
8:Player,BR:0cc/cc/r200c/cc:3sKd,8sQs|/4d5dTs/7d/5h:300,-300(-41.185539)
9:BR,Player:0cc/cc/cr200c/cc:5dAd,2cJc|/7s8hQd/3d/Ks:300,-300(227.689340)
10:Player,BR:0cc/cc/r200c/r600c:2h5s,8cKc|/QsAhAd/3c/Kd:-900,900(-565.508994)
11:BR,Player:0r200c/cc/cr600f:7sTc,KcAs|/3c4sQh/Kd:-300,300(-300.000000)
12:Player,BR:0cc/cc/cc/cc:3d6s,TsJs|/4c6cKh/Qs/Th:-100,100(-71.978349)
13:BR,Player:0r200c/cr600c/cr450f:3sKd,9sAh|/8sJcAd/7d:-900,900(-900.000000)
14:Player,BR:0cr300c/cc/cc/cc:7sJs,JcAs|/7h9hTd/3c/5c:400,-400(207.583245)
15:BR,Player:0f:6s9h,2d7s|:50,-50(50.000000)
16:Player,BR:0cc/cc/cc/cc:6d9d,6h8c|/3c4d5c/7h/6s:-100,100(-94.706426)
17:BR,Player:0r130c/cc/cr115c/cr1035c:QdAc,9sAh|/5cJhKd/As/5s:0,-0(-3.810393)
18:Player,BR:0cc/cc/cc/cc:5dTc,7cKs|/9dQcAd/4c/Js:-100,100(-5.008375)
19:BR,Player:0r130c/cc/cr299f:7sKd,KsKh|/8dJdQs/2c:-230,230(-230.000000)
20:Player,BR:0cr300c/cc/r200c/r300f:5h9d,6hTd|/5dQcAd/2s/5s:600,-600(600.000000)
21:BR,Player:0r130c/cc/cr115c/cr1035f:6d7h,6cQs|/8cTdJs/9d/Th:-345,345(-345.000000)
22:Player,BR:0cr300c/cc/cc/cc:4c5h,7dAc|/4h5c6h/3h/2h:400,-400(-322.855893)
23:BR,Player:0r130c/cr299c/cr1058f:2s6h,TdTc|/5h7d8s/8d:-529,529(-529.000000)
24:Player,BR:0cc/cc/cc/cc:4d7h,4c8d|/2h5hQd/4h/Ts:-100,100(-46.901138)
25:BR,Player:0r130c/cr299c/cr687c/cr1580c:4h5s,4c5d|/2d3sAh/2s/8s:0,-0(-81.433368)
26:Player,BR:0cc/cc/cc/r130f:3c7c,4s7d|/TcJdKd/8s/Js:100,-100(100.000000)
27:BR,Player:0cc/cc/cc/cr200c:2sJc,3cJh|/6h8dKd/7h/Js:0,-0(-0.000000)
28:Player,BR:0cr200c/r900f:8cAs,2dKd|/7s8hAh:300,-300(300.000000)
29:BR,Player:0r130c/cr299c/cc/cr687f:8h9c,4hAc|/3dQdAs/Ad/5s:-529,529(-529.000000)
30:Player,BR:0cr200c/cc/cc/r150f:5cKd,7sJd|/9dTdTc/6h/3c:300,-300(300.000000)
31:BR,Player:0r300f:3h4s,JhKs|:-100,100(-100.000000)
32:Player,BR:0cr130c/cc/r115c/cc:8hTd,3sAh|/5s7hAs/Ad/3c:-345,345(-344.284682)
33:BR,Player:0r130c/cr299c/cr1058f:8c9d,TsJs|/2s6cTd/3h:-529,529(-529.000000)
34:Player,BR:0cr300f:JdAh,4h9c|:100,-100(100.000000)
