In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
2:Player,BR:0cc/cc/cc/r300c:4d7h,2h7s|/5s5h9c/Ts/2d:-400,400(-332.636658)
3:BR,Player:0r200c/cr390c/cc/cc:7h9c,2dKh|/3c7sTs/5h/5d:690,-690(690.000000)
4:Player,BR:0cc/cc/cc/r130c:4cQs,2s6h|/4h7d8s/2c/9c:230,-230(69.205273)
5:BR,Player:0f:7dQh,2dJc|:50,-50(50.000000)
6:Player,BR:0cr300c/r520c/r460c/cc:JhQs,ThKc|/2h3h7d/7h/5s:-1380,1380(276.102552)
7:BR,Player:0r130c/cc/cr115c/cc:7c8d,4s4d|/2h6s7s/Ad/Jh:345,-345(280.630946)
8:Player,BR:0cc/cc/cc/cc:3sKd,5c7c|/ThQhAh/6h/3d:100,-100(98.923563)
9:BR,Player:0r300f:3d6h,7h9c|:-100,100(-100.000000)
10:Player,BR:0cc/cc/cc/cc:3cTs,4h8s|/7d9dKs/7s/9c:0,-0(14.111814)
11:BR,Player:0r130c/cr460c/cr897c/cr4761c:2hAh,9cTd|/6cJsAd/Ks/9s:6348,-6348(4728.528558)
12:Player,BR:0cc/cc/cc/cc:JdKs,4h8h|/4d5d8s/Qc/9d:-100,100(-81.527975)
13:BR,Player:0f:JcKs,2hJs|:50,-50(50.000000)
14:Player,BR:0cr300c/cc/r200c/r120f:JcQs,4sKc|/5d5cJh/Ts/6h:600,-600(600.000000)
15:BR,Player:0cc/cc/cc/cr130c:3cQd,4c5d|/2dJsKs/2c/6d:230,-230(69.137712)
16:Player,BR:0cr200c/cc/cc/cc:4s4d,3c5c|/5d6dTh/9d/Jc:-300,300(-77.536659)
17:BR,Player:0f:9sQc,4h9d|:50,-50(50.000000)
18:Player,BR:0cc/cc/cc/cc:8hJs,5s6s|/2sThAc/Qc/5h:-100,100(-55.264072)
19:BR,Player:0r130c/cc/cr460c/cc:6cAh,7c8c|/4d9hKc/Jd/8s:-690,690(117.342118)
20:Player,BR:0cc/cc/cc/r130c:4dTh,2d7s|/5d8cQc/7c/5h:-230,230(94.207334)
21:BR,Player:0r130c/cc/cr299c/cc:8sTd,7hKs|/4s6s8h/9h/4c:529,-529(477.742242)
22:Player,BR:0cr300c/r520c/r460c/r690c:3d5c,4dAh|/2s6cAd/2h/7h:-2070,2070(-1848.123614)
23:BR,Player:0r200c/cr390c/cc/cc:7hKh,3s5d|/7cTsKd/8c/4s:690,-690(690.000000)
24:Player,BR:0cr200c/cc/cc/r150f:7cAh,ThKc|/4s5hJd/6h/3s:300,-300(300.000000)
25:BR,Player:0r200c/cc/cr390c/cr2070c:9hAh,2sAs|/2c5dAc/Ts/Ks:-2760,2760(1060.126851)
26:Player,BR:0cc/cc/cc/cc:4hKs,6s8c|/5dQhQc/Kc/Th:100,-100(51.109902)
27:BR,Player:0r130c/cc/cc/cr460c:ThAd,7hTs|/6h8dQc/6c/Kd:690,-690(-68.417487)
28:Player,BR:0cr600f:8hKh,6d7h|:100,-100(100.000000)
29:BR,Player:0r130c/cc/cc/cr299f:4cKd,3dJd|/2c5hAh/2d/9d:-230,230(-230.000000)
30:Player,BR:0cc/cc/cc/cc:5hKh,4cQc|/4h5c6s/8h/Qs:-100,100(-73.791577)
31:BR,Player:0cc/cr200c/cr390c/cc:9hQh,3c6h|/4cThTd/5s/Jh:690,-690(120.360338)
32:Player,BR:0cr300c/cc/cc/r800f:5cQs,2hKs|/4s6dTd/Ts/5s:400,-400(400.000000)
33:BR,Player:0r130c/cc/cc/cr299f:7cQs,5d8c|/2c8s9c/4h/Ts:-230,230(-230.000000)
34:Player,BR:0cc/r130c/r460c/r1380f:JhQs,4sKh|/3s5h8s/Td/6s:690,-690(690.000000)
35:BR,Player:0r130c/cc/cc/cc:6dKs,9hTd|/7c9sTs/8c/7s:230,-230(230.000000)
36:Player,BR:0cc/cc/cc/r130c:4dJh,ThAc|/2s2dJd/6d/Kh:230,-230(77.533378)
37:BR,Player:0r130c/cr299c/cc/cc:9sAc,6sJc|/5c9cQd/2d/8s:529,-529(529.000000)
38:Player,BR:0cc/cc/cc/cc:JsKd,5c9c|/3s8hKs/Kc/Td:100,-100(67.307637)
39:BR,Player:0r200c/cr390c/cc/cc:7h7c,4c6c|/3s9sJh/2s/Qs:690,-690(-418.544347)
40:Player,BR:0cr600f:JsJh,4dQh|:100,-100(100.000000)
41:BR,Player:0cc/cc/cr130f:6cJh,5c8s|/2d3s5h/Ts:-100,100(-100.000000)
42:Player,BR:0cc/cc/cc/cc:ThKd,2h7c|/9dQcAc/6s/5c:100,-100(79.806646)
43:BR,Player:0cc/cc/cr200c/cc:QcAc,2dJs|/9cJdAs/Ts/7s:300,-300(300.000000)
44:Player,BR:0cc/cc/r130c/r115f:7s8c,KcAc|/5s5cTs/Ks/2s:230,-230(230.000000)
45:BR,Player:0r130c/cr299c/cc/cr1058c:QdAh,6cTh|/3dAsAc/8h/Kh:1587,-1587(1520.072257)
46:Player,BR:0cc/cc/cc/cc:5cKs,7d8h|/TcQcAh/Ac/3d:100,-100(57.406421)
47:BR,Player:0r130c/cc/cc/cc:3s4c,9cKh|/2d2c3c/7h/Jh:230,-230(230.000000)
48:Player,BR:0cc/cc/cc/cc:6dKc,5cKs|/2c7hQc/5d/8c:-100,100(-60.670445)
49:BR,Player:0r130c/cc/cc/cr299c:4sJs,8dKc|/2d8cQd/Jh/2h:529,-529(432.199960)
50:Player,BR:0cc/cc/cc/cc:7dQs,8sQc|/9h9dJh/5h/Ts:-100,100(-92.053335)
51:BR,Player:0r130c/cr299f:3s9c,6h7d|/2s4sKc:-230,230(-230.000000)
52:Player,BR:0cr300c/r1200f:6cJc,4c5c|/3d8c9h:400,-400(400.000000)
53:BR,Player:0r130c/cc/cr460c/cc:5d8s,9sTs|/4hTdAc/8c/Jh:-690,690(204.170346)
54:Player,BR:0cr600f:7d8d,3sTd|:100,-100(100.000000)
55:BR,Player:0cc/cc/cc/cr130c:5cTd,KhKd|/JcQdAd/Ks/8c:230,-230(230.000000)
56:Player,BR:0cc/cc/cc/r130f:6sQh,4s8c|/3cJcQc/Js/Ks:100,-100(100.000000)
57:BR,Player:0r200f:2d7h,2c5c|:-100,100(-100.000000)
58:Player,BR:0cc/cc/cc/r130c:6dAh,TdJh|/5h9s9h/7c/5c:230,-230(98.780814)
59:BR,Player:0r200f:2c3d,6s7c|:-100,100(-100.000000)
60:Player,BR:0cr130c/cc/r115c/cc:ThAs,3c4h|/4d4cKs/Qc/7d:-345,345(-337.135593)
61:BR,Player:0r130c/cc/cr115c/cr690c:5d7c,KcAd|/6s8s9c/Ah/3d:1035,-1035(1016.291778)
62:Player,BR:0cc/cc/cc/cc:3cTh,4c6d|/3s3dJh/Qh/Td:100,-100(67.819956)
63:BR,Player:0r130c/cc/cc/cc:6cAc,6sKc|/2sQsAh/7c/6d:230,-230(230.000000)
64:Player,BR:0cc/cc/r200c/cc:2sAh,3dKc|/3h5h5c/3c/Kd:-300,300(-243.775890)
65:BR,Player:0r130c/cc/cr115c/cr1035f:7s9h,7hJc|/5c6h7c/6s/2s:-345,345(-345.000000)
66:Player,BR:0cr300f:5hQh,2s4s|:100,-100(100.000000)
67:BR,Player:0r130c/cc/cr460c/cc:4sKs,5hAc|/3cJsJh/Jc/2h:-690,690(-145.782265)
68:Player,BR:0cr200c/cc/r150c/r225c:6d6c,5cAc|/3h5h8d/7h/8c:675,-675(-40.605376)
69:BR,Player:0r130c/cr299c/cr1058f:8hTd,7dTh|/4s6h9h/6d:-529,529(-529.000000)
70:Player,BR:0cr300c/cc/cc/r520f:4sAs,3cTd|/2hKhAh/Js/3d:400,-400(400.000000)
71:BR,Player:0r130c/cc/cc/cc:9cTc,6cQc|/6h7s9h/2s/Jd:230,-230(230.000000)
72:Player,BR:0cc/cc/r130c/cc:5hQh,JcAd|/3c5s9s/2c/8h:230,-230(117.944447)
73:BR,Player:0r130c/cc/cc/cc:9hQd,JcQh|/2c8cKs/3c/5h:-230,230(-209.641501)
74:Player,BR:0cc/cc/cc/r130c:2hJs,ThTc|/3c4dTs/8h/5c:-230,230(-217.510435)
75:BR,Player:0cc/cr130c/cr299c/cr3174c:9cTc,2sQc|/3s4hTd/7h/5d:3703,-3703(3703.000000)
76:Player,BR:0cr300c/cc/r800c/cc:6hTd,6cAs|/5s8h8d/4d/9c:-1200,1200(-744.853213)
77:BR,Player:0f:4d5d,3h9d|:50,-50(50.000000)
78:Player,BR:0cr300c/cc/cc/r800f:9sKc,3dTc|/7c8d9d/4s/9c:400,-400(400.000000)
79:BR,Player:0r130c/cr299c/cc/cc:5h6c,4cQd|/9hThKh/9c/7d:-529,529(-470.875513)
80:Player,BR:0cc/cc/cc/cc:3sQd,8cQs|/6hThAd/Js/9d:-100,100(-99.146148)
81:BR,Player:0r200c/cr390c/cc/cc:5cJc,6h8h|/5h6sTc/5s/9d:690,-690(690.000000)
82:Player,BR:0cc/cc/cc/cc:3s8s,2sQd|/2d5cTd/Ks/Tc:-100,100(-54.454534)
83:BR,Player:0f:4h8d,3c9d|:50,-50(50.000000)
84:Player,BR:0cc/cc/r130c/r299f:3dQh,5sAd|/6cTcQd/5h/7d:230,-230(230.000000)
85:BR,Player:0r130c/cc/cc/cc:8dTh,3sKd|/6h8cAc/Ts/3d:230,-230(230.000000)
86:Player,BR:0cr200c/cc/cc/cc:7cKs,3d7d|/6c8dJh/As/Ad:300,-300(300.000000)
