In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
1:Player,BR:0cr300f:5cJc,2sTd|:100,-100(100.000000)
2:BR,Player:0r130c/cr299c/cc/cr687c:2dTc,3hQd|/2cJcKc/Td/Jd:1216,-1216(630.270247)
3:Player,BR:0cc/cc/cc/cc:9cQh,4cAd|/2s2d6h/9s/Kc:100,-100(-21.059960)
4:BR,Player:0r130c/cr299c/cr687f:5hJh,7dAs|/7s8cAd/6h:-529,529(-529.000000)
5:Player,BR:0cc/cc/r200c/cc:9cTs,4sTh|/5hJhKd/3c/Td:300,-300(-182.013863)
6:BR,Player:0r200c/cc/cc/cc:5s8s,7cKc|/3c9dAs/Qh/4s:-300,300(-300.000000)
7:Player,BR:0cr600c/cc/r140c/r420c:8s8h,JhQh|/2c6dQc/Jd/3d:-1260,1260(-330.448560)
8:BR,Player:0r130c/cr1380c/cc/cc:8dAd,7dTs|/5h9cAs/7c/2h:1610,-1610(1524.716168)
9:Player,BR:0cr300f:QdAs,3s5s|:100,-100(100.000000)
10:BR,Player:0cc/cr130c/cc/cc:KdAc,4d6s|/7s8dKs/8s/6h:230,-230(230.000000)
11:Player,BR:0cc/cc/cc/r130f:9sAd,6c9d|/3c4sJc/Ac/2d:100,-100(100.000000)
12:BR,Player:0r130c/cr299c/cr687c/cc:7s7h,5s7d|/4sKsKd/Ts/Qs:1216,-1216(679.106454)
13:Player,BR:0cr300c/cc/cc/cc:8hAs,8dAh|/2hJhKd/Kh/9c:0,-0(114.671655)
14:BR,Player:0r130c/cc/cr299f:4c6c,7dQh|/6dQcAs/Jh:-230,230(-230.000000)
15:Player,BR:0cr200c/r390c/cc/cc:3h5d,QsQh|/3s9sQd/8c/6h:-690,690(-690.000000)
16:BR,Player:0cc/cr130c/cc/cr299c:7cJd,6h8s|/5c6c8c/Td/Ts:-529,529(-69.652468)
17:Player,BR:0cc/cc/cc/r300c:5sKc,3cAs|/3s3dKd/7c/8c:-400,400(-392.789215)
18:BR,Player:0r130c/cc/cr115c/cc:6cKd,QsKh|/6sTsAh/Ac/8d:345,-345(328.297112)
19:Player,BR:0cr130c/r690c/cc/r1196f:JcKs,8sJs|/9sQhKh/Qc/3d:920,-920(920.000000)
20:BR,Player:0r300c/cc/cc/cc:7s7d,3h3d|/4h5cKc/4c/9d:400,-400(400.000000)
21:Player,BR:0cc/r600c/cc/r1400c:7sQc,2c8s|/8c9sJd/3h/As:-2100,2100(-2100.000000)
22:BR,Player:0r130c/cr299c/cc/cc:7sJc,5sAd|/3c5h6s/Qc/4s:529,-529(529.000000)
23:Player,BR:0cc/cc/cc/cc:8dAh,7c9d|/5dTcKc/6c/4c:-100,100(-67.578033)
24:BR,Player:0r130c/cr299c/cr1058c/cc:6h6d,TdQh|/4s9d9c/8c/2s:1587,-1587(927.723499)
25:Player,BR:0cc/cc/cc/cc:6cAs,8cKd|/2dThJh/6h/6d:100,-100(30.161997)
26:BR,Player:0r130c/cc/cr115c/cr690f:5c6h,JsAh|/2d7h9c/Jd/7d:-345,345(-345.000000)
27:Player,BR:0cc/cc/cc/cc:2dKh,6dQc|/9s9cTh/Jd/7h:100,-100(82.736550)
28:BR,Player:0r200c/cr600c/cc/cr450f:4h4c,TcAh|/5c6hTh/Js/6s:-900,900(-900.000000)
29:Player,BR:0cc/cc/cc/r300f:8dTh,5dKd|/2c7dAs/5s/8s:100,-100(100.000000)
30:BR,Player:0f:8sJc,2d7h|:50,-50(50.000000)
31:Player,BR:0cc/cc/cc/r130f:5h8d,4hKs|/4c5sAh/3s/Jh:100,-100(100.000000)
32:BR,Player:0f:6d9s,3c8d|:50,-50(50.000000)
33:Player,BR:0cc/cc/cc/r130c:4d9c,ThTd|/4s4cJc/3d/8s:230,-230(-116.319733)
34:BR,Player:0cc/cc/cc/cr200f:4h7s,2cQd|/6hQsAh/9h/3s:-100,100(-100.000000)
35:Player,BR:0cc/cc/cc/cc:4hJc,TdAh|/4s8cTc/3h/Jh:100,-100(-76.821491)
36:BR,Player:0r200c/cc/cr600f:5h7d,9hJh|/8dJcAd/6s:-300,300(-300.000000)
37:Player,BR:0cc/cc/r200c/cc:6hJh,2d7h|/8dTcKd/2h/5c:-300,300(-150.313533)
38:BR,Player:0r130c/cr299c/cr687c/cr1580f:8c9d,5sKd|/4d5d6d/9c/7d:-1216,1216(-1216.000000)
39:Player,BR:0cr300c/r1200f:8d9c,2sJc|/6s6d8s:400,-400(400.000000)
40:BR,Player:0f:2d4d,3cTd|:50,-50(50.000000)
41:Player,BR:0cc/cc/cc/cc:TsKc,JdAc|/5s9cTh/9s/Tc:100,-100(-81.412432)
42:BR,Player:0cc/cc/cc/cc:4cTc,3cTs|/6s8hKh/3d/9s:-100,100(-100.000000)
43:Player,BR:0cr200c/cc/cc/cc:4s4c,9cAh|/3sQdAd/Jc/2d:-300,300(-259.288561)
44:BR,Player:0cc/cr130c/cc/cc:QhAc,4h8c|/3hJsQc/5s/9c:230,-230(230.000000)
45:Player,BR:0cc/cc/cc/r130f:3dKc,6hQd|/4s7s8s/4c/3h:100,-100(100.000000)
46:BR,Player:0r130c/cr299c/cc/cr687f:7cTd,7hKd|/3h8s9d/2d/Qc:-529,529(-529.000000)
47:Player,BR:0cc/cc/cc/r300c:2d7c,6d6c|/3c8hTc/Ks/4d:-400,400(40.375910)
48:BR,Player:0r130c/cc/cc/cr460f:2s8h,6hTd|/ThJdJc/5h/7d:-230,230(-230.000000)
49:Player,BR:0cc/r130c/cc/cc:3h9s,4h7s|/5h6d9d/3d/2d:-230,230(-223.675074)
50:BR,Player:0r130c/cc/cc/cr299f:5h7c,TsQd|/7s8hKh/Tc/3s:-230,230(-230.000000)
51:Player,BR:0cc/cc/r200c/r900c:4sTs,5hKh|/3s5cQc/2c/4d:-1200,1200(-1048.614907)
52:BR,Player:0r130c/cc/cc/cr299c:9dAs,4hJc|/7sTsAd/Js/2h:529,-529(489.348193)
53:Player,BR:0cr600f:JcKd,5d9h|:100,-100(100.000000)
54:BR,Player:0r200c/cc/cc/cc:QcKh,2dAc|/3hTsQh/3s/8h:300,-300(300.000000)
55:Player,BR:0cc/cc/cc/r130c:9sAc,4s9h|/4d5sKd/Kh/Kc:-230,230(-191.155412)
56:BR,Player:0r130c/cc/cr460c/cc:7sAs,TsTh|/3d6sKh/5c/9s:-690,690(-690.000000)
57:Player,BR:0cc/cc/r130c/cc:7d9h,TsKs|/3cTdJc/Kc/3s:-230,230(-219.745110)
58:BR,Player:0r200c/cc/cc/cr390f:4d7h,7sQc|/4cQhAc/2s/5c:-300,300(-300.000000)
59:Player,BR:0cc/cc/r200c/cc:4dAs,9sJc|/9hTdJd/Ks/Kc:-300,300(-300.000000)
60:BR,Player:0f:7hTh,3h8c|:50,-50(50.000000)
61:Player,BR:0cr600c/cc/cc/r1400c:4dKd,TsKh|/2s6cKc/5s/Jd:-2100,2100(-1791.707665)
62:BR,Player:0f:6hJh,3c7s|:50,-50(50.000000)
63:Player,BR:0cr300c/cc/r800c/cc:5h8c,8hQs|/3s3cAh/6s/7c:-1200,1200(-1026.917488)
64:BR,Player:0f:8sKc,2c9h|:50,-50(50.000000)
65:Player,BR:0cr300c/r520c/cc/cc:8hTs,5h5c|/JdKsAs/6h/8c:920,-920(-275.340812)
66:BR,Player:0r130c/cc/cc/cr299f:3s9s,4cKc|/8cThAs/4s/Td:-230,230(-230.000000)
67:Player,BR:0cc/cc/cc/cc:4cAs,8c9d|/5c8h9c/Kd/Kc:-100,100(-86.320276)
