In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:Player,BR:0cr200f:QsKc,2d4h|:100,-100(100.000000)
2:BR,Player:0r130c/cc/cr690c/cr1840c:KdAs,4s8d|/2d6cAc/7s/9s:2760,-2760(2223.097188)
3:Player,BR:0cr300c/r520c/r1196c/cc:4s6c,3s3d|/5s7hJh/9s/Ah:-2116,2116(119.189810)
4:BR,Player:0r130c/cr460c/cc/cc:2c5c,6cJd|/3c5d9c/5s/Ac:690,-690(690.000000)
5:Player,BR:0cc/cc/cc/r200c:7h9d,KhKd|/2c4hAd/2d/7s:-300,300(-66.753722)
6:BR,Player:0r130c/cc/cc/cr690c:6h9s,4cKc|/6d7dTd/Qd/Ah:920,-920(610.445013)
7:Player,BR:0cr300f:8h9s,4c8d|:100,-100(100.000000)
8:BR,Player:0f:7sJh,2c7d|:50,-50(50.000000)
9:Player,BR:0cc/cc/cc/r200f:6hQc,5sAc|/TdJhQh/3d/2s:100,-100(100.000000)
10:BR,Player:0r130c/cc/cr690c/cr1840c:5s5h,3d6d|/3c6cKh/8d/7h:-2760,2760(2170.662096)
11:Player,BR:0cc/cc/cc/cc:4dQh,4s9h|/7sTsAc/7d/8d:100,-100(55.308271)
12:BR,Player:0r130c/cc/cc/cc:6dAd,7cKs|/2s2h9h/As/4d:230,-230(230.000000)
13:Player,BR:0cc/cc/cc/r200c:3dAc,2h5d|/3s6cJh/4s/3h:-300,300(-210.651728)
14:BR,Player:0r130c/cc/cc/cr299c:JdAs,JhKc|/4s6dQd/6h/Js:529,-529(496.061691)
15:Player,BR:0cc/cc/cc/r130f:8s9d,3dKc|/7c9sAh/3c/Qc:100,-100(100.000000)
16:BR,Player:0r130c/cc/cc/cr460f:2h7s,3h7h|/6s6h8c/Kc/Jc:-230,230(-230.000000)
17:Player,BR:0cr300f:7hAh,2s9c|:100,-100(100.000000)
18:BR,Player:0r300c/cc/cc/cc:8hJh,4hQh|/4s9sKh/Td/5c:-400,400(-387.839697)
19:Player,BR:0cr300c/r800c/cc/r600f:TcKd,9hQc|/5d6d9s/Js/Kh:1200,-1200(1200.000000)
20:BR,Player:0r200c/cr600c/cr1800c/cr3510f:5c7s,4h6h|/2h3s5s/Qc/5h:-2700,2700(-2700.000000)
21:Player,BR:0cr200c/cc/r150c/r585f:ThQh,9cKd|/9hTcAs/Kh/Qc:450,-450(450.000000)
22:BR,Player:0f:TcJd,2s5h|:50,-50(50.000000)
23:Player,BR:0cc/cc/cc/cc:2sAh,4s5s|/3s4d4c/8d/Ts:-100,100(-95.136517)
24:BR,Player:0r130c/cc/cc/cr299c:3dAd,9hJs|/3c4d5h/Ks/Th:529,-529(-17.600317)
25:Player,BR:0cc/cc/cc/cc:7sTs,8cJd|/4s4c9d/8d/3c:-100,100(-68.195557)
26:BR,Player:0cc/cr200c/cc/cc:AhAc,4hJd|/6h8sKc/9c/6d:300,-300(300.000000)
27:Player,BR:0cc/cc/r130f:7hKc,2d6c|/8s9cKd/8c:100,-100(100.000000)
28:BR,Player:0r130c/cr299c/cr687c/cc:3sJs,5hAs|/3c4c7s/5c/7c:-1216,1216(-1024.765731)
29:Player,BR:0cc/cc/r130c/r299f:5cQd,6hJc|/2s4h8c/6d/Qs:230,-230(230.000000)
30:BR,Player:0cc/cr130c/cc/cc:8h9h,4c8s|/6cTsKd/8c/9d:230,-230(230.000000)
31:Player,BR:0cr600c/cc/cc/cc:7dAc,7hAs|/2h3hTh/Js/5d:0,-0(529.673821)
32:BR,Player:0r130c/cc/cr299f:3h8s,6sTd|/QdKdKc/4c:-230,230(-230.000000)
33:Player,BR:0cr300c/r520c/cc/cc:6cJc,8sJd|/4h8h9c/9h/Qs:-920,920(-767.535407)
34:BR,Player:0cc/cc/cc/cr130f:3sJd,5s9h|/7h9cKc/7c/4h:-100,100(-100.000000)
35:Player,BR:0cc/cc/cc/cc:4hTc,7cKh|/5s5cJc/3h/Jd:-100,100(-64.688510)
36:BR,Player:0cc/cr130c/cr460c/cr897c:7sKc,TsJh|/2s5s7h/6c/5c:1587,-1587(1287.210735)
37:Player,BR:0cc/cc/r200c/cc:9dTh,2s4d|/2c7dAh/6s/Qc:-300,300(-283.362836)
38:BR,Player:0r300c/cr520f:6d8c,7h8h|/4d9hAd:-400,400(-400.000000)
39:Player,BR:0cc/cc/r130f:8sTh,3c9c|/2d4d8d/7s:100,-100(100.000000)
40:BR,Player:0r130c/cc/cc/cc:4hQc,3sAd|/5s8c9h/Jd/9d:-230,230(-230.000000)
41:Player,BR:0cc/cc/cc/cc:3d8h,2sAh|/2d4d9s/2c/9h:-100,100(-82.807195)
42:BR,Player:0f:4hQh,3c7s|:50,-50(50.000000)
43:Player,BR:0cr300f:7hJh,3d5d|:100,-100(100.000000)
44:BR,Player:0r200c/cr390c/cr345c/cr2070c:9sAs,TdQh|/3s5h7c/6h/6s:3105,-3105(2321.189978)
45:Player,BR:0cc/cc/cc/r130c:6sTc,3hTs|/5dThQh/9d/8d:0,-0(-57.251277)
46:BR,Player:0r200c/cr390c/cr1380f:7hKs,3sQc|/2c8sAc/Js:-690,690(-690.000000)
47:Player,BR:0cr130c/cc/r115f:4h4c,2sQd|/6d8dJc/3h:230,-230(230.000000)
48:BR,Player:0r130c/cr299c/cc/cc:2dJd,6dTh|/3h5dKd/Td/7s:529,-529(529.000000)
49:Player,BR:0cc/cc/r300f:6dJd,9cTh|/5c9dQd/7h:100,-100(100.000000)
50:BR,Player:0r130c/cc/cr460c/cc:2h5s,TsJs|/5cThAs/3h/Kh:-690,690(206.241984)
51:Player,BR:0cr200c/cc/r150c/cc:6d7c,5cKs|/8dThTc/7s/Kh:-450,450(-290.727313)
52:BR,Player:0r130c/cr299c/cr1058c/cc:3s8s,4s9s|/8dQsAh/Tc/Jc:-1587,1587(-1587.000000)
53:Player,BR:0cc/cc/cc/cc:5cAd,2d4c|/2h6hQd/Jh/8d:-100,100(-27.308746)
54:BR,Player:0r300c/cc/cc/cr520c:4sAc,2cKh|/3s8h9c/Jd/7d:920,-920(522.072212)
55:Player,BR:0cc/cc/r130c/r690f:2dKh,3s9s|/9cKsKc/8h/Jd:230,-230(230.000000)
56:BR,Player:0r200c/cr390c/cr897c/cr2063c:KsKc,5hJc|/4s6hAd/3d/Qh:3650,-3650(3650.000000)
57:Player,BR:0cc/cc/cc/cc:2cQs,5h9d|/6s7sJd/Jh/4d:100,-100(79.738702)
58:BR,Player:0r130c/cr460c/cc/cc:TdKs,8cJh|/4d7dAs/9h/7c:690,-690(690.000000)
59:Player,BR:0cr300f:7cQc,4d8c|:100,-100(100.000000)
60:BR,Player:0r130c/cc/cr299c/cc:JhAs,5cQc|/3d4cKs/8h/Ac:529,-529(529.000000)
61:Player,BR:0cc/cc/cc/cc:9cJh,8sQs|/5cTsKc/4s/4c:-100,100(19.322596)
62:BR,Player:0f:7cAh,3sTd|:50,-50(50.000000)
63:Player,BR:0cc/cc/cc/r130c:7hQc,4h5c|/7c8hKh/6s/2d:-230,230(-222.145184)
64:BR,Player:0r130c/cc/cr115c/cc:5dQh,2cAh|/3h8hKs/3d/7s:-345,345(-268.841890)
65:Player,BR:0cr300c/cc/r200c/r1200c:6d7d,TdAc|/QhKsKd/5s/9h:-1800,1800(-890.734260)
66:BR,Player:0f:5hQd,2h4s|:50,-50(50.000000)
67:Player,BR:0cr600f:TsAc,3c7c|:100,-100(100.000000)
68:BR,Player:0r130c/cc/cr460f:6sJd,JsAc|/8hKsAs/Qd:-230,230(-230.000000)
69:Player,BR:0cc/cc/cc/cc:5cKd,3s3d|/7h9sQs/8h/Ah:-100,100(16.160635)
70:BR,Player:0r200c/cc/cc/cr390c:5hTh,5dAs|/4c6s6d/2h/3s:0,-0(628.454858)
71:Player,BR:0cc/cc/cc/cc:2dAs,QhKd|/3s3h8s/Td/Qs:-100,100(-83.461096)
72:BR,Player:0r200c/cc/cc/cc:4s5s,8c9c|/8hJsQh/6h/Kh:-300,300(-300.000000)
73:Player,BR:0cr200c/cc/cc/r150f:7s7c,3hTs|/4d8sJc/4c/9h:300,-300(300.000000)
74:BR,Player:0r130c/cc/cr690f:2sJd,QdKh|/3h4dKs/7d:-230,230(-230.000000)
75:Player,BR:0cr300c/cc/cc/cc:TcKc,4cJd|/3d5s7h/7d/Qd:400,-400(400.000000)
76:BR,Player:0r200c/cr600c/cc/cc:4hAs,9cQd|/3s6c9s/Th/8c:-900,900(-712.434743)
77:Player,BR:0cc/cc/cc/cc:4dTs,QsKs|/6dQhQc/3s/3c:-100,100(-96.908730)
78:BR,Player:0r130c/cr460f:3s7d,4c7c|/2c5s6d:-230,230(-230.000000)
79:Player,BR:0cr300c/cc/cc/r520c:8sAd,5sTc|/3c5h9c/Ac/4d:920,-920(355.416452)
80:BR,Player:0r130c/cc/cr115c/cc:5h6c,2dKs|/3d6hQh/5d/2h:345,-345(345.000000)
81:Player,BR:0cr300c/cc/r200c/r300f:3s5h,6cQh|/4d5sTd/7s/7h:600,-600(600.000000)
82:BR,Player:0f:2d3s,2h3c|:50,-50(50.000000)
83:Player,BR:0cc/cc/cc/r130c:5cTd,JhJc|/4s4dAs/9s/3s:-230,230(-35.176688)
84:BR,Player:0r130c/cr460c/cc/cr1380f:TdKd,9cJh|/3h8h8c/Jc/6h:-690,690(-690.000000)
85:Player,BR:0cr300c/cc/r200c/r300c:5d6d,7dTh|/5s7hKh/2h/7c:-900,900(-832.452581)
86:BR,Player:0r130c/cc/cc/cc:5c9h,2hQh|/KsKdAd/5s/4h:230,-230(216.426260)
87:Player,BR:0cc/cc/cc/r130c:9dQh,4c9s|/2d7dAh/9h/Ts:230,-230(-109.280740)
88:BR,Player:0r130c/cr460c/cc/cc:3d7d,7sQd|/2d8s9d/Jh/8d:690,-690(690.000000)
89:Player,BR:0cc/cc/cc/cc:TsAd,2c7h|/5h6dJs/9c/5d:100,-100(95.185409)
90:BR,Player:0r200c/cr390c/cc/cc:3s7d,7cTh|/2h3d5s/5c/4h:690,-690(391.600552)
91:Player,BR:0cc/cc/cc/r200f:4sJd,4d7s|/5c8sQc/2d/Qd:100,-100(100.000000)
92:BR,Player:0cc/cc/cr200f:2h4s,QcAc|/9cTsQd/Ad:-100,100(-100.000000)
93:Player,BR:0cr600c/cc/cc/r910c:9cJc,7dQs|/5s6dJh/Qd/2d:-1610,1610(-1266.282764)
94:BR,Player:0f:6h9c,2c8d|:50,-50(50.000000)
95:Player,BR:0cc/cc/r130c/cc:2d4c,7hJh|/3h8hKs/4s/Ad:230,-230(34.919876)
96:BR,Player:0cc/cc/cc/cr130f:4d9d,2sJs|/6dJhAh/Kh/8c:-100,100(-100.000000)
97:Player,BR:0cc/cc/cc/r130f:7sJd,3sJs|/4s6hTh/Kd/5h:100,-100(100.000000)
