In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
1:Player,BR:0cr600f:5dAs,2c8s|:100,-100(100.000000)
2:BR,Player:0r200c/cr390c/cc/cc:9sTd,6d9d|/5c6sQs/3d/2c:-690,690(-434.836911)
3:Player,BR:0cc/cc/cc/cc:2d5s,7hKc|/9hKhKd/Jd/6d:-100,100(-93.483943)
4:BR,Player:0r130c/cr299c/cr1058c/cc:2s4d,8hQd|/2h6h8d/2d/6d:1587,-1587(1512.002129)
5:Player,BR:0cr200c/r900c/cc/cc:TdAh,5cQs|/8cQhAd/8s/9d:1200,-1200(56.220600)
6:BR,Player:0r130c/cc/cc/cr299f:4c5h,5c8s|/6hThQd/4d/3s:-230,230(-230.000000)
7:Player,BR:0cr600c/cc/cc/cc:5sKs,JhQs|/2d7dQh/Ad/Td:-700,700(-22.239485)
8:BR,Player:0r200c/cc/cc/cc:5s9h,3h3d|/TdQdAc/8h/6c:-300,300(-300.000000)
9:Player,BR:0cr600f:7s7h,4c9d|:100,-100(100.000000)
10:BR,Player:0cc/cc/cc/cc:QdKc,5hAd|/3d7sJc/9d/Tc:100,-100(100.000000)
11:Player,BR:0cr300f:JdKh,3c5c|:100,-100(100.000000)
12:BR,Player:0r130c/cr299c/cc/cr1058f:3s3h,QcKh|/9dThKs/Ad/Jd:-529,529(-529.000000)
13:Player,BR:0cr1200f:3d9d,7h8d|:100,-100(100.000000)
14:BR,Player:0r200c/cc/cc/cc:9sAd,TsTc|/8c9dQc/As/Kc:300,-300(300.000000)
15:Player,BR:0cc/cc/cc/r130c:5hTs,2s4c|/8hQhKh/2h/2d:230,-230(66.012709)
16:BR,Player:0cc/cc/cc/cc:2cAc,9cAs|/3c8hKc/5c/7d:100,-100(100.000000)
17:Player,BR:0cc/cc/r130c/r115f:2d5c,7cAh|/3h6hJc/Js/Qs:230,-230(230.000000)
18:BR,Player:0r200c/cc/cr150f:4h8d,3hQs|/7s7dJh/2c:-300,300(-300.000000)
19:Player,BR:0cc/cc/cc/r130c:6hTc,KdKc|/ThAsAh/4d/8c:-230,230(-215.229432)
20:BR,Player:0r200c/cc/cc/cc:6h8h,TsKs|/6d8cAh/9c/Jd:300,-300(300.000000)
21:Player,BR:0cc/cc/cc/r130f:6hJs,JhKh|/6d7s8c/4d/8h:100,-100(100.000000)
22:BR,Player:0r130c/cc/cr299c/cr1587c:TdAc,4h6h|/3c9dKc/5s/Ah:2116,-2116(969.363053)
23:Player,BR:0cc/cc/cc/cc:4cAs,QhKs|/7dJhQs/Kd/2d:-100,100(-96.577213)
24:BR,Player:0r200c/cc/cr150c/cr585c:QcKd,6hJd|/6d7h7d/3c/5c:-1035,1035(53.713390)
25:Player,BR:0cc/cc/r130c/r460f:6s8d,9sQc|/2d3h4h/Jh/5d:230,-230(230.000000)
26:BR,Player:0r200c/cr900c/cc/cc:8s9s,2s5s|/4s8cAc/Kh/7c:1200,-1200(1200.000000)
27:Player,BR:0cc/cc/cc/cc:7sKd,8hQd|/8dQhQc/Td/2h:-100,100(-99.707668)
28:BR,Player:0r130c/cc/cc/cc:6s9c,ThQd|/2c5s7s/9h/Ah:230,-230(230.000000)
29:Player,BR:0cc/cc/cc/cc:5d9d,5s6d|/8dJcQd/4c/8h:100,-100(80.059913)
