In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
1:Player,BR:0cr200f:4h4d,2d7h|:100,-100(100.000000)
2:BR,Player:0cc/cr200c/cr390c/cc:5c6h,3c6d|/2d5dTs/9d/9h:690,-690(442.664254)
3:Player,BR:0cc/cc/r130c/r460f:4sTs,JcAc|/4c6d7c/4d/7h:230,-230(230.000000)
4:BR,Player:0r200c/cc/cc/cc:6h8s,5hJh|/3sQhKd/Ah/2c:-300,300(-300.000000)
5:Player,BR:0cc/cc/cc/r130c:7hJc,6c7c|/2sTcAh/3c/7s:230,-230(-2.477018)
6:BR,Player:0f:2h5d,2cJh|:50,-50(50.000000)
7:Player,BR:0cc/cc/cc/cc:6cJs,5dJc|/4h8dJd/Ad/Ks:0,-0(-69.144919)
8:BR,Player:0r200c/cc/cr390c/cc:3sKd,8sQs|/4d5dTs/7d/5h:690,-690(-416.812983)
9:Player,BR:0cr600f:5dAd,2cJc|:100,-100(100.000000)
10:BR,Player:0r130c/cc/cc/cr299f:2h5s,8cKc|/QsAhAd/3c/Kd:-230,230(-230.000000)
11:Player,BR:0cc/cc/cc/cc:7sTc,KcAs|/3c4sQh/Kd/4d:-100,100(-81.922755)
12:BR,Player:0r130c/cc/cc/cr299c:3d6s,TsJs|/4c6cKh/Qs/Th:-529,529(-223.835163)
13:Player,BR:0cc/cc/cc/cc:3sKd,9sAh|/8sJcAd/7d/8d:-100,100(-65.104257)
14:BR,Player:0r200c/cc/cc/cc:7sJs,JcAs|/7h9hTd/3c/5c:300,-300(300.000000)
15:Player,BR:0cc/cc/cc/r130f:6s9h,2d7s|/3dTsKh/9c/Ad:100,-100(100.000000)
16:BR,Player:0r130c/cr460c/cr2070c/cr8280f:6d9d,6h8c|/3c4d5c/7h/6s:-2760,2760(-2760.000000)
17:Player,BR:0cr300c/cc/r200c/r300c:QdAc,9sAh|/5cJhKd/As/5s:0,-0(-77.465350)
18:BR,Player:0r130c/cc/cc/cc:5dTc,7cKs|/9dQcAd/4c/Js:-230,230(-230.000000)
19:Player,BR:0cc/cc/cc/cc:7sKd,KsKh|/8dJdQs/2c/5d:-100,100(-86.755971)
20:BR,Player:0r130c/cr460c/cc/cc:5h9d,6hTd|/5dQcAd/2s/5s:690,-690(690.000000)
21:Player,BR:0cr200c/cc/cc/cc:6d7h,6cQs|/8cTdJs/9d/Th:-300,300(-269.177953)
22:BR,Player:0cc/cc/cr130c/cc:4c5h,7dAc|/4h5c6h/3h/2h:230,-230(230.000000)
23:Player,BR:0cc/cc/r130c/r299c:2s6h,TdTc|/5h7d8s/8d/8c:-529,529(-470.643035)
24:BR,Player:0cc/cr130f:4d7h,4c8d|/2h5hQd:-100,100(-100.000000)
25:Player,BR:0cc/cc/r130c/cc:4h5s,4c5d|/2d3sAh/2s/8s:0,-0(-227.409262)
26:BR,Player:0r130c/cr299f:3c7c,4s7d|/TcJdKd:-230,230(-230.000000)
27:Player,BR:0cc/cc/cc/r130c:2sJc,3cJh|/6h8dKd/7h/Js:0,-0(-144.050100)
28:BR,Player:0cc/cc/cc/cc:8cAs,2dKd|/7s8hAh/Ad/Tc:100,-100(100.000000)
29:Player,BR:0cc/cc/cc/r130c:8h9c,4hAc|/3dQdAs/Ad/5s:-230,230(-218.216924)
30:BR,Player:0r200c/cc/cc/cr600c:5cKd,7sJd|/9dTdTc/6h/3c:900,-900(734.631544)
31:Player,BR:0cr300c/cc/r520c/r1196c:3h4s,JhKs|/TdKcAs/7h/Kd:-2116,2116(-1860.124864)
32:BR,Player:0r130c/cc/cr115f:8hTd,3sAh|/5s7hAs/Ad:-230,230(-230.000000)
33:Player,BR:0cr300c/cc/r1200c/r320c:8c9d,TsJs|/2s6cTd/3h/8s:-1920,1920(-813.535883)
34:BR,Player:0f:JdAh,4h9c|:50,-50(50.000000)
35:Player,BR:0cr300c/r520c/r460c/cc:KsAc,7cQh|/2s3s3c/8d/9d:1380,-1380(1370.139078)
36:BR,Player:0r200c/cc/cc/cr600c:6c7s,8c9d|/3c4sAs/8s/5d:900,-900(868.831238)
37:Player,BR:0cr300f:TcQh,3d4s|:100,-100(100.000000)
38:BR,Player:0r130c/cc/cr299c/cc:2hJs,8dQd|/2d4h7h/5d/9s:529,-529(-161.091340)
39:Player,BR:0cc/cc/cc/cc:TdQh,8dJd|/3c7sAd/9s/5c:100,-100(85.236041)
40:BR,Player:0r200c/cc/cc/cc:5dQc,4d6h|/8dTsTc/As/6s:-300,300(-258.414712)
41:Player,BR:0cc/cc/cc/r200f:7sQs,2c3c|/7cKhKd/7d/Td:100,-100(100.000000)
42:BR,Player:0r130c/cr299c/cc/cc:6d8s,9sJs|/2c6sKs/Ad/Kc:529,-529(308.312989)
43:Player,BR:0cr300c/cc/r2400c/r3640f:KsKd,8cTs|/6s7cTh/2c/4h:2800,-2800(2800.000000)
44:BR,Player:0cc/cr130c/cr460c/cc:8cJs,7hAs|/3s5cKc/6s/5d:-690,690(-108.613071)
45:Player,BR:0cr300f:JhJd,2h7c|:100,-100(100.000000)
46:BR,Player:0r200c/cr390c/cc/cr897f:9dTs,JcAs|/5h8hAd/7h/Kd:-690,690(-690.000000)
47:Player,BR:0cc/cc/r130f:8cAh,2d5c|/4sThAs/9c:100,-100(100.000000)
48:BR,Player:0r130c/cc/cr115c/cc:7hQc,5d8s|/9cJcAs/6c/Jh:345,-345(-75.774062)
49:Player,BR:0cc/cc/r130c/cc:5h9h,3sJd|/7d8hQs/Kc/5d:230,-230(5.312310)
50:BR,Player:0r130c/cr460c/cc/cc:3cKs,8s9s|/2cThJs/6c/Jd:690,-690(172.625871)
51:Player,BR:0cc/cc/cc/r130f:8c9d,5sQh|/4s9sTc/Kh/6d:100,-100(100.000000)
52:BR,Player:0r130c/cc/cc/cc:8sQh,4cQd|/4h8d9h/As/6s:230,-230(230.000000)
53:Player,BR:0cr130c/cc/r115c/r172c:4hAh,9dAs|/3d4s7h/3c/2c:517,-517(271.966881)
54:BR,Player:0r130c/cc/cc/cr299f:6cKc,5s6d|/5d9hTs/4d/4c:-230,230(-230.000000)
55:Player,BR:0cc/cc/cc/r130f:2h6c,7sQc|/4d9s9d/Jd/6h:100,-100(100.000000)
56:BR,Player:0r130c/cc/cc/cc:6cTc,4sJd|/QsQcAc/Js/8c:230,-230(230.000000)
57:Player,BR:0cc/cc/cc/r130f:2c4d,6sAc|/7dTdKs/Kd/5s:100,-100(100.000000)
58:BR,Player:0r130c/cr299c/cc/cc:TcQs,9cAs|/6s8cJh/9s/5s:529,-529(529.000000)
59:Player,BR:0cc/cc/cc/r200f:5hKc,4dKd|/3h6hTh/Ah/Ks:100,-100(100.000000)
60:BR,Player:0r130c/cc/cc/cr299c:TsJd,3dAh|/5h6cAd/6s/Ac:-529,529(-118.468942)
61:Player,BR:0cr200c/cc/cc/cc:9hAh,QsQh|/4c5s8d/6c/3s:-300,300(-251.531627)
62:BR,Player:0cc/cc/cc/cc:5s9c,3dAc|/2c7hKs/4s/Qc:-100,100(-100.000000)
63:Player,BR:0cr600c/cc/cc/r140c:QdAd,8s8h|/3d6d9d/Qh/2d:840,-840(-467.437586)
64:BR,Player:0r130c/cc/cc/cc:7cAs,5dAh|/4dJhKc/9d/6d:230,-230(-124.824501)
65:Player,BR:0cr300c/cc/r200c/r120c:4d7d,3cAs|/4h7cAc/Ad/Kc:-720,720(-650.657429)
66:BR,Player:0r130c/cr299c/cr687f:JsQs,6c8d|/2h4c9c/5c:-529,529(-529.000000)
67:Player,BR:0cc/cc/cc/cc:3cKc,6s6d|/3sJsQs/Tc/Qd:-100,100(-69.197996)
68:BR,Player:0cc/cr130c/cc/cc:3sAh,2hQd|/2s9d9c/5c/Jc:-230,230(-226.852498)
69:Player,BR:0cr300c/cc/r200c/cc:5sQh,3dKc|/2d2c7s/6d/6s:-600,600(395.557106)
70:BR,Player:0f:3dKh,2s6h|:50,-50(50.000000)
71:Player,BR:0cc/cc/r130c/r299f:7hAc,4sTd|/JsKcAd/2s/5s:230,-230(230.000000)
72:BR,Player:0f:7h8d,2s4c|:50,-50(50.000000)
73:Player,BR:0cr300c/cc/r520c/r1196c:6h9d,8dJd|/4d5hJc/5d/4c:-2116,2116(-1900.109894)
74:BR,Player:0r130c/cc/cr299f:6sTc,6h6d|/4d7sJs/3h:-230,230(-230.000000)
75:Player,BR:0cc/cc/cc/r300c:5sJh,TsJs|/2d3h6c/6h/9d:-400,400(-177.816582)
76:BR,Player:0r130c/cr460f:3cTc,3s5d|/2d4h6c:-230,230(-230.000000)
77:Player,BR:0cr200c/r390c/cc/r1380f:6cQc,6dKd|/2d7cTh/4s/Qh:690,-690(690.000000)
78:BR,Player:0r200c/cc/cc/cr600f:7s9s,8cKd|/4h6sKs/Qh/Tc:-300,300(-300.000000)
79:Player,BR:0cc/cc/cc/cc:5dQh,4sAc|/8cKsKh/2d/As:-100,100(-83.407810)
80:BR,Player:0cc/cc/cc/cc:QcKc,6d6c|/3c7hKd/9c/8s:100,-100(100.000000)
81:Player,BR:0cc/cc/cc/cc:2sJd,3d8d|/5sKcAs/3h/Kd:-100,100(-89.040521)
82:BR,Player:0cc/cr130c/cc/cr460f:4d8h,TsJh|/4s5c9s/Qc/3h:-230,230(-230.000000)
83:Player,BR:0cr300c/r520c/r1840c/r552f:QsAh,9dJs|/9hTcAc/Ks/Ts:2760,-2760(2760.000000)
84:BR,Player:0r130c/cc/cc/cr460c:4h6h,JsKd|/5c7d8h/4s/9h:690,-690(667.474338)
85:Player,BR:0cr600c/r1400f:JsKc,3cQc|/2s7h9s:700,-700(700.000000)
86:BR,Player:0r200c/cc/cc/cr390c:4sTc,6h7c|/2sTdQc/9s/Qd:690,-690(551.371174)
87:Player,BR:0cr300c/cc/r200c/r120c:4d8d,6c7s|/4h5s7d/5h/Js:-720,720(-298.384470)
88:BR,Player:0r200c/cr390c/cc/cc:JdQh,8sAd|/3h5c7s/Qs/4d:690,-690(690.000000)
89:Player,BR:0cc/cc/r200f:8c9h,6c7h|/4sQcKs/2d:100,-100(100.000000)
90:BR,Player:0r130c/cc/cr460c/cc:3dQd,6sQs|/5d8dAh/2c/8s:-690,690(-390.164593)
91:Player,BR:0cr200c/cc/r600c/r1800f:KcAs,JsKs|/2s3s3h/Kh/4d:900,-900(900.000000)
92:BR,Player:0cc/cr130c/cr299f:8sKd,7sQs|/5s5dQd/Js:-230,230(-230.000000)
93:Player,BR:0cc/cc/cc/r130f:2s7s,4s9s|/6d7h8c/9c/7d:100,-100(100.000000)
94:BR,Player:0r130c/cc/cr115c/cc:5s6h,2d8d|/7c9cQs/7d/2h:-345,345(-345.000000)
95:Player,BR:0cr300f:KhAc,2h4s|:100,-100(100.000000)
96:BR,Player:0f:8c9h,2cTd|:50,-50(50.000000)
97:Player,BR:0cr200c/cc/cc/cc:KsAh,4s7s|/2s8sJh/3s/7d:-300,300(-291.252401)
98:BR,Player:0cc/cc/cc/cc:7cJd,3cQd|/7hKhAs/Td/Ah:100,-100(85.830740)
99:Player,BR:0cr130c/cc/cc/cc:7sAc,4hQd|/6sTdKd/5d/7d:-230,230(-217.286150)
