In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr19900f:5cKh,8hKc|/3d4h8d/8c:-100,100(-100.000000)
3:BR,Player:0cc/cc/r200f:KsAd,2hKc|/4d7sAc/Qs:100,-100(100.000000)
4:Player,BR:0cr300c/cc/cr800f:JdQs,3s7d|/2s5cKc/4s:-400,400(-400.000000)
5:BR,Player:0r130c/cr299c/cr687r2432f:7cJh,2h5h|/4c8dKd/9s:1216,-1216(1216.000000)
6:Player,BR:0cc/cc/cc/r200c:3s4c,2s2h|/7hThJd/Qd/Qc:-300,300(-252.445325)
7:BR,Player:0f:7hQc,2d6s|:50,-50(50.000000)
8:Player,BR:0cr300c/r520c/r1196c/r6348c:4d7h,5cKd|/6h8hQc/Js/2c:-8464,8464(-4582.139656)
9:BR,Player:0r130c/cc/r460f:8hTc,8sKh|/3h6dQc/Ts:230,-230(230.000000)
10:Player,BR:0cc/cc/r200r600f:2c3s,QsQc|/5dThTc/4h:-300,300(-300.000000)
11:BR,Player:0r130c/cr299c/r19471f:8dTc,5c7h|/2hTsTh/2c:529,-529(529.000000)
12:Player,BR:0cc/cc/cc/cr19900f:3c6d,6sQs|/ThJcKs/3h/7c:-100,100(-100.000000)
13:BR,Player:0r130c/cr299c/r1058c/cc:2s4c,5dAd|/5cThAh/Td/9h:-1587,1587(-1587.000000)
14:Player,BR:0cc/cc/r200r600f:7dTs,9cKd|/3s4c9h/8c:-300,300(-300.000000)
15:BR,Player:0r130c/cc/r460f:KhKd,7hKs|/2c9h9d/Js:230,-230(230.000000)
16:Player,BR:0cr300c/cc/cc/cr800f:5cQc,6cTc|/6sKhAh/3h/Qh:-400,400(-400.000000)
17:BR,Player:0cc/cc/r200c/r600c:3s4d,8hTc|/3h4cQs/Td/8s:-900,900(638.328491)
18:Player,BR:0cr600c/cc/r1400r17900f:5c8s,6hKh|/6dThQh/9s:-2100,2100(-2100.000000)
19:BR,Player:0r130c/cc/cr299r1058c/cr2063c:3sTc,JdKh|/7dTdAh/Ks/Kc:-3650,3650(1430.900185)
20:Player,BR:0cr300c/cc/cr800f:6sJs,9dTs|/4c9hAh/8d:-400,400(-400.000000)
21:BR,Player:0cc/cr200c/r600f:4cQc,3d4s|/6s7sTd/Kh:300,-300(300.000000)
22:Player,BR:0cr200c/cc/r600r1800c/cr17300f:ThKs,8hJd|/2c8cTs/3s/7d:-2700,2700(-2700.000000)
23:BR,Player:0r200c/cr390c/cr2070r5520f:ThAs,2sAc|/3h4d9s/8s:2760,-2760(2760.000000)
