In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
1:BR,Player:0f:5cJc,2sTd|:50,-50(50.000000)
2:Player,BR:0cc/cc/r300r800c/cr2400f:2dTc,3hQd|/2cJcKc/Td/Jd:-1200,1200(-1200.000000)
3:BR,Player:0cc/cc/r200f:9cQh,4cAd|/2s2d6h/9s:100,-100(100.000000)
4:Player,BR:0cc/cc/r200r600f:5hJh,7dAs|/7s8cAd/6h:-300,300(-300.000000)
5:BR,Player:0r130c/cr460c/cc/cc:9cTs,4sTh|/5hJhKd/3c/Td:690,-690(690.000000)
6:Player,BR:0cc/cc/cc/cr200f:5s8s,7cKc|/3c9dAs/Qh/4s:-100,100(-100.000000)
7:BR,Player:0r200c/cr390c/cr2070r5520r10764f:8s8h,JhQh|/2c6dQc/Jd:-8280,8280(-8280.000000)
8:Player,BR:0cr300c/cc/cr800c/cr18800f:8dAd,7dTs|/5h9cAs/7c/2h:-1200,1200(-1200.000000)
9:BR,Player:0r130c/cr299c/r1058f:QdAs,3s5s|/4dTdAc/Jd:529,-529(529.000000)
10:Player,BR:0cr300c/r520c/cr1840c/cc:KdAc,4d6s|/7s8dKs/8s/6h:2760,-2760(2760.000000)
11:BR,Player:0r200c/cr900c/r2400f:9sAd,6c9d|/3c4sJc/Ac:1200,-1200(1200.000000)
12:Player,BR:0cr200c/cc/r150c/r585r2070f:7s7h,5s7d|/4sKsKd/Ts/Qs:-1035,1035(-1035.000000)
13:BR,Player:0r130c/cc/cc/r19770f:8hAs,8dAh|/2hJhKd/Kh/9c:230,-230(230.000000)
14:Player,BR:0cr600c/r910c/r2093c/r740r15557f:4c6c,7dQh|/6dQcAs/Jh/2s:-4443,4443(-4443.000000)
15:BR,Player:0r130c/cr690c/cr2760r7360r8960f:3h5d,QsQh|/3s9sQd/8c:-11040,11040(-11040.000000)
16:Player,BR:0cc/cc/cr200r1800r4200f:7cJd,6h8s|/5c6c8c/Td:-2100,2100(-2100.000000)
17:BR,Player:0r130c/cr690c/cr1840c/cr8280f:5sKc,3cAs|/3s3dKd/7c/8c:-2760,2760(-2760.000000)
18:Player,BR:0cc/cc/r130r19770f:6cKd,QsKh|/6sTsAh/Ac:-230,230(-230.000000)
19:BR,Player:0r130c/cr299c/r1058f:JcKs,8sJs|/9sQhKh/Qc:529,-529(529.000000)
20:Player,BR:0cr300c/cc/cc/cc:7s7d,3h3d|/4h5cKc/4c/9d:400,-400(-145.434681)
21:BR,Player:0f:7sQc,2c8s|:50,-50(50.000000)
22:Player,BR:0cc/cc/r130c/r460r19310f:7sJc,5sAd|/3c5h6s/Qc/4s:-690,690(-690.000000)
23:BR,Player:0r130c/cr299c/cr1058r18413f:8dAh,7c9d|/5dTcKc/6c:1587,-1587(1587.000000)
24:Player,BR:0cr200c/r600c/cr19100f:6h6d,TdQh|/4s9d9c/8c:-900,900(-900.000000)
25:BR,Player:0r130c/cc/cr115c/r19655f:6cAs,8cKd|/2dThJh/6h/6d:345,-345(345.000000)
26:Player,BR:0cr200c/r390c/cr1380f:5c6h,JsAh|/2d7h9c/Jd:-690,690(-690.000000)
27:BR,Player:0r130c/cr299c/cc/r1058f:2dKh,6dQc|/9s9cTh/Jd/7h:529,-529(529.000000)
28:Player,BR:0cr200c/cc/cr600f:4h4c,TcAh|/5c6hTh/Js:-300,300(-300.000000)
29:BR,Player:0cc/cc/cr130r460c/cc:8dTh,5dKd|/2c7dAs/5s/8s:690,-690(463.240779)
30:Player,BR:0cr130c/cc/r115c/r690r2070f:8sJc,2d7h|/3h3dTd/5d/Ah:-1035,1035(-1035.000000)
31:BR,Player:0r130c/cc/cc/r19770f:5h8d,4hKs|/4c5sAh/3s/Jh:230,-230(230.000000)
32:Player,BR:0cr200c/cc/cr600c/cr1800c:6d9s,3c8d|/6c8cKc/7s/3h:-2700,2700(-1946.082429)
33:BR,Player:0r130c/cc/r460c/r19310f:4d9c,ThTd|/4s4cJc/3d/8s:690,-690(690.000000)
34:Player,BR:0cc/cc/r300r800f:4h7s,2cQd|/6hQsAh/9h:-400,400(-400.000000)
35:BR,Player:0r130c/cr299c/cr1058c/r18413f:4hJc,TdAh|/4s8cTc/3h/Jh:1587,-1587(1587.000000)
36:Player,BR:0cr200c/r390c/r2070r5520f:5h7d,9hJh|/8dJcAd/6s:-2760,2760(-2760.000000)
37:BR,Player:0f:6hJh,2d7h|:50,-50(50.000000)
38:Player,BR:0cc/cc/r200c/cr600f:8c9d,5sKd|/4d5d6d/9c/7d:-300,300(-300.000000)
39:BR,Player:0cc/cr130c/cr460f:8d9c,2sJc|/6s6d8s/Jd:-230,230(-230.000000)
40:Player,BR:0cr300c/r520c/cr1840f:2d4d,3cTd|/5c6hJc/6c:-920,920(-920.000000)
41:BR,Player:0cc/cc/r200c/r600r1170c:TsKc,JdAc|/5s9cTh/9s/Tc:2070,-2070(2070.000000)
42:Player,BR:0cc/cc/cc/cc:4cTc,3cTs|/6s8hKh/3d/9s:-100,100(-33.837197)
