In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:BR,Player:0f:QsKc,2d4h|:50,-50(50.000000)
2:Player,BR:0cr600c/cc/r2100r17200f:KdAs,4s8d|/2d6cAc/7s:-2800,2800(-2800.000000)
3:BR,Player:0r200c/cc/cc/r600f:4s6c,3s3d|/5s7hJh/9s/Ah:300,-300(300.000000)
4:Player,BR:0cr200c/r390c/cr1380c/r414r17516f:2c5c,6cJd|/3c5d9c/5s/Ac:-2484,2484(-2484.000000)
5:BR,Player:0r130c/cc/r460c/cc:7h9d,KhKd|/2c4hAd/2d/7s:-690,690(235.436524)
6:Player,BR:0cr200c/cc/r150f:6h9s,4cKc|/6d7dTd/Qd:300,-300(300.000000)
7:BR,Player:0cc/cr130c/cc/r460f:8h9s,4c8d|/7hKsKc/9h/2d:230,-230(230.000000)
8:Player,BR:0cc/cc/r130r460c/cc:7sJh,2c7d|/3s6h8h/Jd/Qh:690,-690(690.000000)
9:BR,Player:0cc/cr200c/r600f:6hQc,5sAc|/TdJhQh/3d:300,-300(300.000000)
10:Player,BR:0cr300c/cc/cr19600f:5s5h,3d6d|/3c6cKh/8d:-400,400(-400.000000)
11:BR,Player:0cc/cr130c/cc/cc:4dQh,4s9h|/7sTsAc/7d/8d:230,-230(23.212803)
12:Player,BR:0cr130c/cc/cc/r299r19471f:6dAd,7cKs|/2s2h9h/As/4d:-529,529(-529.000000)
13:BR,Player:0f:3dAc,2h5d|:50,-50(50.000000)
14:Player,BR:0cr300c/cc/r200c/cr1200c:JdAs,JhKc|/4s6dQd/6h/Js:1800,-1800(-1108.273111)
15:BR,Player:0r130c/cc/r460c/cc:8s9d,3dKc|/7c9sAh/3c/Qc:690,-690(373.728288)
16:Player,BR:0cc/cc/r130f:2h7s,3h7h|/6s6h8c/Kc:100,-100(100.000000)
17:BR,Player:0f:7hAh,2s9c|:50,-50(50.000000)
18:Player,BR:0cr300c/r800c/r1560c/r1380c:8hJh,4hQh|/4s9sKh/Td/5c:-4140,4140(-4140.000000)
19:BR,Player:0r130c/cr299c/cc/cc:TcKd,9hQc|/5d6d9s/Js/Kh:529,-529(529.000000)
20:Player,BR:0cr130c/cc/cr19770f:5c7s,4h6h|/2h3s5s/Qc:-230,230(-230.000000)
21:BR,Player:0cc/cc/r19900f:ThQh,9cKd|/9hTcAs/Kh:100,-100(100.000000)
22:Player,BR:0cc/cc/cr200c/cr19700f:TcJd,2s5h|/4c9dQh/5s/6d:-300,300(-300.000000)
23:BR,Player:0r130c/cr299c/cr687r18784f:2sAh,4s5s|/3s4d4c/8d:1216,-1216(1216.000000)
24:Player,BR:0cr200c/cc/r150r900f:3dAd,9hJs|/3c4d5h/Ks:-450,450(-450.000000)
25:BR,Player:0cc/cr130c/r460c/cc:7sTs,8cJd|/4s4c9d/8d/3c:-690,690(-690.000000)
26:Player,BR:0cr300c/cc/r520r19080f:AhAc,4hJd|/6h8sKc/9c:-920,920(-920.000000)
27:BR,Player:0f:7hKc,2d6c|:50,-50(50.000000)
28:Player,BR:0cc/cc/cc/cc:3sJs,5hAs|/3c4c7s/5c/7c:-100,100(-31.399556)
29:BR,Player:0r130c/cr299c/r1058f:5cQd,6hJc|/2s4h8c/6d:529,-529(529.000000)
30:Player,BR:0cr1200c/r1690c/cr5980f:8h9h,4c8s|/6cTsKd/8c:-2990,2990(-2990.000000)
31:BR,Player:0r200c/cc/cc/r19700f:7dAc,7hAs|/2h3hTh/Js/5d:300,-300(300.000000)
32:Player,BR:0cc/cc/cc/cr200f:3h8s,6sTd|/QdKdKc/4c/9h:-100,100(-100.000000)
33:BR,Player:0r130c/cc/r460c/r1380f:6cJc,8sJd|/4h8h9c/9h/Qs:690,-690(690.000000)
34:Player,BR:0cc/cc/cr200f:3sJd,5s9h|/7h9cKc/7c:-100,100(-100.000000)
35:BR,Player:0cc/cc/cc/cc:4hTc,7cKh|/5s5cJc/3h/Jd:-100,100(-98.880536)
36:Player,BR:0cr300c/r800c/r240r18560f:7sKc,TsJh|/2s5s7h/6c:-1440,1440(-1440.000000)
37:BR,Player:0f:9dTh,2s4d|:50,-50(50.000000)
38:Player,BR:0cc/cc/cr200f:6d8c,7h8h|/4d9hAd/2c:-100,100(-100.000000)
39:BR,Player:0r130c/cc/r460f:8sTh,3c9c|/2d4d8d/7s:230,-230(230.000000)
40:Player,BR:0cc/cc/cc/cc:4hQc,3sAd|/5s8c9h/Jd/9d:-100,100(-26.671298)
41:BR,Player:0cc/cr130c/r460r897f:3d8h,2sAh|/2d4d9s/2c:-690,690(-690.000000)
42:Player,BR:0cc/cc/cr200f:4hQh,3c7s|/6dAhAc/5c:-100,100(-100.000000)
43:BR,Player:0r200c/cc/cr600c/cc:7hJh,3d5d|/8cTsQs/4c/5c:-900,900(-582.991062)
44:Player,BR:0cr200c/cc/r390f:9sAs,TdQh|/3s5h7c/6h:300,-300(300.000000)
45:BR,Player:0cc/cc/r200c/cc:6sTc,3hTs|/5dThQh/9d/8d:0,-0(11.864275)
46:Player,BR:0cr300c/cc/cc/cr19600f:7hKs,3sQc|/2c8sAc/Js/2s:-400,400(-400.000000)
47:BR,Player:0cc/cr300c/cc/cc:4h4c,2sQd|/6d8dJc/3h/4s:400,-400(400.000000)
48:Player,BR:0cr200c/cc/r390c/r897r3174c:2dJd,6dTh|/3h5dKd/Td/7s:4761,-4761(4761.000000)
49:BR,Player:0cc/cc/r200c/cc:6dJd,9cTh|/5c9dQd/7h/Jh:300,-300(251.337795)
50:Player,BR:0cr300c/cc/cr800c/cc:2h5s,TsJs|/5cThAs/3h/Kh:-1200,1200(315.545932)
51:BR,Player:0r130c/cc/cr115r690f:6d7c,5cKs|/8dThTc/7s:345,-345(345.000000)
52:Player,BR:0cr300c/r1200c/cr3200f:3s8s,4s9s|/8dQsAh/Tc:-1600,1600(-1600.000000)
53:BR,Player:0f:5cAd,2d4c|:50,-50(50.000000)
54:Player,BR:0cc/cc/cc/cr200f:4sAc,2cKh|/3s8h9c/Jd/7d:-100,100(-100.000000)
55:BR,Player:0r130c/cc/r460c/r1380f:2dKh,3s9s|/9cKsKc/8h/Jd:690,-690(690.000000)
56:Player,BR:0cr300c/cc/cr19600f:KsKc,5hJc|/4s6hAd/3d:-400,400(-400.000000)
57:BR,Player:0r130c/cc/cr299r1058f:2cQs,5h9d|/6s7sJd/Jh:529,-529(529.000000)
58:Player,BR:0cr200c/cc/cr600f:TdKs,8cJh|/4d7dAs/9h:-300,300(-300.000000)
59:BR,Player:0r130c/cc/cr299r1058f:7cQc,4d8c|/3dTsTh/6d:529,-529(529.000000)
60:Player,BR:0cr300c/cc/r200r1200f:JhAs,5cQc|/3d4cKs/8h:-600,600(-600.000000)
61:BR,Player:0r200c/cc/cc/cc:9cJh,8sQs|/5cTsKc/4s/4c:-300,300(-300.000000)
62:Player,BR:0cc/cc/cc/r130r19770f:7cAh,3sTd|/3d5s5d/4h/Ad:-230,230(-230.000000)
63:BR,Player:0r130c/cr299c/cr1058r18413f:7hQc,4h5c|/7c8hKh/6s:1587,-1587(1587.000000)
64:Player,BR:0cc/cc/cc/cr200c:5dQh,2cAh|/3h8hKs/3d/7s:-300,300(-10.932355)
65:BR,Player:0r130c/cr299c/r1058f:6d7d,TdAc|/QhKsKd/5s:529,-529(529.000000)
66:Player,BR:0cc/cc/r130r460f:5hQd,2h4s|/4h7c8s/Ks:-230,230(-230.000000)
67:BR,Player:0r130c/cr460c/r1380f:TsAc,3c7c|/4c6hTh/Js:690,-690(690.000000)
68:Player,BR:0cc/cc/cr200c/cr600f:6sJd,JsAc|/8hKsAs/Qd/3s:-300,300(-300.000000)
69:BR,Player:0r130c/cc/cc/cc:5cKd,3s3d|/7h9sQs/8h/Ah:-230,230(-216.244213)
70:Player,BR:0cc/cc/r300r19600f:5hTh,5dAs|/4c6s6d/2h:-400,400(-400.000000)
71:BR,Player:0r130c/cc/r460c/cr897r18413f:2dAs,QhKd|/3s3h8s/Td/Qs:1587,-1587(1587.000000)
72:Player,BR:0cr200c/r390c/cc/cr19310f:4s5s,8c9c|/8hJsQh/6h/Kh:-690,690(-690.000000)
73:BR,Player:0cc/cr130c/cc/cr299r19471f:7s7c,3hTs|/4d8sJc/4c/9h:529,-529(529.000000)
74:Player,BR:0cc/cc/cr200f:2sJd,QdKh|/3h4dKs/7d:-100,100(-100.000000)
75:BR,Player:0r130c/cr690c/cc/r1840f:TcKc,4cJd|/3d5s7h/7d/Qd:920,-920(920.000000)
76:Player,BR:0cc/cc/cr200f:4hAs,9cQd|/3s6c9s/Th:-100,100(-100.000000)
77:BR,Player:0r200c/cr390c/r1380c/cr2691f:4dTs,QsKs|/6dQhQc/3s/3c:-2070,2070(-2070.000000)
78:Player,BR:0cc/cc/r300r19600f:3s7d,4c7c|/2c5s6d/8s:-400,400(-400.000000)
79:BR,Player:0cc/cc/r200c/r600f:8sAd,5sTc|/3c5h9c/Ac/4d:300,-300(300.000000)
80:Player,BR:0cc/cc/cc/cc:5h6c,2dKs|/3d6hQh/5d/2h:100,-100(33.800433)
81:BR,Player:0cc/cr130c/cr690c/r1840f:3s5h,6cQh|/4d5sTd/7s/7h:920,-920(920.000000)
82:Player,BR:0cc/cc/cr200f:2d3s,2h3c|/4s9sKh/4d:-100,100(-100.000000)
83:BR,Player:0r200c/cc/cr390f:5cTd,JhJc|/4s4dAs/9s:-300,300(-300.000000)
84:Player,BR:0cr200c/cc/cr600f:TdKd,9cJh|/3h8h8c/Jc:-300,300(-300.000000)
85:BR,Player:0r300c/cc/cc/cr520r19080f:5d6d,7dTh|/5s7hKh/2h/7c:920,-920(920.000000)
86:Player,BR:0cc/cc/cc/r130r19770f:5c9h,2hQh|/KsKdAd/5s/4h:-230,230(-230.000000)
87:BR,Player:0f:9dQh,4c9s|:50,-50(50.000000)
88:Player,BR:0cc/cc/r300r800c/cc:3d7d,7sQd|/2d8s9d/Jh/8d:1200,-1200(1200.000000)
89:BR,Player:0f:TsAd,2c7h|:50,-50(50.000000)
90:Player,BR:0cc/r300c/cr800c/r240r2880f:3s7d,7cTh|/2h3d5s/5c/4h:-1440,1440(-1440.000000)
91:BR,Player:0r200c/cr390c/cc/r19310f:4sJd,4d7s|/5c8sQc/2d/Qd:690,-690(690.000000)
92:Player,BR:0cc/cc/cr200f:2h4s,QcAc|/9cTsQd/Ad:-100,100(-100.000000)
93:BR,Player:0r130c/cr299c/r19471f:9cJc,7dQs|/5s6dJh/Qd:529,-529(529.000000)
94:Player,BR:0cc/cc/r130c/cc:6h9c,2c8d|/3d8hTs/4s/Qs:-230,230(-125.300434)
95:BR,Player:0r130c/cr299c/cc/r1058f:2d4c,7hJh|/3h8hKs/4s/Ad:529,-529(529.000000)
96:Player,BR:0cc/cc/cc/cc:4d9d,2sJs|/6dJhAh/Kh/8c:-100,100(-71.585089)
97:BR,Player:0r130c/cc/r460f:7sJd,3sJs|/4s6hTh/Kd:230,-230(230.000000)
98:Player,BR:0cc/cc/cr200f:3dKd,8sTc|/5c6dAc/3c:-100,100(-100.000000)
99:BR,Player:0r130c/cr299c/cr3174r16297f:QhKh,4h6h|/3s9hAd/5s:3703,-3703(3703.000000)
100:Player,BR:0cc/cc/cc/cc:3cAs,7dAd|/5s6cKh/9d/6s:0,-0(-44.301784)
101:BR,Player:0r200c/cr390c/r1380f:2hQc,5cKd|/2s2c6d/As:690,-690(690.000000)
102:Player,BR:0cr200c/r900c/cr2400f:5dKc,6c8h|/4d9dJh/9c:-1200,1200(-1200.000000)
103:BR,Player:0r130c/cr299c/r1058f:4cAs,3dQs|/2d9dAc/3c:529,-529(529.000000)
104:Player,BR:0cc/cc/cr200f:2c8s,9sAd|/4s7hKd/Ah:-100,100(-100.000000)
105:BR,Player:0f:ThQd,3s8c|:50,-50(50.000000)
106:Player,BR:0cc/cc/cc/r130r460f:2c6h,7cTc|/4h8hJh/2d/4c:-230,230(-230.000000)
107:BR,Player:0r130c/cc/cc/r19770f:5h9d,ThAc|/8sTcKc/4h/2d:230,-230(230.000000)
108:Player,BR:0cr200c/cc/cc/r150r19550f:2sTs,JdAd|/4s6h7c/4h/Qs:-450,450(-450.000000)
109:BR,Player:0r200c/cc/cr150c/cc:3c4s,6s7h|/4d6dAh/5d/Jc:-450,450(-352.267983)
110:Player,BR:0cc/cc/r300r19600f:5cQh,6s9h|/7s8sQc/5h:-400,400(-400.000000)
111:BR,Player:0cc/cc/r200f:2s4c,2dKc|/9dQsAc/6h:100,-100(100.000000)
112:Player,BR:0cc/r300c/r2400r5600f:9sQd,4s4c|/4h5s6c/3c:-2800,2800(-2800.000000)
113:BR,Player:0cc/cc/r200f:9cQd,4sTc|/2h5d9h/6s:100,-100(100.000000)
114:Player,BR:0cc/cc/cr200c/cc:4d9c,5s9s|/4c8cQh/2s/4h:300,-300(300.000000)
115:BR,Player:0cc/cc/r200c/cr390r1380c:QhKh,4h7d|/6cTdJd/9d/8d:-2070,2070(-2070.000000)
116:Player,BR:0cc/cc/r130c/r460r1380f:6cTd,3h5c|/4s9sKc/5h/4c:-690,690(-690.000000)
117:BR,Player:0r130c/cr299c/cc/cr687c:JcAh,3s5d|/2cJhQc/6h/2s:1216,-1216(887.005742)
118:Player,BR:0cc/cc/cr200r390f:4sJd,6s6c|/5sQdAs/3s:300,-300(300.000000)
119:BR,Player:0r130c/cr460c/cc/r1380f:3dKc,9dTc|/JcQsAs/6s/4s:690,-690(690.000000)
120:Player,BR:0cc/cc/cr200c/cc:5sTc,8hAh|/4h5c8c/9c/Js:-300,300(-153.855236)
121:BR,Player:0r130c/cc/cc/r460f:9dTh,4c5c|/6d9hAs/Kh/Tc:230,-230(230.000000)
122:Player,BR:0cc/cc/r200r600f:5d9c,7sJc|/2d8hAd/4s:-300,300(-300.000000)
123:BR,Player:0r130c/cc/cc/r460f:3hTc,6cKc|/7cJdQd/Ts/Kh:230,-230(230.000000)
124:Player,BR:0cc/cc/cc/r200f:3cKc,3s5h|/8d9cQc/6d/8c:100,-100(100.000000)
125:BR,Player:0f:2c4s,2d8c|:50,-50(50.000000)
126:Player,BR:0cc/cc/cc/cr200f:2dTc,5s5d|/6hJdAs/Ah/Kd:-100,100(-100.000000)
127:BR,Player:0r130c/cc/r460c/r19310f:9dJc,6cTh|/4d8hAd/7h/Kc:690,-690(690.000000)
128:Player,BR:0cr300c/cc/cr19600f:3h3c,4h4d|/4c7hAc/Ad:-400,400(-400.000000)
129:BR,Player:0f:3c5c,2h8d|:50,-50(50.000000)
130:Player,BR:0cc/cc/cr200f:2d6c,9hJs|/4c7h9s/7s:-100,100(-100.000000)
131:BR,Player:0r130c/cc/r460f:2dKs,8h8c|/4s6sQs/3s:230,-230(230.000000)
132:Player,BR:0cc/cc/cr200f:2sTc,4s9s|/4h7dAc/3s:-100,100(-100.000000)
133:BR,Player:0r130c/cr690c/cr1196f:7h8h,6cKc|/6h6dAs/7d:-920,920(-920.000000)
134:Player,BR:0cr300c/cc/r520c/cr19080f:4s4c,5sQh|/3h7cKs/2s/Ac:-920,920(-920.000000)
135:BR,Player:0cc/cr130c/cr299r1058r2063r7300f:2hTh,2d3d|/5s8dAs/Qc:3650,-3650(3650.000000)
136:Player,BR:0cc/cc/r200c/r390c:4sKc,3h6h|/3sTsKd/8s/3c:-690,690(-657.290995)
137:BR,Player:0r200c/cr390c/r1380f:7h8d,5hKd|/2d6sJh/Tc:690,-690(690.000000)
