In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
1:BR,Player:0f:4h4d,2d7h|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr200f:5c6h,3c6d|/2d5dTs/9d:-100,100(-100.000000)
3:BR,Player:0r130c/cr690c/r1840r3588r13652c/cc:4sTs,JcAc|/4c6d7c/4d/7h:20000,-20000(20000.000000)
4:Player,BR:0cc/cc/cr200f:6h8s,5hJh|/3sQhKd/Ah:-100,100(-100.000000)
5:BR,Player:0r200c/cr390c/cc/cc:7hJc,6c7c|/2sTcAh/3c/7s:690,-690(651.067725)
6:Player,BR:0cc/cc/cc/r130c:2h5d,2cJh|/6d7dAh/Qs/7h:-230,230(-48.950975)
7:BR,Player:0r200c/cr390c/cr345f:6cJs,5dJc|/4h8dJd/Ad:-690,690(-690.000000)
8:Player,BR:0cc/cc/cc/cr19900f:3sKd,8sQs|/4d5dTs/7d/5h:-100,100(-100.000000)
9:BR,Player:0cc/cc/r19900f:5dAd,2cJc|/7s8hQd/3d:100,-100(100.000000)
10:Player,BR:0cc/cc/r130c/r299r19471f:2h5s,8cKc|/QsAhAd/3c/Kd:-529,529(-529.000000)
11:BR,Player:0r130c/cc/cr299r19471f:7sTc,KcAs|/3c4sQh/Kd:529,-529(529.000000)
12:Player,BR:0cc/cc/cc/cr200c:3d6s,TsJs|/4c6cKh/Qs/Th:-300,300(-165.996820)
13:BR,Player:0r130c/cr460c/cr1380r4140f:3sKd,9sAh|/8sJcAd/7d:2070,-2070(2070.000000)
14:Player,BR:0cc/cc/r130c/r460r1380f:7sJs,JcAs|/7h9hTd/3c/5c:-690,690(-690.000000)
15:BR,Player:0f:6s9h,2d7s|:50,-50(50.000000)
16:Player,BR:0cr300c/r520c/r460r18620c/cc:6d9d,6h8c|/3c4d5c/7h/6s:-20000,20000(-18862.576934)
17:BR,Player:0r130c/cc/r460c/r1380c:QdAc,9sAh|/5cJhKd/As/5s:0,-0(414.702326)
18:Player,BR:0cc/cc/cc/cc:5dTc,7cKs|/9dQcAd/4c/Js:-100,100(-5.008375)
19:BR,Player:0r200c/cc/cr150r19550f:7sKd,KsKh|/8dJdQs/2c:450,-450(450.000000)
20:Player,BR:0cc/cc/cc/cr200r900r2400f:5h9d,6hTd|/5dQcAd/2s/5s:-1200,1200(-1200.000000)
21:BR,Player:0r130c/cc/cr115r19655f:6d7h,6cQs|/8cTdJs/9d:345,-345(345.000000)
22:Player,BR:0cc/cc/cr200c/cc:4c5h,7dAc|/4h5c6h/3h/2h:300,-300(26.363085)
23:BR,Player:0r130c/cr299c/cr1058r3174f:2s6h,TdTc|/5h7d8s/8d:1587,-1587(1587.000000)
24:Player,BR:0cc/cc/cc/cr200f:4d7h,4c8d|/2h5hQd/4h/Ts:-100,100(-100.000000)
25:BR,Player:0r200c/cr390c/r1380r4140c/r13790f:4h5s,4c5d|/2d3sAh/2s/8s:6210,-6210(6210.000000)
26:Player,BR:0cc/cc/cc/cr19900f:3c7c,4s7d|/TcJdKd/8s/Js:-100,100(-100.000000)
27:BR,Player:0r300c/cc/cc/r19600f:2sJc,3cJh|/6h8dKd/7h/Js:400,-400(400.000000)
28:Player,BR:0cr300c/cc/cr800r1560r5520r11720f:8cAs,2dKd|/7s8hAh/Ad:8280,-8280(8280.000000)
29:BR,Player:0r300c/cc/r19600f:8h9c,4hAc|/3dQdAs/Ad:400,-400(400.000000)
30:Player,BR:0cc/cc/cr200f:5cKd,7sJd|/9dTdTc/6h:-100,100(-100.000000)
31:BR,Player:0r200c/cc/r600c/r1800r3510r13790f:3h4s,JhKs|/TdKcAs/7h/Kd:6210,-6210(6210.000000)
32:Player,BR:0cr130c/cc/r115r690f:8hTd,3sAh|/5s7hAs/Ad:-345,345(-345.000000)
33:BR,Player:0r130c/cr690c/cr1840r17240f:8c9d,TsJs|/2s6cTd/3h:2760,-2760(2760.000000)
34:Player,BR:0cr600c/cc/cc/r910r3220f:JdAh,4h9c|/3c8s8h/7c/8d:-1610,1610(-1610.000000)
35:BR,Player:0r200c/cc/r600f:KsAc,7cQh|/2s3s3c/8d:300,-300(300.000000)
36:Player,BR:0cc/cc/r130r460f:6c7s,8c9d|/3c4sAs/8s:-230,230(-230.000000)
37:BR,Player:0r130c/cr1380c/cr4830r12880f:TcQh,3d4s|/6cQdAs/5c:6440,-6440(6440.000000)
38:Player,BR:0cc/cc/cr200f:2hJs,8dQd|/2d4h7h/5d:-100,100(-100.000000)
39:BR,Player:0r130c/cc/r460c/cr1380r17930f:TdQh,8dJd|/3c7sAd/9s/5c:2070,-2070(2070.000000)
40:Player,BR:0cc/cc/cc/cc:5dQc,4d6h|/8dTsTc/As/6s:-100,100(-43.319047)
41:BR,Player:0r130c/cr299c/cr687c/cr1580c:7sQs,2c3c|/7cKhKd/7d/Td:2796,-2796(-447.845272)
42:Player,BR:0cc/cc/cc/r130r19770f:6d8s,9sJs|/2c6sKs/Ad/Kc:-230,230(-230.000000)
43:BR,Player:0r130c/cc/r19770c/cc:KsKd,8cTs|/6s7cTh/2c/4h:20000,-20000(16116.026262)
44:Player,BR:0cc/cc/cr200f:8cJs,7hAs|/3s5cKc/6s:-100,100(-100.000000)
45:BR,Player:0f:JhJd,2h7c|:50,-50(50.000000)
46:Player,BR:0cc/cc/r200r600f:9dTs,JcAs|/5h8hAd/7h:-300,300(-300.000000)
47:BR,Player:0f:8cAh,2d5c|:50,-50(50.000000)
48:Player,BR:0cc/cc/cr200c/cc:7hQc,5d8s|/9cJcAs/6c/Jh:300,-300(300.000000)
49:BR,Player:0r200c/cc/r600f:5h9h,3sJd|/7d8hQs/Kc:300,-300(300.000000)
50:Player,BR:0cc/cc/cr200f:3cKs,8s9s|/2cThJs/6c:-100,100(-100.000000)
51:BR,Player:0r130c/cr299c/cc/r19471f:8c9d,5sQh|/4s9sTc/Kh/6d:529,-529(529.000000)
52:Player,BR:0cc/cc/cc/r130r19770f:8sQh,4cQd|/4h8d9h/As/6s:-230,230(-230.000000)
53:BR,Player:0r130c/cc/r460c/r1380f:4hAh,9dAs|/3d4s7h/3c/2c:690,-690(690.000000)
54:Player,BR:0cr200c/cc/cr600f:6cKc,5s6d|/5d9hTs/4d:-300,300(-300.000000)
55:BR,Player:0r130c/cr299c/r1058f:2h6c,7sQc|/4d9s9d/Jd:529,-529(529.000000)
56:Player,BR:0cc/cc/cc/r200f:6cTc,4sJd|/QsQcAc/Js/8c:100,-100(100.000000)
57:BR,Player:0r200c/cc/r600f:2c4d,6sAc|/7dTdKs/Kd:300,-300(300.000000)
58:Player,BR:0cc/cc/r130c/r115f:TcQs,9cAs|/6s8cJh/9s/5s:230,-230(230.000000)
59:BR,Player:0cc/cc/cc/r200c:5hKc,4dKd|/3h6hTh/Ah/Ks:300,-300(132.466420)
60:Player,BR:0cr200c/r390c/cr1380f:TsJd,3dAh|/5h6cAd/6s:-690,690(-690.000000)
61:BR,Player:0r130c/cc/r460c/cr897r18413f:9hAh,QsQh|/4c5s8d/6c/3s:1587,-1587(1587.000000)
62:Player,BR:0cc/cc/r130c/cc:5s9c,3dAc|/2c7hKs/4s/Qc:-230,230(-158.626494)
63:BR,Player:0r130c/cc/r19770f:QdAd,8s8h|/3d6d9d/Qh:230,-230(230.000000)
64:Player,BR:0cr130c/cc/cc/cr19770f:7cAs,5dAh|/4dJhKc/9d/6d:-230,230(-230.000000)
65:BR,Player:0r130c/cc/r460c/r1380c:4d7d,3cAs|/4h7cAc/Ad/Kc:-2070,2070(-926.221542)
66:Player,BR:0cr200c/r390c/cr1380f:JsQs,6c8d|/2h4c9c/5c:-690,690(-690.000000)
67:BR,Player:0r200c/cc/cc/r600f:3cKc,6s6d|/3sJsQs/Tc/Qd:300,-300(300.000000)
68:Player,BR:0cc/cc/cr200c/cr19700f:3sAh,2hQd|/2s9d9c/5c/Jc:-300,300(-300.000000)
69:BR,Player:0r200c/cr390c/cc/cc:5sQh,3dKc|/2d2c7s/6d/6s:-690,690(-269.527536)
70:Player,BR:0cc/cc/cr19900f:3dKh,2s6h|/2h5c6c/6d:-100,100(-100.000000)
71:BR,Player:0cc/cr200c/r600f:7hAc,4sTd|/JsKcAd/2s:300,-300(300.000000)
72:Player,BR:0cr200c/cc/r150c/r585r2070f:7h8d,2s4c|/2d6s7d/Qd/5d:-1035,1035(-1035.000000)
73:BR,Player:0r130c/cr299c/r1058c/r3174f:6h9d,8dJd|/4d5hJc/5d/4c:1587,-1587(1587.000000)
74:Player,BR:0cc/cc/r130c/cr460c:6sTc,6h6d|/4d7sJs/3h/6c:-690,690(-690.000000)
75:BR,Player:0r130c/cr460c/r1380f:5sJh,TsJs|/2d3h6c/6h:690,-690(690.000000)
76:Player,BR:0cr300c/r520c/r1196r17884f:3cTc,3s5d|/2d4h6c/Jh:-2116,2116(-2116.000000)
77:BR,Player:0r130c/cc/cc/r460f:6cQc,6dKd|/2d7cTh/4s/Qh:230,-230(230.000000)
78:Player,BR:0cr130c/r299c/r687c/cc:7s9s,8cKd|/4h6sKs/Qh/Tc:-1216,1216(-1216.000000)
79:BR,Player:0r130c/cc/cc/r19770f:5dQh,4sAc|/8cKsKh/2d/As:230,-230(230.000000)
80:Player,BR:0cr300c/cc/r1200f:QcKc,6d6c|/3c7hKd/9c:400,-400(400.000000)
81:BR,Player:0r130c/cc/r460f:2sJd,3d8d|/5sKcAs/3h:230,-230(230.000000)
82:Player,BR:0cc/cc/cr200f:4d8h,TsJh|/4s5c9s/Qc:-100,100(-100.000000)
83:BR,Player:0r130c/cc/r460c/cc:QsAh,9dJs|/9hTcAc/Ks/Ts:690,-690(690.000000)
84:Player,BR:0cr200c/cc/cr600c/cr19100f:4h6h,JsKd|/5c7d8h/4s/9h:-900,900(-900.000000)
85:BR,Player:0cc/cc/cc/cr200c:JsKc,3cQc|/2s7h9s/5d/5h:300,-300(185.672644)
86:Player,BR:0cc/cc/cc/cr19900f:4sTc,6h7c|/2sTdQc/9s/Qd:-100,100(-100.000000)
87:BR,Player:0cc/cr130c/cc/r19770f:4d8d,6c7s|/4h5s7d/5h/Js:230,-230(230.000000)
88:Player,BR:0cr200c/cc/r390c/r897r18413f:JdQh,8sAd|/3h5c7s/Qs/4d:-1587,1587(-1587.000000)
89:BR,Player:0r200c/cc/cc/r19700f:8c9h,6c7h|/4sQcKs/2d/Ts:300,-300(300.000000)
90:Player,BR:0cc/cc/cc/cc:3dQd,6sQs|/5d8dAh/2c/8s:-100,100(4.199237)
91:BR,Player:0r130c/cc/r460c/r1380c:KcAs,JsKs|/2s3s3h/Kh/4d:2070,-2070(911.113387)
92:Player,BR:0cc/cc/cr200c/cr600f:8sKd,7sQs|/5s5dQd/Js/2s:-300,300(-300.000000)
93:BR,Player:0r130c/cr460c/cc/r1380f:2s7s,4s9s|/6d7h8c/9c/7d:690,-690(690.000000)
94:Player,BR:0cc/cc/r200r600f:5s6h,2d8d|/7c9cQs/7d:-300,300(-300.000000)
95:BR,Player:0f:KhAc,2h4s|:50,-50(50.000000)
96:Player,BR:0cc/cc/r200r600c/cr19100f:8c9h,2cTd|/7h9cKs/9s/Kh:-900,900(-900.000000)
97:BR,Player:0r130c/cc/cr115c/cr2070r17585f:KsAh,4s7s|/2s8sJh/3s/7d:2415,-2415(2415.000000)
